Sr. No.,Year,7-12 Years,7-12 Years Percentage to Total,12-16 Years,12-16 Years Percentage to Total,16-18 Years,16-18 Years Percentage to Total,Total Apprehended
1,1999,4039,21.9,10311,55.9,4110,22.3,18460
2,2000,3292,18.3,11389,63.3,3301,18.4,17982
3,2001,3696,11,12729,37.9,17203,51.2,33628
4,2002,4488,12.5,13864,38.7,17427,48.7,35779
5,2003,3584,10.8,11687,35.1,18049,54.2,33320
6,2004,2107,6.8,12415,40.1,16421,53.1,30943
7,2005,1645,5,13090,40.1,17946,54.9,32681
8,2006,1595,5,12535,39,18015,56,32145
9,2007,1460,4.2,12114,35.1,20953,60.7,34527
10,2008,1281,3.7,12272,35.6,20954,60.7,34507
11,2009,1133,3.4,10741,31.9,21768,64.7,33642
Percentage Change In 2009 Over 1999,Percentage Change In 2009 Over 1999,-71.9,NA,4.2,NA,429.6,NA,82.2
Percentage Change In 2009 Over 2008,Percentage Change In 2009 Over 2008,-11.6,NA,-12.5,NA,3.9,NA,-2.5
