Sr. No.,Category,States/UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,9373,2789.9,314,61.7,42,14.9,1347,338.2,159,74.8,1188,263.5,74,12.1,2427,1124.8,11115,3446.8,24692,7788.3
2,State,Arunachal Pradesh,140,134.4,7,0.5,0,0,0,0,0,0,0,0,0,0,48,32.9,186,143.8,381,311.6
3,State,Assam,4265,2317.8,207,126.7,1,0.4,27,4,27,4,0,0,2,30.3,761,279.7,2381,704.4,7644,3463.3
4,State,Bihar,5195,1028.8,475,148,1,0.1,1273,116.8,573,70.4,700,46.4,0,0,1271,202.2,7006,1635.4,15221,3131.1
5,State,Chhattisgarh,1187,212.9,33,25.2,1,0.3,272,104.4,214,89.3,58,15.1,14,4.5,441,98.4,3844,1647.5,5792,2093.1
6,State,Goa,115,81.1,9,13.3,0,0,6,3.6,1,0.5,5,3.1,0,0,69,40.8,659,426.3,858,565.1
7,State,Gujarat,4407,1530.9,202,142.7,8,2.8,615,157.7,197,117.5,418,40.2,24,9.8,1795,1060.8,12618,5594.1,19669,8499
8,State,Haryana,2711,933.4,226,314.1,0,0,467,82.7,125,21.4,342,61.3,60,9.6,2375,766.1,7078,2718.4,12917,4824.4
9,State,Himachal Pradesh,153,104.1,25,37.7,0,0,2,3.5,2,3.5,0,0,0,0,63,51.9,580,603.3,823,800.5
10,State,Jammu & Kashmir,627,279.7,31,42.9,0,0,14,6.8,0,0,14,6.8,0,0,238,62.3,1721,803.6,2631,1195.3
11,State,Jharkhand,3462,713.6,651,88.3,0,0,310,63.9,158,35.3,152,28.6,1,0.2,1089,277.9,2203,392.1,7716,1536
12,State,Karnataka,5019,730.6,544,475.1,4,1.8,461,210.9,168,105.9,293,105,49,35.5,2048,870,12451,5982,20576,8305.9
13,State,Kerala,1264,701.1,84,66.4,6,1.6,187,83.7,122,69.8,65,13.9,5,2.7,353,106.7,3665,1388,5564,2350.2
14,State,Madhya Pradesh,9437,2524.8,470,250.5,91,8.9,1657,347,985,247.6,672,99.4,14,8.9,1996,595,9595,2629,23260,6364
15,State,Maharashtra,9470,6381.9,242,382.8,66,103.9,3541,949.1,1889,666.1,1652,282.9,70,58.2,3784,2209.7,33757,21341.4,50930,31426.9
16,State,Manipur,107,47.8,59,38.2,0,0,0,0,0,0,0,0,1,0.7,2,6,225,123,394,215.7
17,State,Meghalaya,159,103.7,21,28.9,0,0,0,0,0,0,0,0,0,0,141,22.9,224,193.3,545,348.8
18,State,Mizoram,630,1023.8,0,0,0,0,0,0,0,0,0,0,0,0,16,10.8,115,82.3,761,1116.8
19,State,Nagaland,147,278.6,8,72.6,0,0,0,0,0,0,0,0,2,20.5,28,20.8,162,167.8,347,560.3
20,State,Orissa,1491,629,351,111.1,4,0.7,897,591.7,348,102.2,549,489.5,0,0,655,443.6,3738,1391.3,7136,3167.4
21,State,Punjab,1218,1049,101,113.6,0,0,59,40.3,10,6.2,49,34.2,47,11.9,1097,1153.5,3102,1655.5,5624,4023.9
22,State,Rajasthan,3219,1079.8,0,0,0,0,150,24.6,72,13.7,78,10.9,0,0,781,306.9,17994,8375.3,22144,9786.6
23,State,Sikkim,24,13.4,0,0,0,0,0,0,0,0,0,0,7,1.3,0,0,31,14.5,62,29.1
24,State,Tamil Nadu,3649,1029.6,238,82.5,12,5.4,278,84,180,70.1,98,13.9,1,0.5,2692,781.1,8842,2559.4,15712,4542.5
25,State,Tripura,159,147,0,0,0,0,2,0.2,1,0.1,1,0.1,0,0,112,87.2,142,46.5,415,280.9
26,State,Uttar Pradesh,3945,904.1,11312,3728.4,0,0,1267,111.6,644,100.7,623,10.9,0,0,885,357,11817,2267.6,29226,7368.7
27,State,Uttarakhand,619,220,12,3.8,0,0,61,4.3,0,0,61,4.3,4,1,89,55.4,816,373.9,1601,658.4
28,State,West Bengal,5201,1652.5,108,64.4,0,0,610,113.6,427,88.4,183,25.2,20,1,1611,1402,9583,2371.8,17133,5605.2
State,State,Total (States),77393,28643.1,15730,6419.4,236,140.7,13503,3442.6,6302,1887.4,7201,1555.2,395,208.6,26867,12426.5,165650,69078.2,299774,120359.2
29,Union Territory,A & N Islands,41,11.1,0,0,1,1,0,0,0,0,0,0,0,0,14,8.5,78,30.7,134,51.2
30,Union Territory,Chandigarh,728,446.7,0,0,0,0,0,0,0,0,0,0,1,0,453,189.8,549,201.4,1731,837.8
31,Union Territory,D & N Haveli,14,15.2,0,0,0,0,0,0,0,0,0,0,0,0,17,31.4,32,25.3,63,72
32,Union Territory,Daman & Diu,1,0.5,0,0,3,0.6,0,0,0,0,0,0,0,0,5,3.1,32,18.3,41,22.6
33,Union Territory,Delhi,5848,5167.1,0,0,0,0,734,1053.2,192,95.3,542,957.9,4,4.5,965,3256.4,14180,9871.8,21731,19353
34,Union Territory,Lakshadweep,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,3,1,10,2.8
35,Union Territory,Puducherry,71,20.2,0,0,0,0,0,0,0,0,0,0,0,0,38,18,602,126.3,711,164.6
Union Territory,Union Territory,TOTAL (UTs),6707,5661.9,0,0,4,1.6,734,1053.2,192,95.3,542,957.9,5,4.5,1495,3508,15476,10274.7,24421,20503.9
Total (All-India),Total (All-India),Total (All-India),84100,34305,15730,6419.4,240,142.3,14237,4495.8,6494,1982.7,7743,2513.1,400,213.1,28362,15934.5,181126,79353,324195,140863.1
36,City,Agra,65,23.5,1112,274.5,0,0,0,0,0,0,0,0,0,0,31,12.9,358,75.3,1566,386.3
37,City,Ahmedabad,1628,399.2,0,0,0,0,0,0,0,0,0,0,2,0.1,561,159.2,4092,1851,6283,2409.5
38,City,Allahabad,35,3.8,345,70.8,0,0,27,3.9,12,1.5,15,2.4,0,0,36,5.7,93,22.3,536,106.5
39,City,Amritsar,92,40.1,10,4.4,0,0,0,0,0,0,0,0,3,0,98,15.3,227,76.5,430,136.3
40,City,Asansol,42,12.3,19,1.2,0,0,0,0,0,0,0,0,0,0,0,0,222,33.2,283,46.7
41,City,Bengaluru,3692,128.2,436,279.8,0,0,0,0,0,0,0,0,40,27.1,902,376.7,6660,3139.5,11730,3951.3
42,City,Bhopal,802,146.1,0,0,0,0,0,0,0,0,0,0,4,6.7,204,45.5,1633,467.5,2643,665.8
43,City,Chennai,515,155,0,0,0,0,0,0,0,0,0,0,0,0,240,137.2,961,320.1,1716,612.3
44,City,Coimbatore,201,60.4,0,0,0,0,0,0,0,0,0,0,0,0,660,156.5,304,51.7,1165,268.5
45,City,Delhi (city),5134,4862.4,0,0,0,0,731,1053,192,95.3,539,957.7,3,1.5,871,3174.9,13349,9129.2,20088,18221
46,City,Dhanbad,143,88.2,0,0,0,0,0,0,0,0,0,0,0,0,218,15.4,0,0,361,103.7
47,City,Faridabad,530,200.2,0,0,0,0,0,0,0,0,0,0,0,0,496,193.4,110,16,1136,409.6
48,City,Hyderabad,1249,492.9,15,11.3,0,0,215,67.5,0,0,215,67.5,15,5.3,364,166.7,3233,1034,5091,1777.6
49,City,Indore,3280,819.5,0,0,0,0,0,0,0,0,0,0,0,0,201,50.2,0,0,3481,869.7
50,City,Jabalpur,298,121.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,161.1,792,282.9
