Sr. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1999,13088,5372,18460,29.1
2,2000,13854,4128,17982,23
3,2001,31295,2333,33628,6.9
4,2002,33551,2228,35779,6.2
5,2003,30985,2335,33320,7
6,2004,28878,2065,30943,6.7
7,2005,30606,2075,32681,6.3
8,2006,30375,1770,32145,5.5
9,2007,32671,1856,34527,5.4
10,2008,32795,1712,34507,5
11,2009,31550,2092,33642,6.2
