Sr. No.,Category,States/ UTs,Total No. of Persons under arrest Including those from Previous Year (Col. 3),Number of Persons released before Trial,Number of Persons Charge sheeted,Number of Persons under Investigation at the end of the Year,Pendency Percentage,Percentage Pendency to All-India Total,Note of Pendency Percentage
1,State,Andhra Pradesh,5787,301,3451,2035,35.2,17,NA
2,State,Arunachal Pradesh,0,0,0,0,NA,0,@
3,State,Assam,227,17,33,177,78,1.5,NA
4,State,Bihar,9201,93,4281,4827,52.5,40.3,NA
5,State,Chhattisgarh,802,0,791,11,1.4,0.1,NA
6,State,Goa,7,0,4,3,42.9,0,NA
7,State,Gujarat,2957,14,2817,126,4.3,1.1,NA
8,State,Haryana,490,0,434,56,11.4,0.5,NA
9,State,Himachal Pradesh,195,2,158,35,17.9,0.3,NA
10,State,Jammu & Kashmir,3,0,2,1,33.3,0,NA
11,State,Jharkhand,1107,0,905,202,18.2,1.7,NA
12,State,Karnataka,5022,88,4276,658,13.1,5.5,NA
13,State,Kerala,720,27,465,228,31.7,1.9,NA
14,State,Madhya Pradesh,6503,0,6456,47,0.7,0.4,NA
15,State,Maharashtra,4281,84,3423,774,18.1,6.5,NA
16,State,Manipur,0,0,0,0,NA,0,@
17,State,Meghalaya,0,0,0,0,NA,0,@
18,State,Mizoram,0,0,0,0,NA,0,@
19,State,Nagaland,0,0,0,0,NA,0,@
20,State,Odisha,2470,10,2078,382,15.5,3.2,NA
21,State,Punjab,586,56,276,254,43.3,2.1,NA
22,State,Rajasthan,4473,0,4462,11,0.2,0.1,NA
23,State,Sikkim,28,4,19,5,17.9,0,NA
24,State,Tamil Nadu,3168,182,2219,767,24.2,6.4,NA
25,State,Tripura,16,8,5,3,18.8,0,NA
26,State,Uttar Pradesh,22867,5970,15593,1304,5.7,10.9,NA
27,State,Uttarakhand,83,2,74,7,8.4,0.1,NA
28,State,West Bengal,54,4,7,43,79.6,0.4,NA
State,State,Total (States),71047,6862,52229,11956,16.8,99.8,NA
29,Union Territory,Andaman & Nicobar Islands,0,0,0,0,NA,0,@
30,Union Territory,Chandigarh,2,0,0,2,100,0,NA
31,Union Territory,Dadra Nagar Haveli,3,0,3,0,0,0,NA
32,Union Territory,Daman & Diu,0,0,0,0,NA,0,@
33,Union Territory,Delhi,18,0,17,1,5.6,0,NA
34,Union Territory,Lakshadweep,0,0,0,0,NA,0,@
35,Union Territory,Pondicherry,50,4,30,16,32,0.1,NA
Union Territory,Union Territory,Total (UTs),73,4,50,19,26,0.2,NA
Total (All-India),Total (All-India),Total (All-India),71120,6866,52279,11975,16.8,100,NA
