Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.H. Not Amounting to Murder (Sec.304 , 308 IPC)","Kidnapping & Abductin (Sec.363-369,371-373 IPC)","Hurt (Sec.323-333,335-338 IPC)",Causing Death by Negligence (Sec. 304A IPC),Total IPC Crimes Against Body,Percentage share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,2449,1859,134,1958,44488,13438,64326,13.49,77.22,35.65
2,State,Arunachal Pradesh,59,33,5,62,526,110,795,0.17,65.16,33.66
3,State,Assam,1323,417,35,2718,6547,2735,13775,2.89,45.12,24.9
4,State,Bihar,3152,3068,243,3222,14746,4516,28947,6.07,30.23,23.55
5,State,Chhattisgarh,1083,732,19,286,9543,2735,14398,3.02,59.59,28.03
6,State,Goa,53,24,11,33,191,220,532,0.11,31.46,17.7
7,State,Gujarat,1020,468,30,1348,9456,5178,17500,3.67,30.47,15.19
8,State,Haryana,948,690,78,916,3977,1549,8158,1.71,33.65,14.51
9,State,Himachal Pradesh,125,73,13,150,1230,616,2207,0.46,33.29,16.58
10,State,Jammu & Kashmir,237,547,23,873,331,517,2528,0.53,19.58,11.5
11,State,Jharkhand,1636,1274,104,827,4132,1678,9651,2.02,31.6,25.78
12,State,Karnataka,1702,1607,79,892,20105,417,24802,5.2,42.61,18.5
13,State,Kerala,343,408,100,256,18274,41,19422,4.07,56.03,16.41
14,State,Madhya Pradesh,2386,2212,117,1036,37132,6591,49474,10.37,69.78,23.81
15,State,Maharashtra,2653,1880,98,1286,28326,12459,46702,9.79,42.96,23.4
16,State,Manipur,131,478,2,159,224,0,994,0.21,37.21,34.85
17,State,Meghalaya,128,39,12,56,207,72,514,0.11,19.95,21
18,State,Mizoram,31,14,8,9,120,36,218,0.05,21.89,10.65
19,State,Nagaland,46,35,7,52,38,34,212,0.04,9.54,20.02
20,State,Odisha,1250,1231,48,930,6816,2979,13254,2.78,32.78,23.78
21,State,Punjab,853,1014,129,692,5498,3289,11475,2.41,42.53,32.28
22,State,Rajasthan,1395,1673,80,2870,21652,7898,35568,7.46,53.85,21.35
23,State,Sikkim,19,7,3,6,91,59,185,0.04,30.63,27.65
24,State,Tamil Nadu,1776,2325,26,1372,18147,13528,37174,7.79,55.4,21.28
25,State,Tripura,133,59,2,121,1047,225,1587,0.33,44.49,28.93
26,State,Uttar Pradesh,4534,4141,1439,6083,10934,12159,39290,8.24,20.09,22.73
27,State,Uttarakhand,195,185,51,275,1198,685,2589,0.54,26.74,29.41
28,State,West Bengal,2068,2119,931,2750,11196,3623,22687,4.76,25.43,20.07
State,State,Total (States),31728,28612,3827,31238,276172,97387,468964,98.33,40.83,22.75
29,Union Territory,Andaman & Nicobar Islands,15,4,4,16,89,2,130,0.03,30.73,13.82
30,Union Territory,Chandigarh,22,18,8,40,63,7,158,0.03,14.4,4.44
31,Union Territory,Dadra Nagar Haveli,10,5,1,12,23,17,68,0.01,24.73,15.38
32,Union Territory,Daman & Diu,5,4,1,0,14,40,64,0.01,32.99,23.19
33,Union Territory,Delhi,552,369,84,2536,1938,846,6325,1.33,35.57,12.59
34,Union Territory,Lakshadweep,0,1,0,0,14,0,15,0,21.13,11.19
35,Union Territory,Pondicherry,37,25,5,18,901,233,1219,0.26,111.12,26.55
Union Territory,Union Territory,Total (UTs),641,426,103,2622,3042,1145,7979,1.67,38.11,13.26
Total (All-India),Total (All-India),Total (All-India),32369,29038,3930,33860,279214,98532,476943,100,40.78,22.48
