Sr. No.,Category,States/ UTs,Murder Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape Sec 376 IPC) - Total,Rape Sec 376 IPC) - Custodial,Rape Sec 376 IPC) - Others,"Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) - of Women","Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) - of Others",Dacoity (Sec 395- 398 IPC),Preparation and Assembly for Dacoity 399 - 402 IPC),"Robbery Sec 392 - 394, 397, 398 IPC)","Burglary Sec 449 - 452, 454, 455, 457 - 460 IPC)",Theft Sec 379 - 382 IPC) - Total,Theft Sec 379 - 382 IPC) - Auto Theft,Theft Sec 379 - 382 IPC) - Other Theft,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec 406 - 409 IPC),"Cheating (Sec 419, 420 IPC)","CounterFeiting (Sec 231- 254, 489A - 489D IPC)","Arson (Sec 435, 436,438 IPC)","Hurt (Sec 323-333,335-338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband & Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death By Negligence (Sec 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,28,7,0,62,0,62,31,24,7,5,0,12,235,580,159,421,35,0,18,1,1,208,1,40,82,5,0,15,174,1540
2,State,Arunachal Pradesh,0,0,0,3,0,3,0,0,0,0,0,6,21,4,0,4,10,0,0,0,0,38,0,0,0,0,0,0,57,139
3,State,Assam,14,4,0,39,0,39,26,9,17,7,1,10,80,274,8,266,37,0,1,0,1,26,0,2,0,0,0,0,33,555
4,State,Bihar,66,45,4,33,0,33,42,18,24,9,1,22,48,157,31,126,194,1,11,0,13,53,5,11,0,14,0,3,248,980
5,State,Chhattisgarh,60,76,0,92,0,92,17,11,6,10,0,52,465,289,79,210,111,0,3,0,23,348,4,68,26,5,0,8,1203,2860
6,State,Goa,5,1,0,3,0,3,1,0,1,0,0,1,23,24,18,6,0,0,0,0,0,5,0,1,0,0,0,0,12,76
7,State,Gujarat,39,24,0,22,0,22,33,29,4,10,0,15,177,492,228,264,165,0,7,3,2,344,0,16,1,70,0,11,439,1870
8,State,Haryana,34,22,0,26,0,26,35,27,8,2,20,15,141,212,112,100,82,11,10,0,0,255,5,9,4,8,0,7,292,1190
9,State,Himachal Pradesh,9,3,0,7,0,7,0,0,0,1,0,1,29,26,8,18,20,0,0,0,1,16,0,5,0,0,0,1,43,162
10,State,Jammu & Kashmir,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,10
