Sr. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Arms Act,96570,699,0.7,83494,86.5,12377,12.8
2,Narcotic Drugs & Psychotropic Substances Act,47869,441,0.9,35030,73.2,12398,25.9
3,Gambling Act,373181,723,0.2,346272,92.8,26186,7
4,Excise Act,212944,386,0.2,198113,93,14445,6.8
5,Prohibition Act,502816,13922,2.8,407477,81,81417,16.2
6,Explosives & Explosive Substances Act,8150,263,3.2,5017,61.6,2870,35.2
7,Immoral Traffic (p) Act,11050,129,1.2,7939,71.8,2982,27
8,Indian Railways Act,245,10,4.1,132,53.9,103,42
9,Registration of foreigners Act,2832,26,0.9,1683,59.4,1123,39.7
10,Protection of Civil Rights Act - Total,435,50,11.5,315,72.4,70,16.1
10,Protection of Civil Rights Act - (i) Pcr Act for Scs,425,50,11.8,307,72.2,68,16
10,Protection of Civil Rights Act - (ii) Pcr Act for Sts,10,0,0,8,80,2,20
11,Indian Passport Act,3343,9,0.3,2045,61.2,1289,38.6
12,Essential Commodities Act,15171,577,3.8,9930,65.5,4664,30.7
13,Terrorist & Disruptive Activities Act,926,0,0,192,20.7,734,79.3
14,Antiquities & Art Treasures Act,107,12,11.2,53,49.5,42,39.3
15,Dowry Prohibition Act,13935,182,1.3,9955,71.4,3798,27.3
16,Child Marriage Restraint Act,51,2,3.9,23,45.1,26,51
17,Indecent Representation of Women (p) Act,917,1,0.1,885,96.5,31,3.4
18,Copyright Act,9966,101,1,7088,71.1,2777,27.9
19,Sati Prevention Act,0,0,0,0,0,0,0
20,Sc/st (prevention of Atrocities) Act - Total,26808,2517,9.4,18115,67.6,6176,23
20,Sc/st (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for Scs,24819,2482,10,16656,67.1,5681,22.9
20,Sc/st (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for Sts,1989,35,1.8,1459,73.4,495,24.9
21,forest Act,7991,291,3.6,6945,86.9,755,9.4
22,Other Sll Crimes,3809382,243665,6.4,3496887,91.8,68830,1.8
23,Total Cognizable Crimes Under Sll,5144689,264006,5.1,4637590,90.1,243093,4.7
