Si. No.,Category,States/ UTs/Cities,Estimated Mid-Year Population,Infanticide (Sec. 315 IPC) - (I),Infanticide (Sec. 315 IPC) - ( R),Infanticide (Sec. 315 IPC) - (P),Murder (Sec. 302 IPC) - (I),Murder (Sec. 302 IPC) - ( R),Murder (Sec. 302 IPC) - (P),Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - (R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - (P)","Foeticide (Sec.315,316 IPC) - (I)","Foeticide (Sec.315,316 IPC) - ( R)","Foeticide (Sec.315,316 IPC) - (P)",Abetment to Suicide (Sec.305 IPC) - (I),Abetment to Suicide (Sec.305 IPC) - ( R),Abetment to Suicide (Sec.305 IPC) - (P),Exposure and Abandonment (Sec.317 IPC) - (I),Exposure and Abandonment (Sec.317 IPC) - ( R),Exposure and Abandonment (Sec.317 IPC) - (P),Procuration of Minor Girl (Sec.366A IPC) - (I),Procuration of Minor Girl (Sec.366A IPC) - ( R),Procuration of Minor Girl (Sec.366A IPC) - (P),Buying of Girls For Prostitution (Sec.373 IPC) - (I),Buying of Girls For Prostitution (Sec.373 IPC) - ( R),Buying of Girls For Prostitution (Sec.373 IPC) - (P),Selling of Girls For Prostitution (Sec.372 IPC) - (I),Selling of Girls For Prostitution (Sec.372 IPC) - ( R),Selling of Girls For Prostitution (Sec.372 IPC) - (P),"Child Marriage Restraint Act, 1929 - (I)","Child Marriage Restraint Act, 1929 - ( R)","Child Marriage Restraint Act, 1929 - (P)",Other Crimes - (I),Other Crimes - ( R),Other Crimes - (P),Total - (I),Total - ( R),Total - (P)
1,State,Andhra Pradesh,832.99,9,0,14.3,68,0.1,4.6,416,0.5,7.7,632,0.8,7.1,6,0,4.9,13,0,28.3,77,0.1,9,28,0,11.8,1,0,3.1,1,0,1.8,0,0,0,468,0.6,6.7,1719,2.1,7.1
2,State,Arunachal Pradesh,12.2,0,0,0,0,0,0,16,1.3,0.3,17,1.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2.7,0.1
3,State,Assam,305.28,0,0,0,4,0,0.3,10,0,0.2,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.1,0.4,44,0.1,0.2
4,State,Bihar,957.5,0,0,0,126,0.1,8.5,63,0.1,1.2,722,0.8,8.1,5,0,4.1,0,0,0,0,0,0,58,0.1,24.5,0,0,0,0,0,0,0,0,0,42,0,0.6,1016,1.1,4.2
5,State,Chhattisgarh,241.6,3,0,4.8,44,0.2,3,394,1.6,7.3,121,0.5,1.4,7,0,5.7,4,0,8.7,3,0,0.4,5,0,2.1,0,0,0,0,0,0,0,0,0,738,3.1,10.6,1319,5.5,5.5
6,State,Goa,16.91,0,0,0,3,0.2,0.2,30,1.8,0.6,21,1.2,0.2,0,0,0,0,0,0,6,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,32,1.9,0.5,92,5.4,0.4
7,State,Gujarat,574.37,1,0,1.6,66,0.1,4.4,91,0.2,1.7,503,0.9,5.6,3,0,2.4,0,0,0,129,0.2,15.1,2,0,0.8,0,0,0,1,0,1.8,0,0,0,172,0.3,2.5,968,1.7,4
8,State,Haryana,242.43,0,0,0,19,0.1,1.3,116,0.5,2.2,149,0.6,1.7,3,0,2.4,1,0,2.2,20,0.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,45,0.2,0.6,353,1.5,1.5
9,State,Himachal Pradesh,66.29,0,0,0,9,0.1,0.6,83,1.3,1.5,72,1.1,0.8,1,0,0.8,1,0,2.2,5,0.1,0.6,6,0.1,2.5,0,0,0,0,0,0,0,0,0,44,0.7,0.6,221,3.3,0.9
10,State,Jammu & Kashmir,129.09,2,0,3.2,1,0,0.1,4,0,0.1,10,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0.1,0.1
11,State,Jharkhand,305.44,1,0,1.6,10,0,0.7,8,0,0.1,8,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.1,0.5,60,0.2,0.2
