Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,169,157.2,115,245.3,1,0.2,2,2.6,0,0,2,2.6,2,0,14,3.9,241,117.8,544,527
2,State,Arunachal Pradesh,12,3.7,5,2.2,0,0,0,0,0,0,0,0,0,0,8,6.8,30,7.7,55,20.4
3,State,Assam,337,118.2,60,40.6,0,0,0,0,0,0,0,0,1,11.5,43,14.5,239,85.3,680,270
4,State,Bihar,217,77.6,827,378.2,0,0,45,4,27,2.6,18,1.4,2,0.6,57,22.4,471,194.5,1619,677.3
5,State,Chhattisgarh,47,17,115,33.4,0,0,6,1.4,1,1.4,5,0,6,15.3,8,0.9,372,197.2,554,265.3
6,State,Goa,3,1.7,3,25.1,0,0,1,0.1,0,0,1,0.1,1,0,2,4,20,10.8,30,41.5
7,State,Gujarat,132,87.8,60,110.9,1,2.1,11,7.9,5,0.6,6,7.4,5,22,69,66.2,1142,462.2,1420,759
8,State,Haryana,99,167.7,113,237.8,0,0,18,1.7,6,1.2,12,0.5,9,49.6,33,49.9,407,633.3,679,1140
9,State,Himachal Pradesh,1,1.2,1,0.1,0,0,0,0,0,0,0,0,3,7.6,1,0.5,15,22.3,21,31.5
10,State,Jammu & Kashmir,7,1,1,11,0,0,0,0,0,0,0,0,0,0,3,0.6,58,29.3,69,41.9
11,State,Jharkhand,128,81.5,360,119.4,0,0,19,2.5,15,2.3,4,0.2,3,39,76,35.9,194,79.9,780,358.1
12,State,Karnataka,260,236.3,92,226.7,1,0.2,47,9.9,25,8.5,22,1.3,4,4.8,44,36.9,1377,663.7,1825,1178.4
13,State,Kerala,171,76.9,30,31.9,0,0,3,0.8,3,0.8,0,0,0,0,42,6,584,216.8,830,332.2
14,State,Madhya Pradesh,395,128.5,300,235.8,0,0,43,7.4,22,4.1,21,3.3,5,12.5,45,28.6,1482,596.6,2270,1009.4
15,State,Maharashtra,388,288.4,314,598.5,2,0,82,18.6,40,10.4,42,8.2,5,35.9,174,171.8,2349,1369.9,3314,2483
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.6,3,3.6
17,State,Meghalaya,16,2.9,29,11.4,0,0,0,0,0,0,0,0,0,0,3,0.3,19,7.3,67,22
18,State,Mizoram,0,0,3,6.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6.9
19,State,Nagaland,20,230.1,34,111.1,0,0,3,0,0,0,3,0,0,0,0,0,35,6193.4,92,6534.6
20,State,Orissa,218,81.6,420,269,2,0.6,70,26.4,5,0.9,65,25.5,7,8.1,121,55.3,650,368.2,1488,809.2
21,State,Punjab,7,9.2,25,37.2,0,0,2,0,0,0,2,0,1,2.8,29,51.1,107,141.1,171,241.6
22,State,Rajasthan,33,9.3,77,256.4,0,0,0,0,0,0,0,0,5,38.8,17,134.8,754,933.8,886,1373
23,State,Sikkim,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,4,0.6
24,State,Tamil Nadu,213,112.6,84,89.7,2,0.2,38,11.4,24,9.6,14,1.9,0,0,150,85.6,657,401.4,1144,701
25,State,Tripura,25,9,1,0.2,0,0,0,0,0,0,0,0,0,0,18,4.7,33,7.3,77,21.2
26,State,Uttar Pradesh,186,85.9,891,872.1,0,0,33,13.2,18,4.7,15,8.5,8,57.1,8,14.2,1159,811.9,2285,1854.4
27,State,Uttarakhand,16,13.6,75,67.3,0,0,0,0,0,0,0,0,0,0,2,0.4,86,34.1,179,115.4
28,State,West Bengal,104,54.1,81,81.6,0,0,23,6.4,18,5.3,5,1.2,3,17.2,33,49.2,507,385.3,751,593.9
State,State,Total (States),3205,2052.8,4116,4099.9,9,3.2,446,114.3,209,52.1,237,62.1,70,322.6,1000,844.4,12995,13975.2,21841,21412.4
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.2,11,2.2
30,Union Territory,Chandigarh,5,2.6,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,17,5.3,27,8.8
31,Union Territory,D & N Haveli,0,0,2,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.1
32,Union Territory,Daman & Diu,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.7,4,3.4
