Sr. No.,Category,States/ UTs,Disposal of Cases - Murder (Sec.302 IPC) - Confession,Disposal of Cases -Murder (Sec.302 IPC) - Trial,Disposal of Cases - Murder (Sec.302 IPC) - Total,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases - C.h. not Amounting to Murder (Sec.304 , 308 IPC) - Confession","Disposal of Cases - C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - Trial","Disposal of Cases - C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - Total",Disposal of Cases - Rape (Sec. 376 IPC) - Confession,Disposal of Cases - Rape (Sec. 376 IPC) - Trial,Disposal of Cases - Rape (Sec. 376 IPC) - Total,"Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Cofession","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Trial","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",Disposal of Cases - Kidnapping & Abduction of Women & Girls - Confession,Disposal of Cases - Kidnapping & Abduction of Women & Girls - Trial,Disposal of Cases - Kidnapping & Abduction of Women & Girls - Total,Disposal of Cases - Kidnapping & Abduction Others - Confession,Disposal of Cases - Kidnapping & Abduction Others - Trial,Disposal of Cases - Kidnapping & Abduction Others - Total,Disposal of Cases -Dacoity (Sec.395-398 IPC) - Confession,Disposal of Cases -Dacoity (Sec.395-398 IPC) - Trial,Disposal of Cases -Dacoity (Sec.395-398 IPC) - Total,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399-402 IPC) - Confession,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399-402 IPC) -Trial,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399-402 IPC) - Total,"Disposal of Cases -Robbery (Sec. 392-394,397,398 IPC) - Confession","Disposal of Cases -Robbery (Sec. 392-394,397,398 IPC) - Trial","Disposal of Cases - Robbery (Sec. 392-394,397,398 IPC) - Total","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) - Confession","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) -Trial","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) -Total","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Confession","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Trial","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Total",Disposal of Cases - Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases - Total - Confession,Disposal of Cases - Total - Trial,Disposal of Cases - Total - Total
1,State,Andhra Pradesh,0,1984,1984,0,1482,1482,0,97,97,0,967,967,0,1036,1036,0,794,794,0,242,242,0,186,186,0,5,5,2,363,365,0,1352,1352,0,478,478,0,440,440,2,8390,8392
2,State,Arunachal Pradesh,0,5,5,0,5,5,0,0,0,0,5,5,0,10,10,0,9,9,0,1,1,0,3,3,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,39,39
3,State,Assam,37,504,541,3,125,128,2,16,18,13,486,499,45,422,467,45,351,396,0,71,71,9,132,141,0,6,6,7,144,151,31,913,944,5,125,130,3,41,44,155,2914,3069
4,State,Bihar,0,2340,2340,0,2635,2635,0,199,199,0,738,738,0,1420,1420,0,640,640,0,780,780,0,741,741,0,84,84,0,706,706,0,4725,4725,0,338,338,0,593,593,0,14519,14519
5,State,Chhattisgarh,398,564,962,171,400,571,7,19,26,219,612,831,45,100,145,40,81,121,5,19,24,18,56,74,7,7,14,91,180,271,117,274,391,32,102,134,31,70,101,1136,2384,3520
6,State,Goa,0,34,34,0,13,13,0,4,4,0,25,25,0,17,17,0,12,12,0,5,5,0,4,4,0,0,0,0,14,14,0,53,53,0,6,6,0,2,2,0,172,172
7,State,Gujarat,21,448,469,3,203,206,0,11,11,4,179,183,5,377,382,5,331,336,0,46,46,0,85,85,0,3,3,2,228,230,31,877,908,2,181,183,0,19,19,68,2611,2679
8,State,Haryana,0,633,633,0,501,501,0,58,58,0,475,475,0,378,378,0,284,284,0,94,94,0,89,89,0,225,225,0,285,285,0,724,724,0,91,91,0,237,237,0,3696,3696
9,State,Himachal Pradesh,0,82,82,0,52,52,0,12,12,0,118,118,0,47,47,0,44,44,0,3,3,0,5,5,0,1,1,0,9,9,0,364,364,0,48,48,0,4,4,0,742,742
10,State,Jammu & Kashmir,0,153,153,0,275,275,0,15,15,0,206,206,0,395,395,0,381,381,0,14,14,0,13,13,0,0,0,0,43,43,0,481,481,0,94,94,0,8,8,0,1683,1683
11,State,Jharkhand,14,985,999,5,869,874,0,85,85,2,720,722,2,685,687,1,423,424,1,262,263,2,290,292,0,29,29,3,529,532,0,2650,2650,0,94,94,1,231,232,29,7167,7196
12,State,Karnataka,76,1096,1172,88,990,1078,6,55,61,109,233,342,10,289,299,8,133,141,2,156,158,4,199,203,12,130,142,5,537,542,171,3256,3427,12,110,122,2,154,156,495,7049,7544
13,State,Kerala,0,261,261,0,246,246,0,38,38,0,336,336,0,133,133,0,89,89,0,44,44,0,53,53,0,167,167,0,355,355,11,4623,4634,0,156,156,0,21,21,11,6389,6400
14,State,Madhya Pradesh,0,1733,1733,0,1773,1773,0,186,186,0,2278,2278,0,557,557,0,406,406,0,151,151,0,89,89,0,109,109,0,1170,1170,0,2017,2017,0,889,889,0,666,666,0,11467,11467
15,State,Maharashtra,6,1452,1458,1,782,783,1,48,49,1,952,953,0,423,423,0,323,323,0,100,100,0,283,283,0,157,157,1,934,935,5,3948,3953,0,580,580,0,223,223,15,9782,9797
16,State,Manipur,0,5,5,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
17,State,Meghalaya,2,26,28,0,16,16,0,4,4,0,23,23,0,17,17,0,13,13,0,4,4,0,15,15,0,0,0,1,16,17,0,2,2,0,16,16,0,0,0,3,135,138
18,State,Mizoram,22,2,24,5,4,9,4,2,6,54,12,66,6,0,6,1,0,1,5,0,5,4,0,4,0,0,0,6,0,6,1,0,1,25,0,25,0,0,0,127,20,147
19,State,Nagaland,5,20,25,6,12,18,2,6,8,3,8,11,6,15,21,0,1,1,6,14,20,0,0,0,0,0,0,6,26,32,1,2,3,1,5,6,0,0,0,30,94,124
20,State,Odisha,0,620,620,0,759,759,0,37,37,0,673,673,0,322,322,0,276,276,0,46,46,0,197,197,0,25,25,0,533,533,0,951,951,0,266,266,0,258,258,0,4641,4641
21,State,Punjab,0,613,613,2,606,608,0,87,87,0,465,465,0,240,240,0,192,192,0,48,48,0,29,29,0,106,106,0,86,86,0,2,2,1,33,34,0,121,121,3,2388,2391
22,State,Rajasthan,0,691,691,0,1016,1016,0,39,39,0,606,606,0,512,512,0,363,363,0,149,149,0,29,29,0,59,59,0,415,415,0,2101,2101,0,219,219,0,228,228,0,5915,5915
23,State,Sikkim,0,5,5,0,9,9,0,1,1,0,17,17,0,5,5,0,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0,4,4,0,0,0,0,45,45
24,State,Tamil Nadu,8,1119,1127,10,1316,1326,0,21,21,4,402,406,1,435,436,1,301,302,0,134,134,3,79,82,0,31,31,7,361,368,9,1811,1820,6,259,265,3,181,184,51,6015,6066
25,State,Tripura,0,46,46,1,18,19,0,1,1,2,94,96,0,56,56,0,38,38,0,18,18,0,8,8,0,3,3,0,32,32,9,59,68,0,20,20,0,21,21,12,358,370
26,State,Uttar Pradesh,0,4062,4062,0,4123,4123,0,1233,1233,0,1353,1353,0,2970,2970,0,2495,2495,0,475,475,0,309,309,0,90,90,0,1415,1415,0,2847,2847,0,222,222,0,1670,1670,0,20294,20294
27,State,Uttarakhand,0,154,154,0,133,133,0,40,40,0,94,94,0,100,100,0,83,83,0,17,17,0,10,10,0,1,1,0,92,92,0,221,221,0,7,7,0,88,88,0,940,940
28,State,West Bengal,10,837,847,0,405,405,1,227,228,15,846,861,4,464,468,3,397,400,1,67,68,0,116,116,2,257,259,0,139,139,2,1959,1961,0,84,84,8,221,229,42,5555,5597
State,State,Total (States),599,20474,21073,295,18771,19066,23,2541,2564,426,12923,13349,124,11426,11550,104,8464,8568,20,2962,2982,40,3020,3060,21,1495,1516,131,8624,8755,388,36215,36603,84,4427,4511,48,5497,5545,2179,125413,127592
29,Union Territory,Andaman & Nicobar Islands,0,16,16,0,2,2,0,0,0,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,2,2,0,0,0,0,30,30
30,Union Territory,Chandigarh,0,18,18,0,14,14,0,9,9,0,28,28,0,28,28,0,24,24,0,4,4,0,3,3,0,2,2,0,11,11,0,45,45,0,0,0,0,3,3,0,161,161
31,Union Territory,Dadra Nagar Haveli,0,3,3,0,1,1,0,0,0,0,2,2,0,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,0,0,0,17,17
