Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,24,79.4,31,118.8,0,0,0,0,0,0,0,0,1,10,6,3.3,40,33,102,244.7
2,State,Arunachal Pradesh,11,5.6,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,39.2,20,45
3,State,Assam,172,351.9,22,22.3,1,0.8,1,0.4,1,0.4,0,0,1,9.4,13,7.5,41,105.2,251,497.5
4,State,Bihar,321,247.6,165,87.4,0,0,36,12.9,36,12.9,0,0,7,21.6,24,24.5,101,61.5,654,455.4
5,State,Chhattisgarh,56,56.2,17,16.6,0,0,0,0,0,0,0,0,1,3.5,0,0,60,62.7,134,138.9
6,State,Goa,3,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22.6
7,State,Gujarat,79,223.1,15,207.7,0,0,8,1.1,5,0.3,3,0.8,1,0.4,18,123.3,125,181.7,246,737.3
8,State,Haryana,27,57.4,37,240.9,0,0,5,7.8,2,0.1,3,7.7,3,45.3,9,53.3,72,205.4,153,610
9,State,Himachal Pradesh,1,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22.7,4,33.1
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.4,1,8.4
11,State,Jharkhand,206,206.2,116,90.2,0,0,14,7.4,13,7.4,1,0,7,14.1,18,124.4,51,319.5,412,761.9
12,State,Karnataka,65,92.5,31,370.1,0,0,2,2.3,2,2.3,0,0,2,0.6,12,13.1,161,659.5,273,1138
