Sr. No.,Category,States/ UTs/Cities,Arms Act - (I),Arms Act - (R),Narcotic Drugs & Psychotropic Substances Act - (I),Narcotic Drugs & Psychotropic Substances Act - (R),Gambling Act - (I),Gambling Act - (R),Excise Act - (I),Excise Act - (R),Prohibition Act - (I),Prohibition Act - (R),Explosives and Explosive Substances Act - (I),Explosives and Explosive Substances Act - (R),Immoral Traffic (Prevention) Act - (I),Immoral Traffic (Prevention) Act - (R),Indian Railways Act - (I),Indian Railways Act - (R),Registration of Foreigners Act - (I),Registration of Foreigners Act - (R),PCR Act (Total SC & ST) - (I),PCR Act (Total SC & ST) - (R),PCR Act for SCs - (I),PCR Act for SCs - ( R),PCR Act for STs - (I),PCR Act for STs - (R),Indian Passport Act - (I),Indian Passport Act - ( R),Essential Commodities Act - (I),Essential Commodities Act - ( R),Terrorist & Disruptive Activities Act - (I),Terrorist & Disruptive Activities Act - (R),Antiquities & Art Treasures Act - (I),Antiquities & Art Treasures Act - (R),Dowry Prohibition Act - (I),Dowry Prohibition Act - (R),Child Marriage Restraint Act - (I),Child Marriage Restraint Act - ( R),Indecent Representation of Women (P) Act - (I),Indecent Representation of Women (P) Act - (R),Copyright Act - (I),Copyright Act - ( R),Sati Prevention Act - (I),Sati Prevention Act - ( R),SC/ST (Prev.) of Atrocities) Act Total - (I),SC/ST (Prev.) of Atrocities) Act Total - (R),SC/ST (Prev) of Atrocities Act For SCs - (I),SC/ST (Prev) of Atrocities Act For SCs - ( R),SC/ST (Prev) of Atrocities Act for STs - (I),SC/ST (Prev) of Atrocities Act for STs - ( R),Forest Act - (I),Forest Act - (R),Other SLL Crimes # - (I),Other SLL Crimes # - ( R),Total Cognizable Crimes Under SLL - (I),Total Cognizable Crimes Under SLL - ( R)
1,State,Andhra Pradesh,348,0.4,327,0.4,56610,68,6812,8.2,1931,2.3,555,0.7,279,0.3,12,0,10,0,41,0,39,0,2,0,105,0.1,86,0.1,0,0,10,0,1362,1.6,0,0,704,0.8,385,0.5,0,0,2063,2.5,1737,2.1,326,0.4,13,0,398472,478.4,470125,564.4
2,State,Arunachal Pradesh,18,1.5,28,2.3,0,0,0,0,0,0,8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,6.4,132,10.8
3,State,Assam,427,1.4,186,0.6,69,0.2,20,0.1,3,0,182,0.6,37,0.1,4,0,3,0,0,0,0,0,0,0,108,0.4,28,0.1,0,0,0,0,40,0.1,0,0,0,0,18,0.1,0,0,0,0,0,0,0,0,10,0,838,2.7,1973,6.5
4,State,Bihar,1926,2,311,0.3,262,0.3,2255,2.4,125,0.1,163,0.2,40,0,33,0,3,0,0,0,0,0,0,0,0,0,446,0.5,0,0,2,0,1252,1.3,0,0,0,0,39,0,0,0,2565,2.7,2534,2.6,31,0,39,0,1133,1.2,10594,11.1
5,State,Chhattisgarh,1119,4.6,360,1.5,7389,30.6,15296,63.3,0,0,158,0.7,9,0,2,0,0,0,0,0,0,0,0,0,0,0,109,0.5,0,0,0,0,16,0.1,0,0,1,0,29,0.1,0,0,231,1,107,0.4,124,0.5,5,0,182225,754.2,206949,856.6
6,State,Goa,4,0.2,35,2.1,568,33.6,1,0.1,0,0,0,0,23,1.4,0,0,38,2.2,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,11,0.7,0,0,0,0,0,0,0,0,0,0,1895,112.1,2577,152.4
7,State,Gujarat,345,0.6,60,0.1,8229,14.3,0,0,176206,306.8,79,0.1,41,0.1,3,0,6,0,2,0,2,0,0,0,16,0,190,0.3,0,0,0,0,2,0,0,0,0,0,383,0.7,0,0,477,0.8,400,0.7,77,0.1,2,0,27298,47.5,213339,371.4
8,State,Haryana,1625,6.7,882,3.6,4683,19.3,13289,54.8,0,0,25,0.1,90,0.4,7,0,19,0.1,0,0,0,0,0,0,3,0,205,0.8,0,0,0,0,6,0,0,0,0,0,134,0.6,0,0,91,0.4,91,0.4,0,0,0,0,2084,8.6,23143,95.5
9,State,Himachal Pradesh,24,0.4,473,7.1,351,5.3,2590,39.1,0,0,7,0.1,5,0.1,1,0,2,0,1,0,1,0,0,0,0,0,31,0.5,0,0,1,0,4,0.1,0,0,0,0,49,0.7,0,0,61,0.9,60,0.9,1,0,236,3.6,267,4,4103,61.9
10,State,Jammu & Kashmir,289,2.2,302,2.3,130,1,507,3.9,0,0,63,0.5,6,0,0,0,11,0.1,1,0,1,0,0,0,2,0,449,3.5,0,0,0,0,3,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,20,0.2,244,1.9,2033,15.7
11,State,Jharkhand,644,2.1,131,0.4,118,0.4,557,1.8,0,0,97,0.3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,100,0.3,0,0,0,0,414,1.4,0,0,0,0,13,0,0,0,332,1.1,270,0.9,62,0.2,88,0.3,1138,3.7,3635,11.9
12,State,Karnataka,90,0.2,250,0.4,5817,10,4294,7.4,0,0,83,0.1,329,0.6,6,0,69,0.1,10,0,10,0,0,0,51,0.1,437,0.8,0,0,8,0,904,1.6,3,0,1,0,52,0.1,0,0,1244,2.1,1097,1.9,147,0.3,135,0.2,3442,5.9,17225,29.6
13,State,Kerala,325,0.9,646,1.9,2659,7.7,0,0,20213,58.3,496,1.4,314,0.9,2,0,38,0.1,0,0,0,0,0,0,179,0.5,221,0.6,0,0,1,0,8,0,0,0,24,0.1,562,1.6,0,0,48,0.1,42,0.1,6,0,0,0,140638,405.7,166374,480
14,State,Madhya Pradesh,10075,14.2,752,1.1,19896,28.1,27862,39.3,0,0,195,0.3,19,0,21,0,0,0,0,0,0,0,0,0,0,0,514,0.7,0,0,0,0,91,0.1,0,0,1,0,90,0.1,0,0,0,0,0,0,0,0,45,0.1,68217,96.2,127778,180.2
15,State,Maharashtra,1185,1.1,1453,1.3,11589,10.7,0,0,71814,66.1,39,0,271,0.2,17,0,23,0,24,0,24,0,0,0,89,0.1,1639,1.5,0,0,2,0,50,0,0,0,1,0,728,0.7,0,0,328,0.3,291,0.3,37,0,40,0,46126,42.4,135418,124.6
16,State,Manipur,10,0.4,16,0.6,0,0,0,0,0,0,10,0.4,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,31.9,917,34.3
17,State,Meghalaya,48,1.9,19,0.7,14,0.5,0,0,0,0,13,0.5,1,0,0,0,32,1.2,0,0,0,0,0,0,2,0.1,4,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,1.3,167,6.5
18,State,Mizoram,26,2.6,97,9.7,54,5.4,0,0,110,11,1,0.1,1,0.1,0,0,19,1.9,0,0,0,0,0,0,29,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,40.7,742,74.5
19,State,Nagaland,93,4.2,95,4.3,1,0,49,2.2,42,1.9,6,0.3,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,2.2,339,15.2
20,State,Odisha,379,0.9,97,0.2,709,1.8,8879,22,1,0,149,0.4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0.4,0,0,0,0,945,2.3,0,0,0,0,17,0,0,0,732,1.8,652,1.6,80,0.2,0,0,636,1.6,12731,31.5
21,State,Punjab,715,2.7,4421,16.4,3944,14.6,7357,27.3,5,0,14,0.1,59,0.2,14,0.1,0,0,0,0,0,0,0,0,17,0.1,125,0.5,0,0,1,0,9,0,0,0,0,0,466,1.7,0,0,71,0.3,71,0.3,0,0,0,0,693,2.6,17911,66.4
22,State,Rajasthan,3582,5.4,1029,1.6,12462,18.9,12302,18.6,0,0,341,0.5,62,0.1,5,0,10,0,0,0,0,0,0,0,8,0,325,0.5,0,0,0,0,3,0,0,0,106,0.2,445,0.7,0,0,131,0.2,110,0.2,21,0,2416,3.7,10553,16,43780,66.3
23,State,Sikkim,2,0.3,4,0.7,0,0,0,0,0,0,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,12.9,86,14.2
24,State,Tamil Nadu,162,0.2,1736,2.6,11957,17.8,0,0,116512,173.6,526,0.8,716,1.1,7,0,12,0,2,0,2,0,0,0,371,0.6,165,0.2,0,0,0,0,207,0.3,0,0,2,0,1917,2.9,0,0,1064,1.6,1047,1.6,17,0,3,0,407907,607.9,543266,809.6
25,State,Tripura,28,0.8,53,1.5,4,0.1,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,44,1.2,66,1.9,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,3,0.1,3,0.1,0,0,0,0,6,0.2,208,5.8
26,State,Uttar Pradesh,53141,27.2,14278,7.3,13609,7,74908,38.3,0,0,1050,0.5,39,0,24,0,1,0,61,0,61,0,0,0,12,0,1964,1,0,0,7,0,274,0.1,0,0,0,0,254,0.1,0,0,2556,1.3,2554,1.3,2,0,1659,0.8,2179607,1114.8,2343444,1198.6
27,State,Uttarakhand,1108,11.4,392,4,557,5.8,3252,33.6,0,0,24,0.2,6,0.1,15,0.2,7,0.1,0,0,0,0,0,0,7,0.1,78,0.8,0,0,0,0,1,0,0,0,0,0,39,0.4,0,0,33,0.3,33,0.3,0,0,85,0.9,181134,1871,186738,1928.9
28,State,West Bengal,1258,1.4,555,0.6,171,0.2,568,0.6,3,0,117,0.1,63,0.1,1,0,903,1,0,0,0,0,0,0,162,0.2,174,0.2,0,0,1,0,46,0.1,0,0,2,0,229,0.3,0,0,18,0,10,0,8,0,5,0,2816,3.2,7092,7.9
State,State,Total (States),78996,6.9,28988,2.5,161852,14.1,180798,15.7,386965,33.7,4402,0.4,2429,0.2,175,0,1237,0.1,142,0,140,0,2,0,1206,0.1,7530,0.7,0,0,33,0,5639,0.5,3,0,845,0.1,5866,0.5,0,0,12048,1,11109,1,939,0.1,4801,0.4,3658864,318.6,4542819,395.5
29,Union Territory,Andaman & Nicobar Islands,2,0.5,37,8.7,31,7.3,3874,915.8,64,15.1,2,0.5,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,1165,275.4,5177,1223.9
30,Union Territory,Chandigarh,12,1.1,71,6.5,144,13.1,245,22.3,0,0,1,0.1,4,0.4,0,0,7,0.6,0,0,0,0,0,0,1,0.1,7,0.6,0,0,0,0,0,0,0,0,0,0,19,1.7,0,0,0,0,0,0,0,0,0,0,45,4.1,556,50.7
31,Union Territory,Dadra Nagar Haveli,0,0,0,0,1,0.4,9,3.3,0,0,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,1,0.4,0,0,4,1.5,0,0,4,1.5,0,0,0,0,18,6.5
32,Union Territory,Daman & Diu,0,0,1,0.5,5,2.6,0,0,0,0,0,0,4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5.2
33,Union Territory,Delhi,931,5.2,299,1.7,150,0.8,1396,7.9,0,0,1,0,27,0.2,0,0,12,0.1,2,0,2,0,0,0,41,0.2,15,0.1,0,0,1,0,6,0,0,0,0,0,134,0.8,0,0,31,0.2,31,0.2,0,0,1,0,1006,5.7,4053,22.8
34,Union Territory,Lakshadweep,0,0,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,9.9
35,Union Territory,Pondicherry,168,15.3,3,0.3,35,3.2,0,0,0,0,11,1,9,0.8,0,0,1,0.1,26,2.4,26,2.4,0,0,1,0.1,70,6.4,0,0,2,0.2,4,0.4,0,0,0,0,29,2.6,0,0,3,0.3,3,0.3,0,0,0,0,870,79.3,1232,112.3
Union Territory,Union Territory,Total (UTs),1113,5.3,413,2,366,1.7,5524,26.4,64,0.3,17,0.1,45,0.2,0,0,20,0.1,28,0.1,28,0.1,0,0,43,0.2,92,0.4,0,0,3,0,11,0.1,0,0,0,0,183,0.9,0,0,39,0.2,34,0.2,5,0,1,0,3091,14.8,11053,52.8
Total (All-India),Total (All-India),Total (All-India),80109,6.9,29401,2.5,162218,13.9,186322,15.9,387029,33.1,4419,0.4,2474,0.2,175,0,1257,0.1,170,0,168,0,2,0,1249,0.1,7622,0.7,0,0,36,0,5650,0.5,3,0,845,0.1,6049,0.5,0,0,12087,1,11143,1,944,0.1,4802,0.4,3661955,313.1,4553872,389.4
36,City,Agra,674,51,161,12.2,518,39.2,245,18.5,0,0,3,0.2,7,0.5,1,0.1,0,0,0,0,0,0,0,0,0,0,17,1.3,0,0,0,0,0,0,0,0,0,0,21,1.6,0,0,12,0.9,12,0.9,0,0,4,0.3,29589,2239.9,31252,2365.8
37,City,Ahmedabad,61,1.3,7,0.2,949,21,0,0,6492,143.7,27,0.6,13,0.3,0,0,0,0,0,0,0,0,0,0,0,0,22,0.5,0,0,0,0,0,0,0,0,0,0,97,2.1,0,0,74,1.6,69,1.5,5,0.1,0,0,2512,55.6,10254,226.9
38,City,Allahabad,339,32.3,326,31,167,15.9,314,29.9,0,0,324,30.9,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,2,0.2,0,0,0,0,4,0.4,0,0,0,0,0,0,0,0,6,0.6,43304,4124.2,44795,4266.2
39,City,Amritsar,23,2.3,192,19,115,11.4,399,39.5,0,0,8,0.8,5,0.5,0,0,0,0,0,0,0,0,0,0,8,0.8,5,0.5,0,0,0,0,0,0,0,0,0,0,58,5.7,0,0,3,0.3,3,0.3,0,0,0,0,39,3.9,855,84.6
40,City,Asansol,22,2,0,0,0,0,7,0.6,0,0,2,0.2,1,0.1,0,0,2,0.2,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,5,0.5,0,0,0,0,6,0.5,0,0,2,0.2,0,0,2,0.2,0,0,48,4.4,97,8.9
41,City,Bengaluru,13,0.2,35,0.6,142,2.5,238,4.2,0,0,8,0.1,134,2.4,0,0,66,1.2,0,0,0,0,0,0,40,0.7,28,0.5,0,0,0,0,567,10,1,0,0,0,0,0,0,0,82,1.4,82,1.4,0,0,3,0.1,677,11.9,2034,35.8
42,City,Bhopal,511,35.1,33,2.3,911,62.6,651,44.7,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,11,0.8,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,32,2.2,2165,148.8
43,City,Chennai,0,0,63,1,697,10.8,0,0,1895,29.5,0,0,123,1.9,0,0,1,0,0,0,0,0,0,0,32,0.5,2,0,0,0,0,0,13,0.2,0,0,0,0,295,4.6,0,0,9,0.1,9,0.1,0,0,0,0,50727,789.5,53857,838.2
44,City,Coimbatore,0,0,70,4.8,207,14.3,0,0,95,6.6,1,0.1,13,0.9,0,0,2,0.1,0,0,0,0,0,0,26,1.8,5,0.3,0,0,0,0,0,0,0,0,0,0,52,3.6,0,0,7,0.5,7,0.5,0,0,0,0,2666,184.4,3144,217.4
45,City,Delhi (city),874,6.8,285,2.2,146,1.1,1141,8.9,0,0,1,0,27,0.2,0,0,12,0.1,2,0,2,0,0,0,41,0.3,14,0.1,0,0,1,0,6,0,0,0,0,0,131,1,0,0,27,0.2,27,0.2,0,0,1,0,930,7.3,3639,28.4
46,City,Dhanbad,8,0.8,2,0.2,7,0.7,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,14,1.3,0,0,0,0,2,0.2,0,0,7,0.7,6,0.6,1,0.1,0,0,97,9.1,142,13.3
47,City,Faridabad,196,18.6,10,0.9,289,27.4,1485,140.8,0,0,1,0.1,3,0.3,0,0,2,0.2,0,0,0,0,0,0,0,0,10,0.9,0,0,0,0,2,0.2,0,0,0,0,9,0.9,0,0,10,0.9,10,0.9,0,0,0,0,166,15.7,2183,206.9
48,City,Hyderabad,132,2.4,21,0.4,230,4.2,124,2.2,211,3.8,20,0.4,37,0.7,0,0,1,0,1,0,1,0,0,0,13,0.2,1,0,0,0,3,0.1,0,0,0,0,0,0,58,1,0,0,99,1.8,93,1.7,6,0.1,0,0,120597,2179.2,121548,2196.4
49,City,Indore,1029,62.8,27,1.6,1219,74.4,1200,73.2,0,0,1,0.1,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,23,1.4,0,0,0,0,3,0.2,0,0,0,0,12,0.7,0,0,4,0.2,2,0.1,2,0.1,0,0,79,4.8,3602,219.8
50,City,Jabalpur,550,49.2,31,2.8,1332,119.2,1104,98.8,0,0,32,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,0,0,19,1.7,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,12,1.1,3095,277.1
51,City,Jaipur,409,17.6,41,1.8,1154,49.7,768,33,0,0,2,0.1,15,0.6,0,0,2,0.1,0,0,0,0,0,0,3,0.1,20,0.9,0,0,0,0,1,0,0,0,44,1.9,90,3.9,0,0,7,0.3,5,0.2,2,0.1,4,0.2,601,25.9,3161,136
52,City,Jamshedpur,71,6.4,3,0.3,18,1.6,79,7.2,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,19,1.7,0,0,0,0,5,0.5,0,0,11,1,5,0.5,6,0.5,0,0,63,5.7,279,25.3
53,City,Kanpur,1600,59.5,868,32.3,488,18.1,1505,55.9,0,0,31,1.2,4,0.1,0,0,1,0,0,0,0,0,0,0,0,0,49,1.8,0,0,1,0,3,0.1,0,0,0,0,6,0.2,0,0,0,0,0,0,0,0,16,0.6,137432,5109,142004,5279
54,City,Kochi,9,0.7,185,13.7,66,4.9,0,0,4342,320.4,8,0.6,66,4.9,0,0,0,0,0,0,0,0,0,0,0,0,17,1.3,0,0,0,0,0,0,0,0,0,0,55,4.1,0,0,4,0.3,4,0.3,0,0,0,0,29007,2140.7,33759,2491.4
55,City,Kolkata,193,1.5,42,0.3,6,0,115,0.9,0,0,17,0.1,27,0.2,1,0,0,0,0,0,0,0,0,0,0,0,23,0.2,0,0,0,0,0,0,0,0,0,0,122,0.9,0,0,0,0,0,0,0,0,4,0,451,3.4,1001,7.6
56,City,Lucknow,1836,81,513,22.6,437,19.3,658,29,0,0,13,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.3,0,0,4,0.2,0,0,0,0,0,0,7,0.3,0,0,55,2.4,55,2.4,0,0,5,0.2,222731,9824.9,226289,9981.9
57,City,Ludhiana,136,9.7,139,10,335,24,304,21.8,0,0,0,0,11,0.8,0,0,0,0,0,0,0,0,0,0,0,0,15,1.1,0,0,0,0,0,0,0,0,0,0,48,3.4,0,0,5,0.4,5,0.4,0,0,0,0,55,3.9,1048,75.1
58,City,Madurai,1,0.1,58,4.9,131,11,0,0,669,56,0,0,31,2.6,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,0,0,0,0,0,0,35,2.9,0,0,8,0.7,8,0.7,0,0,0,0,29011,2427.7,29949,2506.2
59,City,Meerut,1222,104.7,93,8,312,26.7,675,57.8,0,0,2,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,7,0.6,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,52607,4507.9,54923,4706.3
60,City,Mumbai,242,1.5,1061,6.5,173,1.1,0,0,221,1.4,2,0,113,0.7,0,0,7,0,1,0,1,0,0,0,3,0,65,0.4,0,0,0,0,1,0,0,0,0,0,231,1.4,0,0,10,0.1,8,0,2,0,1,0,3168,19.4,5299,32.4
61,City,Nagpur,287,13.5,67,3.2,767,36.1,0,0,2699,127.1,1,0,20,0.9,0,0,2,0.1,0,0,0,0,0,0,0,0,84,4,0,0,0,0,7,0.3,1,0,0,0,25,1.2,0,0,2,0.1,2,0.1,0,0,0,0,24169,1138.4,28131,1325.1
62,City,Nasik,7,0.6,5,0.4,61,5.3,0,0,213,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.6,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,2,0.2,2,0.2,0,0,0,0,500,43.4,812,70.5
63,City,Patna,172,10.1,33,1.9,68,4,193,11.3,0,0,19,1.1,6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,18,1.1,0,0,0,0,0,0,0,0,49,2.9,49,2.9,0,0,0,0,74,4.3,649,38
64,City,Pune,65,1.7,73,1.9,377,10,0,0,2487,66.2,1,0,35,0.9,0,0,12,0.3,0,0,0,0,0,0,3,0.1,23,0.6,0,0,0,0,0,0,0,0,0,0,69,1.8,0,0,7,0.2,7,0.2,0,0,1,0,4821,128.4,7974,212.3
65,City,Rajkot,7,0.7,3,0.3,353,35.2,0,0,3492,348.5,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,7,0.7,0,0,3,0.3,3,0.3,0,0,0,0,466,46.5,4344,433.5
66,City,Surat,33,1.2,6,0.2,475,16.9,0,0,13249,471.3,7,0.2,4,0.1,0,0,5,0.2,0,0,0,0,0,0,5,0.2,3,0.1,0,0,0,0,1,0,0,0,0,0,26,0.9,0,0,14,0.5,9,0.3,5,0.2,1,0,2074,73.8,15903,565.7
67,City,Vadodara,6,0.4,6,0.4,412,27.6,0,0,10426,698.8,1,0.1,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5.5,0,0,7,0.5,6,0.4,1,0.1,0,0,1687,113.1,12635,846.8
68,City,Varanasi,657,54.2,381,31.4,170,14,328,27.1,0,0,8,0.7,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,34,2.8,0,0,0,0,0,0,0,0,0,0,7,0.6,0,0,39,3.2,39,3.2,0,0,4,0.3,31498,2598.8,33127,2733.3
