Sr. No.,Category,States/UTs/Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India/Cities Total,Population** (In Lakhs),Rate of Total Cognizable Crimes,Rank of* Criminality
1,State,Andhra Pradesh,180441,8.5,832.99,216.6,11
2,State,Arunachal Pradesh,2362,0.1,12.2,193.6,16
3,State,Assam,55313,2.6,305.28,181.2,19
4,State,Bihar,122931,5.8,957.5,128.4,27
5,State,Chhattisgarh,51370,2.4,241.6,212.6,12
6,State,Goa,3005,0.1,16.91,177.7,20
7,State,Gujarat,115183,5.4,574.37,200.5,15
8,State,Haryana,56229,2.7,242.43,231.9,8
9,State,Himachal Pradesh,13315,0.6,66.29,200.9,14
10,State,Jammu & Kashmir,21975,1,129.09,170.2,21
11,State,Jharkhand,37436,1.8,305.44,122.6,29
12,State,Karnataka,134042,6.3,582.04,230.3,9
13,State,Kerala,118369,5.6,346.62,341.5,2
14,State,Madhya Pradesh,207762,9.8,708.98,293,4
15,State,Maharashtra,199598,9.4,1087.01,183.6,18
16,State,Manipur,2852,0.1,26.71,106.8,31
17,State,Meghalaya,2448,0.1,25.77,95,32
18,State,Mizoram,2047,0.1,9.96,205.5,13
19,State,Nagaland,1059,0,22.23,47.6,35
20,State,Odisha,55740,2.6,404.33,137.9,25
21,State,Punjab,35545,1.7,269.81,131.7,26
22,State,Rajasthan,166565,7.9,660.56,252.2,7
23,State,Sikkim,669,0,6.04,110.8,30
24,State,Tamil Nadu,174691,8.2,671.06,260.3,6
25,State,Tripura,5486,0.3,35.67,153.8,23
26,State,Uttar Pradesh,172884,8.1,1955.22,88.4,34
27,State,Uttarakhand,8802,0.4,96.81,90.9,33
28,State,West Bengal,113036,5.3,892.13,126.7,28
State,State,Total (States),2061155,97.2,11485.05,179.5,NA
29,Union Territory,Andaman & Nicobar Islands,941,0,4.23,222.5,10
30,Union Territory,Chandigarh,3555,0.2,10.97,324.1,3
31,Union Territory,Dadra Nagar Haveli,442,0,2.75,160.7,22
32,Union Territory,Daman & Diu,276,0,1.94,142.3,24
33,Union Territory,Delhi,50251,2.4,177.82,282.6,5
34,Union Territory,Lakshadweep,134,0,0.71,188.7,17
35,Union Territory,Pondicherry,4591,0.2,10.97,418.5,1
Union Territory,Union Territory,Total (UTs),60190,2.8,209.39,287.5,NA
Total (All-India),Total (All-India),Total (All-India),2121345,100,11694.44,181.4,NA
36,City,Agra,4836,1.4,13.21,366.1,17
37,City,Ahmedabad,20726,6,45.19,458.6,10
38,City,Allahabad,2073,0.6,10.5,197.4,29
39,City,Amritsar,2157,0.6,10.11,213.4,26
40,City,Asansol,1361,0.4,10.91,124.7,33
41,City,Bengaluru,32380,9.4,56.87,569.4,5
42,City,Bhopal,12169,3.5,14.55,836.4,2
43,City,Chennai,10905,3.2,64.25,169.7,32
44,City,Coimbatore,4318,1.3,14.46,298.6,21
45,City,Delhi (city),45247,13.2,127.91,353.7,18
46,City,Dhanbad,1316,0.4,10.64,123.7,34
47,City,Faridabad,4409,1.3,10.55,417.9,12
48,City,Hyderabad,17840,5.2,55.34,322.4,20
49,City,Indore,14101,4.1,16.39,860.3,1
50,City,Jabalpur,6195,1.8,11.17,554.6,6
51,City,Jaipur,16788,4.9,23.24,722.4,3
52,City,Jamshedpur,3075,0.9,11.02,279,22
53,City,Kanpur,6812,2,26.9,253.2,24
54,City,Kochi,8757,2.5,13.55,646.3,4
55,City,Kolkata,13615,4,132.17,103,35
56,City,Lucknow,10482,3,22.67,462.4,9
57,City,Ludhiana,2888,0.8,13.95,207,28
58,City,Madurai,3000,0.9,11.95,251,25
59,City,Meerut,2431,0.7,11.67,208.3,27
60,City,Mumbai,31262,9.1,163.68,191,30
61,City,Nagpur,7785,2.3,21.23,366.7,15
62,City,Nasik,4218,1.2,11.52,366.1,16
63,City,Patna,8806,2.6,17.07,515.9,7
64,City,Pune,13848,4,37.56,368.7,14
65,City,Rajkot,4475,1.3,10.02,446.6,11
66,City,Surat,7564,2.2,28.11,269.1,23
67,City,Vadodara,5060,1.5,14.92,339.1,19
68,City,Varanasi,2254,0.7,12.12,186,31
69,City,Vijayawada,5180,1.5,10.11,512.4,8
70,City,Vishakhapatnam,5416,1.6,13.29,407.5,13
City,City,Total (Cities),343749,100,1078.8,318.6,NA
