Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs)#,Murder (Sec. 302 IPC) (I),Murder (Sec. 302 IPC) ( R),Murder (Sec. 302 IPC) (P),Rape (Sec. 376 IPC) (I),Rape (Sec. 376 IPC) (R),Rape (Sec. 376 IPC) (P),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (P)",Dacoity (Sec. 395-398 IPC) (I),Dacoity (Sec. 395-398 IPC) ( R),Dacoity (Sec. 395-398 IPC) (P),"Robbery (Sec. 392-394, 397, 398 IPC) (I)","Robbery (Sec. 392-394, 397, 398 IPC) ( R)","Robbery (Sec. 392-394, 397, 398 IPC) (P)","Arson (Sec. 435, 436, 438 IPC) (I)","Arson (Sec. 435, 436, 438 IPC) ( R)","Arson (Sec. 435, 436, 438 IPC) (P)","Hurt (Sec. 323-333, 335-338 IPC) (I)","Hurt (Sec. 323-333, 335-338 IPC) ( R)","Hurt (Sec. 323-333, 335-338 IPC) (P)","Prot. of Civil Rights Act, 1955 (I)","Prot. of Civil Rights Act, 1955 ( R)","Prot. of Civil Rights Act, 1955 (P)","SC/ST Prev. of Attrocities Act, 1989 (I)","SC/ST Prev. of Attrocities Act, 1989 ( R)","SC/ST Prev. of Attrocities Act, 1989 (P)",Other Offences (I),Other Offences ( R),Other Offences (P),Total (I),Total ( R),Total (P)
1,State,Andhra Pradesh,833,4,0,3.4,37,0,6.3,1,0,1.2,0,0,0,0,0,0,0,0,0,130,0.2,16.5,2,0,0,326,0.4,34.5,330,0.4,11.6,830,1,15.3
2,State,Arunachal Pradesh,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,3.4,14,1.1,1.8,0,0,0,0,0,0,6,0.5,0.2,21,1.7,0.4
3,State,Assam,305.3,3,0,2.5,1,0,0.2,0,0,0,0,0,0,3,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,9,0,0.2
4,State,Bihar,957.5,1,0,0.8,1,0,0.2,0,0,0,0,0,0,0,0,0,2,0,6.9,5,0,0.6,0,0,0,31,0,3.3,27,0,0.9,67,0.1,1.2
5,State,Chhattisgarh,241.6,17,0.1,14.4,88,0.4,15.1,16,0.1,19.5,0,0,0,2,0,8.3,3,0,10.3,88,0.4,11.2,0,0,0,124,0.5,13.1,213,0.9,7.5,551,2.3,10.2
6,State,Goa,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,574.4,8,0,6.8,19,0,3.3,9,0,11,0,0,0,3,0,12.5,2,0,6.9,26,0,3.3,0,0,0,77,0.1,8.2,51,0.1,1.8,195,0.3,3.6
8,State,Haryana,242.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,1,0,0
10,State,Jammu & Kashmir,129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
