Sr. No.,Category,States/ UTs/ Cities,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,State,Andhra Pradesh,13994.9,6378.2,45.6
2,State,Arunachal Pradesh,2460.9,1688.8,68.6
3,State,Assam,5254.6,1448.1,27.6
4,State,Bihar,5077.2,724.7,14.3
5,State,Chhattisgarh,4147.4,1440.5,34.7
6,State,Goa,6565.8,267.6,4.1
7,State,Gujarat,27315.6,4834.9,17.7
8,State,Haryana,9900.5,4828.4,48.8
9,State,Himachal Pradesh,3274.2,430.9,13.2
10,State,Jammu & Kashmir,2141.1,859.6,40.1
11,State,Jharkhand,3175.5,504.6,15.9
12,State,Karnataka,25114.7,8735.2,34.8
13,State,Kerala,28128.4,3843,13.7
14,State,Madhya Pradesh,11013.2,4318.7,39.2
15,State,Maharashtra,126137.6,13529.4,10.7
16,State,Manipur,1192,480.5,40.3
17,State,Meghalaya,536.3,95.8,17.9
18,State,Mizoram,1516.1,421.2,27.8
19,State,Nagaland,7360,214.8,2.9
20,State,Orissa,27759.8,2219.9,8
21,State,Punjab,8727.1,5512,63.2
22,State,Rajasthan,14755.7,8142,55.2
23,State,Sikkim,114.5,19.9,17.4
24,State,Tamil Nadu,8943.5,5933.9,66.3
25,State,Tripura,556.3,71.9,12.9
26,State,Uttar Pradesh,12409,5012.8,40.4
27,State,Uttarakhand,950,319,33.6
28,State,West Bengal,10951,2230.3,20.4
State,State,Total (States),369472.9,84506.5,22.9
29,Union Territory,A & N Islands,103.3,60.8,58.9
30,Union Territory,Chandigarh,1081,268.4,24.8
31,Union Territory,D & N Haveli,530.5,101.8,19.2
32,Union Territory,Daman & Diu,134.1,45.2,33.7
33,Union Territory,Delhi,77857.2,2445.8,3.1
34,Union Territory,Lakshadweep,30.8,3,9.7
35,Union Territory,Puducherry,290.9,179.9,61.8
Union Territory,Union Territory,Total (UTs),80027.7,3104.9,3.9
Total (All-India),Total (All-India),Total (All-India),449500.6,87611.4,19.5
36,City,Agra,512.6,200.6,39.1
37,City,Ahmedabad,5747.5,996.1,17.3
38,City,Allahabad,168.7,64.8,38.4
39,City,Amritsar,265.9,236.8,89
40,City,Asansol,58.9,16.5,28
41,City,Bengaluru,14009.9,4758.7,34
42,City,Bhopal,959.7,440.3,45.9
43,City,Chennai,1929.8,1080.9,56
44,City,Coimbatore,559.1,322.1,57.6
45,City,Delhi (city),76213.7,2238.6,2.9
46,City,Dhanbad,170.7,66.7,39.1
47,City,Faridabad,627.5,182.6,29.1
48,City,Hyderabad,2868.2,899.4,31.4
49,City,Indore,1116,314,28.1
50,City,Jabalpur,589.9,153.7,26.1
51,City,Jaipur,3076.9,1263.5,41.1
52,City,Jamshedpur,456.5,45,9.9
53,City,Kanpur,408.9,151.3,37
54,City,Kochi,2082,107.6,5.2
55,City,Kolkata,5586.8,1356.1,24.3
56,City,Lucknow,920.5,234.2,25.4
57,City,Ludhiana,1617.9,1093.2,67.6
58,City,Madurai,415.2,183.2,44.1
59,City,Meerut,494.6,85.3,17.2
60,City,Mumbai,47807.5,5162.2,10.8
61,City,Nagpur,3337.6,382.7,11.5
62,City,Nasik,3907,237.9,6.1
63,City,Patna,990.7,107.3,10.8
64,City,Pune,15204.4,1198.5,7.9
65,City,Rajkot,603.1,203.4,33.7
66,City,Surat,2282.9,369,16.2
67,City,Vadodara,1895.8,287.9,15.2
68,City,Varanasi,108.5,19.5,18
69,City,Vijayawada,550.8,320.5,58.2
70,City,Vishakhapatnam,518.9,193.5,37.3
