Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (p) Act,Copyright Act,Sati Prevention Act,SC/ST (Prevention of Atrocities) Act - Total,SC/ST (Prevention of Atrocities) Act - for SCs,SC/ST (Prevention of Atrocities) Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,12.3,17,99.2,51.5,58.5,10.2,45.5,100,33.3,13.6,16.2,0,4.8,5.8,NA,9.1,9.3,9.1,98.1,9,NA,10.6,10.4,12.2,0,99.7,98.4
2,State,Arunachal Pradesh,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,60
3,State,Assam,26.6,49.6,23.4,15.4,0,30.8,0,0,100,NA,NA,NA,76.5,14.3,0,NA,33.3,NA,NA,30.8,NA,NA,NA,NA,50,14.4,27.7
4,State,Bihar,47.3,54.9,47.7,44.5,4.3,34.1,31.6,27.3,50,0,0,NA,0,29.2,NA,NA,22.9,NA,NA,21.4,NA,11,10.8,25,36.4,49.2,36.4
5,State,Chhattisgarh,30.6,57.9,95,80.2,NA,68.6,14.3,0,NA,NA,NA,NA,NA,40,NA,NA,33.3,100,NA,13.6,NA,19.8,23.9,14.9,66.7,98.7,96.8
6,State,Goa,0,47.4,0.8,NA,NA,NA,83.3,NA,85.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,100,98.7,70.3
7,State,Gujarat,8,17.9,66.7,0,54.5,29,10,35.6,75,0,0,NA,60,11.4,NA,NA,NA,57.9,100,13.8,NA,4.1,5.3,0,0,71.7,56.8
8,State,Haryana,44.2,58.5,86,70.4,NA,19.2,35.8,47.1,95.8,0,0,NA,0,35.8,0,NA,0,0,NA,28,NA,24.6,24.6,NA,NA,39.5,68.3
9,State,Himachal Pradesh,23.5,34.6,38.3,29.9,NA,0,0,50,66.7,0,0,0,NA,14.3,NA,NA,0,NA,NA,4.3,NA,4.3,4.3,NA,17.7,61,31.8
10,State,Jammu & Kashmir,1.1,8.4,93.5,73.2,NA,3.1,NA,NA,73.9,NA,NA,NA,0,38.1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,7.1,6.2,33
11,State,Jharkhand,57.6,69.3,37.8,47.5,NA,58.8,23.1,NA,NA,NA,NA,NA,NA,33.9,NA,100,51.7,NA,NA,42.9,NA,25.1,20.2,33.8,42.1,25,41.7
12,State,Karnataka,4.1,6.2,85.1,23.3,NA,9.7,59.1,0,33.3,0,0,NA,57.1,3.3,NA,NA,3.4,0,NA,4.1,NA,2.4,2.5,2,8,42.1,49.6
13,State,Kerala,9.2,69.3,94.9,NA,83.5,36.1,80.5,75,50,NA,NA,NA,73.7,37.3,NA,NA,0,NA,36.8,31.9,NA,15,15.8,0,0,95.1,93.1
14,State,Madhya Pradesh,48.1,74.8,93.8,95.6,NA,64.2,50,66.1,50,0,0,NA,NA,48.9,NA,NA,37.5,100,NA,47.7,NA,42.8,41.1,45.3,51.9,98.8,91.9
15,State,Maharashtra,8.6,57.8,3.6,NA,0.8,3.6,31,31.6,80,2.3,2.3,NA,84.5,1.5,NA,NA,19,0,0,3.2,NA,3.3,3.7,2.2,7.7,70,18.8
16,State,Manipur,0,19.4,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7,49.1
17,State,Meghalaya,34.8,25,85.7,100,NA,0,NA,NA,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,37,54.2
18,State,Mizoram,84.6,88.9,100,NA,83.3,100,100,NA,94.1,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2,94.9
19,State,Nagaland,68.4,94.3,100,100,100,66.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3,90.2
20,State,Odisha,10,23.1,58.2,11.4,NA,11.6,11.1,NA,NA,NA,NA,NA,NA,6.7,NA,NA,7.2,NA,NA,0,NA,5.5,5.2,8.1,0,7.9,16
21,State,Punjab,70.4,70.2,93.2,77.2,16.7,75,24.4,40,NA,NA,NA,NA,88.2,15.3,NA,NA,0,60,NA,40.5,NA,9.3,9.3,NA,NA,64.7,77.4
