Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. not Amounting to Murder (Sec.304,308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Others,"Kidnapping and Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",Dacoity (Sec.395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto Theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Death (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,90,94.2,97.6,97.4,NA,97.4,89.3,89.2,89.7,90.7,76.2,82.4,59.1,63.2,55.9,66.8,94.3,75.2,71.3,29.1,74.3,94.4,99.2,94.6,94.1,96.9,NA,84.1,90.5,85.4
2,State,Arunachal Pradesh,73.3,70.3,100,79.3,NA,79.3,67.2,79.5,50,66.7,NA,59.3,42.8,47.8,44.2,48.8,66.7,71.4,73.5,50,61.9,71,NA,83.1,50,100,NA,56.2,58.1,60.9
3,State,Assam,66.8,66.8,58.3,80.2,NA,80.2,56.5,57.5,52.4,34,40.6,39.6,27.9,35.9,16.9,40.2,69.7,49.3,59.5,80.3,38,73.3,80.5,73,71.4,75,100,80.4,53.6,56.6
4,State,Bihar,67,80.4,71.6,81.8,NA,81.8,59.5,62.5,55.8,65,92.2,58.6,31.6,32.3,28.3,33.4,81.9,69.3,63.6,79,60.4,80.7,77.8,87.8,70,79.9,100,70.5,81.8,72.3
5,State,Chhattisgarh,88.1,89.1,100,99,NA,99,91.3,90.6,93.9,82.4,94.1,73.6,35.7,35.5,30.5,38.5,93.4,81.5,84.6,44.1,62.1,97.7,100,99.3,95.2,99.4,NA,71.6,90.4,80.5
6,State,Goa,68.5,81.5,72.7,85.7,NA,85.7,66.7,61.9,83.3,28.6,NA,46.2,26.2,25.7,19.5,30.1,72.7,44,40.5,5.9,60.9,90.4,100,70,70,75,NA,78.6,78.9,58
7,State,Gujarat,85.1,93.1,96.6,94.7,NA,94.7,79.8,79.3,83,67.8,90,46.5,34.8,32,24.5,41,96.3,76.7,75,15.3,78.2,97.4,100,98.2,91.5,99.3,NA,73.8,92.9,79.1
8,State,Haryana,80.9,92,91.8,98.5,NA,98.5,91.8,94.2,86.7,84.4,99.7,71,38.3,33.7,27.7,44.6,96.2,74.8,81.8,85.3,71.2,97.9,100,99.5,98.8,88.4,NA,74.5,88.4,71.7
9,State,Himachal Pradesh,78.6,91.8,100,98.9,NA,98.9,87.2,94.3,56.3,100,NA,85.7,32.3,39.6,23.3,48.4,98.1,68.4,88,100,50.4,95.1,100,99,92.5,99,NA,55.3,95.2,84.8
10,State,Jammu & Kashmir,64.5,61.1,88.2,96.6,NA,96.6,91.1,94.9,42.9,50,NA,69.4,26.4,53.4,17.9,69.8,73.4,89.6,84.6,96.4,34.5,95.8,100,98.9,100,100,NA,70.5,92.4,79.8
11,State,Jharkhand,75,86.4,78,93.3,NA,93.3,79.2,80.8,76.4,46.1,84.4,52,29.2,38.9,36,40.8,82.9,78.8,77.6,75.9,64.3,90.6,85.9,92.2,94.7,86.2,70,72.9,80.3,70.5
12,State,Karnataka,87,93.9,89.6,91.6,NA,91.6,83,80.6,85.3,75.7,99.7,72.9,45.7,35.6,35.2,35.8,94.3,68,56.6,30.2,74.6,97.3,90.3,98.1,100,97.4,NA,94,93.4,82.8
13,State,Kerala,92.1,96.6,96.6,97.2,NA,97.2,91.4,92.3,90.1,83.1,99.6,74.5,47.1,54.2,39.8,62.9,93.4,72.3,78.9,73.5,45.7,97.3,100,95.6,95,98.2,NA,78,95.3,91.1
14,State,Madhya Pradesh,91.5,95.1,98.3,98.9,100,98.9,90,90.9,86.3,88.4,100,67.8,35.4,40.6,24.8,53.2,94.5,94.2,88.8,96,87.5,98.3,99.8,99.4,99.1,99.5,100,84.3,95,85.8
15,State,Maharashtra,88.8,95.6,85.1,97.2,NA,97.2,82.8,84.8,77,83.5,99.6,63.7,38.3,36.1,24.7,42.3,96.5,78.1,65,22.1,73.5,96.8,99.7,98,97.6,98.8,NA,73.7,87.5,70.9
16,State,Manipur,4.3,1,NA,41.7,NA,41.7,3.4,2.9,4.2,NA,0,0,10.3,2.2,1.4,2.9,0,14.3,3.7,20,0,0.8,NA,12.5,NA,0,NA,0,4,3.4
17,State,Meghalaya,45.6,63.8,80,71.3,NA,71.3,47.5,45.5,47.9,32.7,NA,38.2,28.9,29,22.3,31.5,56.3,50,32.3,88.9,23.1,61.4,NA,63.4,100,62.5,100,80.3,54.9,45.2
18,State,Mizoram,73.9,83.3,66.7,96.6,NA,96.6,53.8,NA,53.8,100,NA,100,90.5,90.3,63,93.1,100,78.6,95.8,100,100,99.3,NA,100,100,100,NA,67.4,95.5,91.4
19,State,Nagaland,30,66.7,69.2,92.6,NA,92.6,73.1,80,71.4,50,NA,45.8,50,51.4,51.6,51.3,85.7,77.8,82.9,75,40,81.1,NA,91.7,NA,NA,NA,55,83.4,61.9
20,State,Odisha,97.3,97.5,97.5,99,NA,99,96.3,97,92.3,91.5,95.8,82.1,59.3,66,60.3,69,90.8,97.4,96.6,89.3,82.1,96.6,99.7,98.5,97.5,99,NA,92.4,95,89.6
