Sr. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,84840,33,84873,100,0
2,Narcotic Drugs & Psychotropic Substances Act,34172,1264,35436,96.4,3.6
3,Gambling Act,350927,498,351425,99.9,0.1
4,Excise Act,190690,7042,197732,96.4,3.6
5,Prohibition Act,309830,98651,408481,75.8,24.2
6,Explosives & Explosive Substances Act,5441,23,5464,99.6,0.4
7,Immoral Traffic (p) Act,3593,4209,7802,46.1,53.9
8,Indian Railways Act,160,3,163,98.2,1.8
9,Registration of foreigners Act,1697,241,1938,87.6,12.4
10,Protection of Civil Rights Act - Total,354,6,360,98.3,1.7
10,Protection of Civil Rights Act - (i) Pcr Act for Scs,352,6,358,98.3,1.7
10,Protection of Civil Rights Act - (ii) Pcr Act for Sts,2,0,2,100,0
11,Indian Passport Act,1721,313,2034,84.6,15.4
12,Essential Commodities Act,10969,69,11038,99.4,0.6
13,Terrorist & Disruptive Activities Act,0,0,0,0,0
14,Antiquities & Art Treasures Act,65,2,67,97,3
15,Dowry Prohibition Act,7978,2264,10242,77.9,22.1
16,Child Marriage Restraint Act,1,0,1,100,0
17,Indecent Representation of Women (p) Act,470,409,879,53.5,46.5
18,Copyright Act,7749,15,7764,99.8,0.2
19,Sati Prevention Act,0,0,0,0,0
20,Sc/st (prevention of Atrocities) Act - Total,20266,636,20902,97,3
20,Sc/st (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for Scs,18803,529,19332,97.3,2.7
20,Sc/st (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for Sts,1463,107,1570,93.2,6.8
21,forest Act,7193,10,7203,99.9,0.1
22,Other Sll Crimes,3712025,36777,3748802,99,1
Total Cognizable Crimes Under Sll,Total Cognizable Crimes Under Sll,4750141,152465,4902606,96.9,3.1
