Sr. No.,Category,States/ UTs/Cities,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Rate of total cognizable crimes,Rank as per percentage share
1,State,Andhra Pradesh,25569,12.5,833,30.7,3,1
2,State,Arunachal Pradesh,164,0.1,12.2,13.4,20,26
3,State,Assam,9721,4.8,305.3,31.8,2,7
4,State,Bihar,8803,4.3,957.5,9.2,28,8
5,State,Chhattisgarh,4002,2,241.6,16.6,13,16
6,State,Goa,164,0.1,16.9,9.7,25,25
7,State,Gujarat,8009,3.9,574.4,13.9,16,11
8,State,Haryana,5312,2.6,242.4,21.9,9,14
9,State,Himachal Pradesh,954,0.5,66.3,14.4,15,22
10,State,Jammu & Kashmir,2624,1.3,129.1,20.3,11,19
11,State,Jharkhand,3021,1.5,305.4,9.9,23,17
12,State,Karnataka,7852,3.9,582,13.5,19,12
13,State,Kerala,8049,3.9,346.6,23.2,7,10
14,State,Madhya Pradesh,15827,7.8,709,22.3,8,5
15,State,Maharashtra,15048,7.4,1087,13.8,17,6
16,State,Manipur,194,0.1,26.7,7.3,31,24
17,State,Meghalaya,237,0.1,25.8,9.2,27,23
18,State,Mizoram,150,0.1,10,15.1,14,28
19,State,Nagaland,46,0,22.2,2.1,34,31
20,State,Odisha,8120,4,404.3,20.1,12,9
21,State,Punjab,2631,1.3,269.8,9.8,24,18
22,State,Rajasthan,17316,8.5,660.6,26.2,4,4
23,State,Sikkim,41,0,6,6.8,32,32
24,State,Tamil Nadu,6051,3,671.1,9,29,13
25,State,Tripura,1517,0.7,35.7,42.5,1,20
26,State,Uttar Pradesh,23254,11.4,1955.2,11.9,22,3
27,State,Uttarakhand,1188,0.6,96.8,12.3,21,21
28,State,West Bengal,23307,11.4,892.1,26.1,5,2
State,State,Total (States),199171,97.7,11485.05,17.3,NA,NA
29,Union Territory,Andaman & Nicobar Islands,92,0,4.2,21.7,10,30
30,Union Territory,Chandigarh,150,0.1,11,13.7,18,27
31,Union Territory,Dadra Nagar Haveli,20,0,2.8,7.3,30,33
32,Union Territory,Daman & Diu,13,0,1.9,6.7,33,34
33,Union Territory,Delhi,4251,2.1,177.8,23.9,6,15
34,Union Territory,Lakshadweep,1,0,0.7,1.4,35,35
35,Union Territory,Pondicherry,106,0.1,11,9.7,26,29
Union Territory,Union Territory,Total (UTs),4633,2.3,209.39,22.1,NA,NA
Total (All-India),Total (All-India),Total (All-India),203804,100,11694.44,17.4,NA,NA
36,City,Agra,597,2.5,13.2,45.2,6,15
37,City,Ahmedabad,1474,6.1,45.2,32.6,12,3
38,City,Allahabad,247,1,10.5,23.5,18,27
39,City,Amritsar,170,0.7,10.1,16.8,25,31
40,City,Asansol,278,1.2,10.9,25.5,16,23
41,City,Bengaluru,1471,6.1,56.9,25.9,15,4
42,City,Bhopal,621,2.6,14.6,42.7,8,13
43,City,Chennai,437,1.8,64.3,6.8,33,18
44,City,Coimbatore,107,0.4,14.5,7.4,32,34
45,City,Delhi (city),3701,15.4,127.9,28.9,14,1
46,City,Dhanbad,68,0.3,10.6,6.4,35,35
47,City,Faridabad,328,1.4,10.6,31.1,13,22
48,City,Hyderabad,1896,7.9,55.3,34.3,11,2
49,City,Indore,774,3.2,16.4,47.2,4,11
50,City,Jabalpur,271,1.1,11.2,24.3,17,24
51,City,Jaipur,1013,4.2,23.2,43.6,7,8
52,City,Jamshedpur,176,0.7,11,16,27,30
53,City,Kanpur,1217,5.1,26.9,45.2,5,7
54,City,Kochi,250,1,13.6,18.5,22,26
55,City,Kolkata,892,3.7,132.2,6.7,34,10
56,City,Lucknow,1258,5.2,22.7,55.5,2,6
57,City,Ludhiana,252,1.1,14,18.1,23,25
58,City,Madurai,141,0.6,12,11.8,29,32
59,City,Meerut,423,1.8,11.7,36.2,9,19
60,City,Mumbai,1332,5.6,163.7,8.1,31,5
61,City,Nagpur,462,1.9,21.2,21.8,20,17
62,City,Nasik,245,1,11.5,21.3,21,28
63,City,Patna,390,1.6,17.1,22.8,19,20
64,City,Pune,600,2.5,37.6,16,26,14
65,City,Rajkot,350,1.5,10,34.9,10,21
66,City,Surat,503,2.1,28.1,17.9,24,16
67,City,Vadodara,237,1,14.9,15.9,28,29
68,City,Varanasi,140,0.6,12.1,11.6,30,33
69,City,Vijayawada,936,3.9,10.1,92.6,1,9
70,City,Vishakhapatnam,726,3,13.3,54.6,3,12
City,City,Total (Cities),23983,100,1078.8,22.2,NA,NA
