Category,Crime Head,2005,2006,2007,2008,2009
A. IPC Crimes,1 . Murder (sec 302 Ipc),2,1.9,2,1.9,1.9
A. IPC Crimes,2 . Attempt To Commit Murder (sec 307 Ipc),2.3,2.4,2.3,2.3,2.2
A. IPC Crimes,"3 . C.h. Not Amounting Murder (sec 304, 308 Ipc)",1.9,1.9,1.9,1.7,1.6
A. IPC Crimes,4 . Rape (sec 376 Ipc),1.3,1.2,1.2,1.2,1.2
A. IPC Crimes,4 . Rape (sec 376 Ipc) - Custodial Rape,0.4,1.5,0,0,3.5
A. IPC Crimes,4 . Rape (sec 376 Ipc) - Other Rape,1.3,1.2,1.2,1.2,1.2
A. IPC Crimes,"5 . Kidnapping & Abduction (sec 363-369, 371-373 Ipc)",1.4,1.3,1.3,1.3,1.2
A. IPC Crimes,"5 . Kidnapping & Abduction (sec 363-369, 371-373 Ipc) - I) Of Women & Girls",1.2,1.2,1.2,1.2,1.2
A. IPC Crimes,"5 . Kidnapping & Abduction (sec 363-369, 371-373 Ipc) - Ii) Of Others",1.8,1.7,1.7,1.5,1.4
A. IPC Crimes,6 . Dacoity (sec 395 - 398 Ipc),3.8,3.7,4,3.9,3.8
A. IPC Crimes,7 . Preparation & Assembly For Dacoity (sec 399-402 Ipc),3.9,4.6,3.9,3.9,3.9
A. IPC Crimes,"8 . Robbery (sec 392-394, 397, 398 Ipc)",1.6,1.6,1.6,1.5,1.5
A. IPC Crimes,"9 . Burglary (sec. 449-452,454,455,457-460 Ipc)",0.7,0.7,0.7,0.7,0.7
A. IPC Crimes,10 . Theft (sec 379 - 382 Ipc),0.8,0.7,0.7,0.7,0.6
A. IPC Crimes,10 . Theft (sec 379 - 382 Ipc) - I) Auto Theft,0.5,0.5,0.4,0.4,0.4
A. IPC Crimes,10 . Theft (sec 379 - 382 Ipc) - Ii) Other Theft,0.9,0.8,0.8,0.8,0.8
A. IPC Crimes,"11 . Riots (sec 143-145, 147-151, 153, 153a., 153b, 157, 158, 160 Ipc)",5.7,5.3,5.3,5,4.8
A. IPC Crimes,12 . Criminal Breach Of Trust(sec.406-409 Ipc),1.2,1.1,1.2,1.2,1.2
A. IPC Crimes,"13 . Cheating (sec 419, 420 Ipc)",0.9,0.9,1,1,0.9
A. IPC Crimes,"14 . Counterfeiting (sec.231-254,489a-489d)",1.1,1.3,1.2,0.9,1
A. IPC Crimes,"15 . Arson (sec 435, 436, 438 Ipc)",1.4,1.5,1.3,1.2,1.3
A. IPC Crimes,"16 . Hurt (sec 323-333, 335-338 Ipc)",1.7,1.7,1.8,1.8,1.8
A. IPC Crimes,17 . Dowry Deaths (section 304b Ipc),2.5,2.5,2.7,2.8,2.8
A. IPC Crimes,18 . Molestation (section 354 Ipc),1.3,1.2,1.2,1.2,1.2
A. IPC Crimes,19 . Sexual Harassment (sec 509 Ipc),1.3,1.2,1.3,1.2,1.3
A. IPC Crimes,20 . Cruelty By Husband And Relatives (sec 498a Ipc),2.2,2.2,2.1,2,1.9
A. IPC Crimes,21 . Importation Of Girls (sec 366b Ipc),1.4,1.3,1.6,1.9,1
A. IPC Crimes,22 . Causing Death By Negligence (sec 304a Ipc),0.9,0.9,0.8,0.8,0.8
A. IPC Crimes,23 . Other Ipc Crimes,1.3,1.3,1.3,1.3,1.3
A. IPC Crimes,24 . Total Cognizable Crimes Under Ipc,1.4,1.4,1.4,1.4,1.3
B. SLL Crimes,1 . Arms Act,1,1.1,1.1,1.1,1.1
B. SLL Crimes,2 . Narcotic Drugs & Psychotropic Substances Act,1.2,1.2,1.2,1.2,1.2
B. SLL Crimes,3 . Gambling Act,2.1,2,1.9,2.1,2.2
B. SLL Crimes,4 . Excise Act,1.1,1.1,1.1,1.1,1.1
B. SLL Crimes,5 . Prohibition Act,1,1,1,1,1.1
B. SLL Crimes,6 . Explosives & Explosive Substances Act,1.2,1.3,1.3,1.3,1.2
B. SLL Crimes,7 . Immoral Traffic (p) Act,2.1,2.6,2.8,3.1,3.2
B. SLL Crimes,8 . Indian Railways Act,1.5,1,1.4,0.8,0.9
B. SLL Crimes,9 . Registration Of Foreigners Act,1.4,1.7,2.1,1.9,1.5
B. SLL Crimes,10 . Protection Of Civil Rights Act,1.4,1.7,1.8,1.7,2.1
B. SLL Crimes,10 . Protection Of Civil Rights Act - (i) Pcr Act For Scs,2,1.8,1.8,1.7,2.1
B. SLL Crimes,10 . Protection Of Civil Rights Act - (ii) Pcr Act For Sts,0.3,0.5,1.6,1.3,1
B. SLL Crimes,11 . Indian Passport Act,1.6,2.3,1.9,1.9,1.6
B. SLL Crimes,12 . Essential Commodities Act,1.4,1.4,1.5,1.4,1.4
B. SLL Crimes,13 . Terrorist & Disruptive Activities Act,3.3,0,0,0,0
B. SLL Crimes,14 . Antiquities & Art Treasures Act,0.6,1.5,1.9,1.8,1.9
B. SLL Crimes,15 . Dowry Prohibition Act,2.2,1.7,1.8,1.9,1.8
B. SLL Crimes,16 . Child Marriage Restraint Act,3.4,3.1,2.3,2.8,0.3
B. SLL Crimes,17 . Indecent Representation Of Women (p) Act,1,1.1,1,1.1,1
B. SLL Crimes,18 . Copyright Act,1.3,1.2,1.2,1.3,1.3
B. SLL Crimes,19 . Sati Prevention Act,18,0,0,7,0
B. SLL Crimes,20 . Sc/st (prevention Of Atrocities) Act,1.7,1.7,1.9,1.8,1.7
B. SLL Crimes,20 . Sc/st (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For Scs,1.8,1.8,1.9,1.9,1.7
B. SLL Crimes,20 . Sc/st (prevention Of Atrocities) Act -(ii) Prevention Of Attrocities Act For Sts,1.5,1.5,1.6,1.8,1.7
B. SLL Crimes,21 . Forest Act,1.8,1.6,1.5,1.5,1.5
B. SLL Crimes,22 . Other Sll Crimes #,1,1,1,1.1,1
B. SLL Crimes,Total Cognizable Crimes Under Sll,1.1,1.1,1.1,1.1,1.1
