Sr. No.,Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons Whose - Cases Compounded or Withdrawn,Number of Persons Whose - Trial Completed,Number of Persons Whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,520519,10479,465091,44949,452164,8.6,0.7
2,State,Arunachal Pradesh,776,7,10,759,6,97.8,0
3,State,Assam,14917,0,1477,13440,388,90.1,0.2
4,State,Bihar,89207,529,10714,77964,3442,87.4,1.2
5,State,Chhattisgarh,251052,152,207329,43571,184926,17.4,0.7
6,State,Goa,9216,0,2925,6291,1999,68.3,0.1
7,State,Gujarat,1896655,1158,222501,1672996,127758,88.2,25.9
8,State,Haryana,138269,0,33235,105034,23818,76,1.6
9,State,Himachal Pradesh,31795,456,4650,26689,1448,83.9,0.4
10,State,Jammu & Kashmir,26236,10,2430,23796,941,90.7,0.4
11,State,Jharkhand,16390,85,4774,11531,1812,70.4,0.2
12,State,Karnataka,117058,737,37416,78905,21153,67.4,1.2
13,State,Kerala,381837,2681,135253,243903,123346,63.9,3.8
14,State,Madhya Pradesh,311740,478,167482,143780,152668,46.1,2.2
15,State,Maharashtra,1754881,10727,141520,1602634,23077,91.3,24.8
16,State,Manipur,1677,0,56,1621,26,96.7,0
17,State,Meghalaya,1293,0,112,1181,43,91.3,0
18,State,Mizoram,1797,0,1517,280,1451,15.6,0
19,State,Nagaland,759,4,431,324,367,42.7,0
20,State,Orissa,100875,0,8686,92189,2570,91.4,1.4
21,State,Punjab,96368,62,23437,72869,17842,75.6,1.1
22,State,Rajasthan,188634,188,42821,145625,38680,77.2,2.3
23,State,Sikkim,240,27,111,102,84,42.5,0
24,State,Tamil Nadu,464856,2398,360218,102240,312200,22,1.6
25,State,Tripura,626,18,270,338,31,54,0
26,State,Uttar Pradesh,4077470,759,2408572,1668139,2128132,40.9,25.8
27,State,Uttarakhand,313608,5,265654,47949,265248,15.3,0.7
28,State,West Bengal,68541,492,3999,64050,1203,93.4,1
State,State,Total (States),10877292,31452,4552691,6293149,3886823,57.9,97.4
29,Union Territory,A & N Islands,30673,0,4213,26460,4211,86.3,0.4
30,Union Territory,Chandigarh,2236,0,879,1357,725,60.7,0
31,Union Territory,D & N Haveli,259,0,29,230,5,88.8,0
32,Union Territory,Daman & Diu,193,0,15,178,2,92.2,0
33,Union Territory,Delhi,149211,0,11450,137761,8869,92.3,2.1
34,Union Territory,Lakshadweep,52,3,12,37,6,71.2,0
35,Union Territory,Puducherry,2247,0,1184,1063,1021,47.3,0
Union Territory,Union Territory,Total (UTs),184871,3,17782,167086,14839,90.4,2.6
Total (All-India),Total (All-India),Total (All-India),11062163,31455,4570473,6460235,3901662,58.4,100
