SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,868,1209,10654,1377,1228,1281,8845,1699,7146,84,7062,6398,664,72.3,90.6,25.1
2,State,Assam,2151,3432,5752,718,2033,3458,5126,2968,2158,308,1850,866,984,16.9,46.8,37.8
3,State,Bihar,4724,10680,22669,3740,5036,12457,16840,13688,3152,762,2390,1242,1148,7.4,52,40.2
4,State,Gujarat,905,3135,9948,500,917,2879,9692,4997,4695,1601,3094,1895,1199,19.6,61.2,38.4
5,State,Haryana,718,844,2246,113,690,1134,1871,1000,871,59,812,688,124,36.8,84.7,22.9
6,State,Jammu & Kashmir,520,766,937,234,368,781,840,381,459,96,363,138,225,16.4,38,23.5
7,State,Kerala,803,1103,4270,532,837,1261,3546,1248,2298,483,1815,1221,594,34.4,67.3,20.5
8,State,Madhya Pradesh,1520,11536,28031,2193,1335,12206,25353,15692,9661,1501,8160,6526,1634,25.7,80,70.4
9,State,Maharashtra,5684,12639,40089,1333,5340,13563,38176,24839,13337,1818,11375,8774,2601,23,77.1,82
10,State,Mysore,1767,3125,10466,1097,1692,2883,9686,4363,5323,376,4947,3785,1162,39.1,76.5,36.5
11,State,Nagaland,81,87,210,3,104,93,178,89,89,2,89,83,6,46.6,93.3,49.3
12,State,Orissa,1887,5439,11627,1521,2184,6364,8884,6078,2806,440,2365,1338,1027,15.1,56.6,55
13,State,Punjab,1174,910,2804,526,1241,337,2784,1865,919,26,893,672,221,24.1,75.3,19.5
14,State,Rajasthan,777,4056,7287,1397,711,4615,5397,3068,2329,677,1652,1010,642,18.7,61.1,28.5
15,State,Tamil Nadu,873,1204,20918,1639,954,1407,18995,4227,14768,188,14580,13567,1013,71.4,93.1,53.8
16,State,Uttar Pradesh,4016,11970,55385,10704,3810,13612,43245,37410,5835,863,6972,4657,2315,10.8,66.8,62.3
17,State,West Bengal,4746,9249,30343,1981,7104,10136,25117,20524,4593,1444,3149,2025,1124,8.1,64.3,69.3
Total (States),State,Total (States),33214,81384,263636,29608,35584,88467,224575,144136,80439,10728,71568,54885,16683,24.4,76.7,50.2
18,UT,A & N Islands,NA,3,76,9,NA,13,57,12,45,1,11,10,1,17.5,91,84.4
19,UT,Chandigarh,245,52,993,48,315,47,880,752,128,3,125,108,17,12.3,86.4,640.6
20,UT,Dadra & N. Haveli,5,5,23,NA,1,10,22,10,12,2,10,6,4,27.3,60,32.4
21,UT,Delhi,1326,1045,9903,233,1870,1044,9127,7833,12947,80,1214,932,282,10.2,76.8,245.1
22,UT,"Goa, Daman & Diu",20,127,394,12,15,99,415,168,247,4,243,213,30,51.3,87.7,57.9
23,UT,Himachal Pradesh,123,122,445,61,138,153,338,108,230,11,219,168,51,49.7,76.7,12.6
24,UT,Lakshadweep,1,14,14,5,2,16,6,1,5,2,3,3,NA,50,100,51.9
25,UT,Manipur,381,387,573,31,626,361,323,187,136,18,118,35,83,10.8,29.7,53.2
26,UT,Pondicherry,26,26,513,73,7,41,444,168,276,2,274,255,19,57.4,93.1,116.9
27,UT,Tripura,198,277,1216,927,205,408,151,37,114,3,111,64,47,42.4,57.7,82.8
Total (UTs),UT,Total (UTs),2325,2058,14150,1399,3179,2192,11763,9276,2487,126,2328,1794,534,15.2,77.1,122.2
Total (All-India),Total (All-India),Total (All-India),35539,83442,277786,31007,38763,90659,236338,153412,82926,10854,73896,56679,17217,24,76.7,51.8
1,City,Ahmedabad,77,131,867,16,85,130,844,476,368,47,321,179,142,21.2,55.8,54.8
2,City,Bangalore,640,479,3887,242,510,520,3734,2109,1625,20,1605,1457,148,39,90.8,222.8
3,City,Bombay,1866,1084,13523,335,1877,1035,13226,9551,3675,164,3511,2899,612,21.9,82.6,244.4
4,City,Calcutta,105,173,5438,21,73,133,5489,4796,693,10,683,589,94,10.7,86.2,173.5
5,City,Delhi,1231,994,9467,225,1700,985,8782,7567,1215,76,1139,873,266,9.9,76.6,261.4
6,City,Hyderabad,135,69,1886,37,407,155,1491,291,1200,5,1195,1191,4,79.9,99.7,138.4
7,City,Kanpur,144,669,3404,307,215,801,2894,2450,444,15,429,357,72,12.3,83.2,266.8
8,City,Madras,91,42,5271,257,324,240,4583,952,3631,NA,3631,3631,NA,79.2,100,257.4
Total (Cities),City,Total (Cities),4289,3641,43743,1440,5191,3999,41043,28192,12851,337,12514,11176,1338,27.2,89.3,215.4
