SL.No.,Category,States/U.Ts/Cities,Persons in Custody Pending Investigation or on Bail during the Stage of Investigation,Persons in Custody Pending Trial or on Bail during the Stage of Trial,Persons Arrested during the Year,Persons Released by the Police or Magistrate before Trial,Persons in whose Case Chargesheets were Laid,Number of Persons in whose Cases Trials were Completed,Persons Convicted,Persons Acquitted or Discharged,Persons against whom Cases were Compounded,Number of Persons in Custody Pending Investigationor on Bail during the Stage of Investigation at the End of the Year,Number of Persons in Custody Pending Trial or on Bail during the Stage of Trial at the End of the Year,Percentage of Conviction to Total Persons in whose Cases Chargesheets were Laid,Percentage of Convictionto Total Persons in whose Cases Trials were Completed
1,State,Andhra Pradesh,206,1119,2803,74,2297,2297,969,1328,NA,279,1478,42.1,42.2
2,State,Assam,238,1363,905,278,650,650,220,430,NA,300,1278,33.8,33.8
3,State,Bihar,422,4712,2712,319,1293,1076,441,635,217,490,5744,34.1,41
4,State,Gujarat,101,869,1947,45,1363,1362,347,1015,1,272,1237,25.5,25.5
5,State,Haryana,84,326,540,3,475,475,280,195,NA,123,349,58.9,5.9
6,State,Jammu & Kashmir,NA,286,173,17,64,64,17,47,NA,NA,378,26.6,26.6
7,State,Kerala,77,327,757,29,511,511,231,280,NA,142,479,45.2,45.2
8,State,Madhya Pradesh,764,2979,3883,38,3828,3826,1480,2346,2,867,2893,38.7,38.7
9,State,Maharashtra,495,2210,2517,215,2404,2335,951,1384,69,535,2068,39.6,40.7
10,State,Mysore,83,1161,1653,73,1522,1522,467,1055,NA,88,1214,30.7,30.7
11,State,Nagaland,9,27,12,1,10,9,7,2,1,13,24,70,77.8
12,State,Orissa,40,1018,810,37,640,613,234,379,27,123,1068,36.6,38.2
13,State,Punjab,284,804,1537,43,1326,1326,692,634,NA,271,985,52.2,52.2
14,State,Rajasthan,176,2723,1106,68,479,479,343,136,NA,205,3253,76.5,76.5
15,State,Tamil Nadu,221,686,1278,130,1550,1528,703,825,22,68,437,45.4,46
16,State,Uttar Pradesh,934,8909,9332,409,6754,6735,2241,4494,19,1160,10852,33.2,33.3
17,State,West Bengal,380,938,1789,526,934,910,289,621,24,410,1237,30.9,31.8
Total (States),State,Total (States),4514,30457,33754,2305,26100,25718,9912,15806,382,5346,34974,38,38.5
18,UT,A & N Islands,NA,8,2,NA,8,8,6,2,NA,1,1,75,75
19,UT,Chandigarh,2,7,5,NA,9,9,2,7,NA,2,3,22.2,22.2
20,UT,Dadra & N. Haveli,NA,4,9,NA,12,12,4,8,NA,NA,1,333,33.3
21,UT,Delhi,10,70,120,NA,90,90,44,46,NA,5,105,48.9,48.9
22,UT,"Goa, Daman & Diu",3,14,23,1,13,13,6,7,NA,5,21,46.2,46.2
23,UT,Himachal Pradesh,28,43,58,10,54,54,11,43,NA,3,62,20.4,20.4
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,3,103,70,4,54,54,12,42,NA,3,115,22.2,22.2
26,UT,Pondicherry,NA,NA,19,1,15,15,2,13,NA,NA,3,13.3,13.3
27,UT,Tripura,22,39,58,23,11,11,7,4,NA,5,80,63.6,63.6
Total (UTs),UT,Total (UTs),68,288,364,39,266,266,94,172,NA,24,391,35.3,35.3
Total (All-India),Total (All-India),Total (All-India),4582,30745,34118,2344,26366,25984,10006,15978,382,5370,35365,38,38.5
1,City,Ahmedabad,4,13,316,NA,30,30,11,19,NA,106,197,36.7,36.7
2,City,Bangalore,1,4,38,7,15,15,10,5,NA,NA,21,66,66.7
3,City,Bombay,88,194,325,31,276,261,109,152,15,73,227,39.5,41.8
4,City,Calcutta,46,64,176,27,43,43,20,23,NA,73,143,46.5,46.5
5,City,Delhi,10,59,105,NA,81,81,40,41,NA,5,88,49.4,49.3
6,City,Hyderabad,NA,8,53,NA,56,56,35,21,NA,NA,5,62,62.5
7,City,Kanpur,18,102,87,11,68,68,29,39,NA,39,89,42.6,42.6
8,City,Madras,1,23,17,2,26,26,19,7,NA,NA,13,73.1,73.1
Total (Cities),City,Total (Cities),168,467,1117,78,595,580,273,307,15,296,783,45.9,47.1
