SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,48,81,249,21,92,143,122,29,93,NA,93,42,51,34.4,45.2,0.6
2,State,Assam,115,238,199,34,156,206,156,79,77,NA,77,13,64,8.3,16.9,1.3
3,State,Bihar,1203,1432,1333,80,1162,1627,1099,808,291,53,238,137,101,12.5,57.6,2.4
4,State,Gujarat,13,40,106,9,29,53,68,26,42,1,41,6,35,8.8,14.6,0.4
5,State,Haryana,2,3,10,NA,6,7,2,NA,2,NA,2,NA,2,NA,NA,0.1
6,State,Jammu & Kashmir,14,52,24,11,14,48,17,6,11,NA,11,7,4,41.2,63.6,0.6
7,State,Kerala,12,6,26,7,13,12,12,NA,12,NA,12,2,10,16.7,16.7,0.1
8,State,Madhya Pradesh,112,244,347,8,109,240,346,152,194,3,191,71,120,20.5,37.2,0.9
9,State,Maharashtra,96,201,305,26,117,211,248,106,142,11,135,59,76,23.8,43.7,0.6
10,State,Mysore,33,89,78,29,16,77,78,28,50,2,48,8,40,10.3,16.7,0.3
11,State,Nagaland,9,10,9,NA,8,8,12,5,7,NA,8,7,1,58.3,87.5,2.1
12,State,Orissa,51,75,122,9,61,96,82,41,41,NA,41,28,13,34.1,68.3,0.6
13,State,Punjab,2,1,3,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,State,Rajasthan,49,158,130,34,49,182,72,20,52,3,49,17,32,23.6,34.7,0.5
15,State,Tamil Nadu,3,13,58,15,7,17,35,NA,35,NA,35,23,12,65.7,65.7,0.1
16,State,Uttar Pradesh,538,1667,2101,240,543,2215,1308,362,946,9,937,340,597,26,36.3,2.4
17,State,West Bengal,398,355,876,3,562,368,696,392,304,7,297,124,173,17.8,41.8,2
Total (States),State,Total (States),2698,4665,5976,527,2948,5511,4353,2054,2299,89,2215,884,1331,20.3,39.9,1.1
18,UT,A & N Islands,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
19,UT,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,UT,Dadra & N. Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,UT,Delhi,2,7,2,NA,2,2,7,NA,7,NA,7,4,3,57.1,57.1,0.05
22,UT,"Goa, Daman & Diu",1,2,4,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,0.6
23,UT,Himachal Pradesh,1,1,2,1,1,NA,2,1,1,NA,1,NA,1,NA,NA,0.1
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,74,50,23,NA,67,50,30,21,9,NA,9,2,7,6.7,22.2,2.1
26,UT,Pondicherry,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Tripura,30,66,41,29,20,74,14,8,6,NA,6,2,4,14.3,33.3,2.8
Total (UTs),UT,Total (UTs),109,126,73,31,91,132,54,31,23,NA,23,8,15,14.8,34.8,0.6
Total (All-India),Total (All-India),Total (All-India),2807,4791,6049,558,3039,5643,4407,2085,2322,89,2238,892,1346,20.2,39.9,1.1
1,City,Ahmedabad,1,NA,36,NA,17,8,12,10,2,NA,2,NA,2,NA,NA,2.3
2,City,Bangalore,NA,1,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
3,City,Bombay,10,11,29,1,8,24,17,8,9,8,8,2,6,11.8,25,0.5
4,City,Calcutta,4,4,14,NA,14,6,2,NA,2,NA,2,2,NA,100,100,0.4
5,City,Delhi,NA,3,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,NA,0.03
6,City,Hyderabad,NA,2,9,3,4,1,3,1,2,NA,2,2,NA,66.7,100,0.7
7,City,Kanpur,1,8,14,NA,1,15,7,2,5,NA,5,2,3,28.6,40,1.1
8,City,Madras,NA,2,NA,NA,NA,NA,2,NA,2,NA,2,2,NA,100,100,NA
Total (Cities),City,Total (Cities),16,31,108,8,46,55,46,21,25,8,24,10,14,21.7,41.7,0.5
