SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,166,111,275,90,148,118,196,60,136,8,128,99,29,50.5,77.3,0.6
2,State,Assam,253,388,240,70,212,312,287,83,204,13,191,88,103,30.7,46.1,1.6
3,State,Bihar,637,903,584,113,627,1007,377,145,232,44,188,78,110,20.7,41.5,1
4,State,Gujarat,231,317,521,23,239,306,501,109,392,160,232,110,122,22,47.4,2
5,State,Haryana,169,176,209,58,132,179,185,63,122,11,111,67,44,36.2,60.4,2.1
6,State,Jammu & Kashmir,42,91,99,34,48,117,33,11,22,3,19,8,11,24.2,42.1,2.5
7,State,Kerala,138,72,155,42,117,99,107,27,80,18,62,28,34,26.2,45.2,0.7
8,State,Madhya Pradesh,425,1223,1217,35,449,1236,1145,392,753,214,539,354,185,30.9,65.7,3.1
9,State,Maharashtra,645,833,1824,99,666,858,1679,804,875,170,695,466,229,27.8,67.1,3.7
10,State,Mysore,212,279,731,209,270,313,430,172,258,39,219,107,112,24.9,48.9,2.6
11,State,Nagaland,4,6,NA,13,8,5,10,1,9,NA,9,7,22,70,77.8,3.1
12,State,Orissa,302,397,401,64,212,597,227,60,167,24,141,89,52,39.2,63.1,1.9
13,State,Punjab,418,198,256,59,345,245,223,87,136,9,127,70,57,31.4,55.1,1.8
14,State,Rajasthan,273,681,702,232,274,713,437,114,323,115,208,109,99,24.9,52.4,2.7
15,State,Tamil Nadu,229,158,1046,177,219,188,849,138,711,23,688,570,118,67.1,82.8,2.7
16,State,Uttar Pradesh,757,1031,1777,632,719,1181,1033,609,424,36,388,233,155,22.6,60.1,2
17,State,West Bengal,677,1080,1203,122,779,1093,966,443,523,199,324,195,129,20.2,60.2,2.7
Total (States),State,Total (States),5578,7944,11253,2059,5464,8567,8685,3318,5367,1086,4269,1591,2678,30.8,62.7,2.1
18,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,UT,Chandigarh,26,17,36,12,35,5,27,14,13,1,12,8,4,29.6,66.7,23.2
20,UT,Dadra & N. Haveli,1,1,3,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,4.2
21,UT,Delhi,204,288,487,23,271,319,366,234,132,20,112,67,45,18.3,59.8,12.1
22,UT,"Goa, Daman & Diu",1,21,19,1,7,23,10,1,9,1,8,7,1,70,87.5,2.8
23,UT,Himachal Pradesh,37,35,56,8,30,48,42,7,35,4,31,18,13,42.9,58.1,1.6
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,116,88,100,3,127,111,63,21,42,6,26,9,17,14.3,34.6,9.3
26,UT,Pondicherry,17,2,27,9,3,8,26,5,21,1,20,20,NA,76.9,100,6.2
27,UT,Tripura,3,17,20,4,7,25,4,NA,4,1,3,3,NA,75,100,1.4
Total (UTs),UT,Total (UTs),405,469,748,60,480,541,541,285,256,34,212,132,80,24.4,62.3,6.5
Total (All-India),Total (All-India),Total (All-India),5983,8413,12001,2119,5944,9108,9226,3603,5623,1120,4481,2810,1671,30.5,62.7,2.2
1,City,Ahmedabad,68,36,85,1,67,31,90,27,63,22,41,16,25,17.8,39,5.4
2,City,Bangalore,84,73,352,90,139,85,195,122,73,16,57,33,24,16.9,57.9,20.2
3,City,Bombay,204,151,862,49,214,153,801,480,321,85,236,130,106,16.2,55.1,15.6
4,City,Calcutta,140,42,429,NA,157,52,402,261,141,22,119,102,17,25.4,85.7,13.7
5,City,Delhi,197,274,455,21,247,307,351,229,122,18,104,65,39,18.5,62.5,12.6
6,City,Hyderabad,9,18,52,NA,18,10,51,27,24,NA,24,24,NA,47.1,100,3.8
7,City,Kanpur,65,98,211,68,63,100,143,99,44,5,39,30,9,21,76.9,16.5
8,City,Madras,52,56,575,38,109,77,459,43,416,11,405,385,20,83.9,95.1,28.1
Total (Cities),City,Total (Cities),819,748,3021,267,1014,815,2492,1288,1204,179,1025,785,240,31.5,76.6,14.9
