SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,123,456,1060,63,168,519,889,100,789,NA,789,394,395,44.3,49.9,2.5
2,State,Assam,267,609,472,37,310,552,449,100,349,NA,349,161,188,35.9,46.1,3.1
3,State,Bihar,763,1528,1299,117,825,1797,851,438,413,63,350,177,173,20.8,50.6,2.3
4,State,Gujarat,81,351,862,74,167,398,655,118,537,3,534,198,336,30.2,37.1,3.3
5,State,Haryana,55,115,192,6,68,109,179,19,160,NA,160,97,63,54.2,60.6,2
6,State,Jammu & Kashmir,33,152,80,7,37,173,48,12,36,NA,36,15,21,31.3,41.7,2
7,State,Kerala,57,164,403,13,76,212,323,16,307,NA,305,146,159,45.2,47.9,1.9
8,State,Madhya Pradesh,251,991,1739,18,293,1101,1569,304,1265,5,1260,643,617,41,51,4.4
9,State,Maharashtra,341,905,1319,70,390,902,1203,242,961,NA,931,483,448,40.1,51.9,2.7
10,State,Mysore,103,419,731,95,108,438,612,111,501,NA,501,186,315,30.4,37.1,2.6
11,State,Nagaland,9,23,15,NA,13,21,13,3,10,NA,10,9,1,69.2,90,3.5
12,State,Orissa,208,317,415,28,217,377,318,67,251,7,243,123,120,38.7,50.6,2
13,State,Punjab,138,291,576,11,120,349,525,48,477,NA,477,309,168,58.9,64.8,4
14,State,Rajasthan,121,869,669,60,159,1012,428,104,324,NA,324,149,175,34.8,46,2.6
15,State,Tamil Nadu,90,326,814,48,74,256,852,39,813,14,799,468,331,54.9,58.6,2.1
16,State,Uttar Pradesh,617,2247,3147,54,581,2704,2672,846,1826,3,1823,696,1127,26,38.2,3.5
17,State,West Bengal,340,330,709,29,535,313,502,226,276,7,269,127,142,25.3,47.2,1.6
Total (States),State,Total (States),3597,10093,14502,730,4141,11233,12088,2793,9295,102,9160,4381,4779,36.2,47.8,2.8
18,UT,A & N Islands,NA,1,3,NA,1,2,1,NA,1,NA,NA,NA,NA,0,0,3.3
19,UT,Chandigarh,3,1,7,NA,3,3,5,2,3,NA,3,2,1,40,66.7,4.5
20,UT,Dadra & N. Haveli,NA,1,2,NA,1,NA,2,NA,2,NA,2,1,1,50,50,2.8
21,UT,Delhi,30,39,94,4,46,48,65,14,51,NA,51,31,20,47.7,60.8,2.3
22,UT,"Goa, Daman & Diu",2,13,14,1,4,12,12,2,10,NA,10,5,5,41.7,50,2.1
23,UT,Himachal Pradesh,21,23,26,2,6,34,28,4,24,NA,24,10,14,35.7,41.7,0.7
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,70,52,53,1,99,48,27,8,19,NA,19,9,10,33.3,47.4,4.9
26,UT,Pondicherry,2,NA,4,1,NA,1,4,NA,4,NA,4,2,2,50,50,0.9
27,UT,Tripura,17,19,27,16,23,21,3,1,2,NA,2,2,NA,66.7,100,1.8
Total (UTs),UT,Total (UTs),145,149,230,25,183,169,147,31,116,NA,115,62,53,42.2,53.9,2
Total (All-India),Total (All-India),Total (All-India),3742,10242,14732,755,4324,11402,12235,2824,9411,102,9275,4443,4832,36.3,47.9,2.7
1,City,Ahmedabad,3,10,150,1,82,28,52,34,18,NA,18,9,9,17.3,50,9.5
2,City,Bangalore,4,3,20,5,3,8,11,2,9,NA,9,5,4,45.5,55.6,1.1
3,City,Bombay,50,85,168,7,57,92,147,21,126,NA,126,78,48,53.1,61.9,3
4,City,Calcutta,27,28,68,3,66,11,43,24,19,NA,19,10,9,23.3,52.6,2.2
5,City,Delhi,22,33,75,3,36,36,55,9,46,NA,46,29,17,52.7,63,2.1
6,City,Hyderabad,5,5,21,NA,8,5,18,3,15,NA,15,10,5,55.6,66.7,1.5
7,City,Kanpur,6,32,42,NA,9,38,33,7,26,NA,26,15,11,45.5,57.7,3.3
8,City,Madras,4,15,14,2,1,11,19,NA,19,NA,19,14,5,73.7,73.7,0.7
Total (Cities),City,Total (Cities),121,211,558,21,262,229,378,100,278,NA,278,170,108,45,61.2,2.8
