SL. No.,Category,States/U.Ts,"Number of I.G., D.I.G.& S.P.",Number of A.Ss.P./ Dy.S.P.,Number of Inspector & Sub-Inspectors,Number of Policemen Below Rank of Sub-Inspectors,Total
1,State,Andhra Pradesh,57,114,2128,34881,37180
2,State,Assam,41,82,1678,10845,12646
3,State,Bihar,63,208,2203,28758,31232
4,State,Gujarat,41,79,1390,30773,32283
5,State,Haryana,18,36,334,7408,7796
6,State,Jammu & Kashmir,NA,NA,NA,NA,NA
7,State,Kerala,22,42,536,12886,13486
8,State,Madhya Pradesh,165,153,2422,32279,35019
9,State,Maharashtra,72,173,3462,62531,66238
10,State,Mysore,40,78,1238,23666,25022
11,State,Nagaland,NA,NA,NA,NA,1627
12,State,Orissa,70,83,1527,10122,11802
13,State,Punjab,33,87,775,15219,16114
14,State,Rajasthan,100,99,1607,27406,29212
15,State,Tamil Nadu,44,90,2296,34450,36880
16,State,Uttar Pradesh,79,267,5522,59998,65866
17,State,West Bengal,80,223,4325,34257,38885
18,UT,A & N Islands,1,4,30,295,330
19,UT,Chandigarh,1,2,45,828,876
20,UT,Dadra & N. Haveli,NA,1,4,58,63
21,UT,Delhi,22,63,1246,11176,12507
22,UT,"Goa, Daman & Diu",2,7,45,1321,1375
23,UT,Himachal Pradesh,15,26,227,4063,4331
24,UT,Lakshadweep,NA,1,7,92,100
25,UT,Manipur,NA,NA,NA,NA,NA
26,UT,Pondicherry,1,2,45,506,554
27,UT,Tripura,2,11,148,1258,1419
