SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,613,757,5455,418,819,680,4908,1372,3536,16,3520,3163,357,64.4,89.9,12.9
2,State,Assam,1287,2282,3772,249,1171,2358,3563,2455,1108,NA,1108,434,674,12.2,39.2,24.8
3,State,Bihar,3426,6562,18886,752,2724,7311,18087,16236,1851,205,1626,932,694,5.2,57.3,33.5
4,State,Gujarat,441,1325,4194,150,441,1180,4189,2453,1736,396,1340,723,617,17.3,54,16.2
5,State,Haryana,609,418,1666,63,541,599,1490,988,502,NA,502,374,128,25.1,74.5,17
6,State,Jammu & Kashmir,493,833,1020,196,478,969,703,260,443,79,284,96,188,13.7,33.8,25.5
7,State,Kerala,1036,747,3283,181,882,712,3291,1876,1415,43,1372,945,427,28.7,68.9,15.8
8,State,Madhya Pradesh,1038,7905,18238,379,1001,8381,17420,11900,5520,314,5206,3856,1350,22.1,74.1,45.8
9,State,Maharashtra,2341,4895,13711,351,2145,5184,13267,8847,4420,614,3797,2513,1284,18.9,66.2,28
10,State,Mysore,1361,2191,6220,300,1080,1946,6446,3626,2820,116,2704,2063,641,32,76.3,21.7
11,State,Nagaland,49,28,149,2,51,23,150,91,59,NA,59,54,5,36,91.5,35
12,State,Orissa,872,2827,6503,379,918,3186,5719,4005,1714,31,1683,1017,666,17.8,60.4,30.7
13,State,Punjab,736,411,1699,59,680,410,1697,1267,430,6,424,308,116,18.1,72.6,11.8
14,State,Rajasthan,787,3925,6997,735,634,4626,5714,4074,1640,312,1328,873,455,15.3,65.7,27.3
15,State,Tamil Nadu,596,611,7968,477,433,551,7714,2218,5496,8,5487,5042,445,65.4,91.9,20.5
16,State,Uttar Pradesh,3215,8006,31865,2001,2308,9560,29217,24566,4651,145,4506,2561,1945,8.8,56.8,35.8
17,State,West Bengal,1912,3988,10729,157,2228,4593,9651,8387,1264,68,1196,676,520,7,56.5,24.5
Total (States),State,Total (States),20812,47711,142355,6849,18534,52269,133226,94621,38605,2353,36142,25630,10512,19.2,70.9,27.1
18,UT,A & N Islands,NA,3,35,9,NA,11,18,4,14,NA,4,3,1,16.7,75,38.9
19,UT,Chandigarh,54,15,120,2,37,12,138,89,49,NA,49,42,7,30.4,85.7,77.4
20,UT,Dadra & N. Haveli,4,2,26,1,1,10,20,19,1,NA,1,1,NA,5,100,36.6
21,UT,Delhi,324,254,1353,16,373,303,1239,898,341,19,322,256,66,20.7,79.5,33.5
22,UT,"Goa, Daman & Diu",34,85,366,4,27,81,373,243,130,1,129,117,12,31.4,90.7,53.7
23,UT,Himachal Pradesh,110,88,388,38,155,103,290,126,164,7,157,133,24,45.9,84.7,11
24,UT,Lakshadweep,1,1,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,3.7
25,UT,Manipur,208,176,204,9,273,169,137,98,39,3,36,15,21,10.9,41.7,18.9
26,UT,Pondicherry,9,11,132,10,3,14,125,74,51,NA,51,49,2,39.2,96.1,30.1
27,UT,Tripura,72,102,449,296,82,150,95,41,54,1,53,28,25,29.5,52.8,30.6
Total (UTs),UT,Total (UTs),816,737,3074,385,951,855,2436,1593,843,31,802,644,158,26.4,80.3,26.6
Total (All-India),Total (All-India),Total (All-India),21628,48448,145429,7234,19485,53124,135662,96214,39448,2384,36944,26274,10670,19.4,71.1,27.1
1,City,Ahmedabad,25,45,239,5,24,41,239,115,124,26,98,48,50,20.1,49,15.1
2,City,Bangalore,250,159,1280,52,172,179,1286,771,515,NA,515,454,61,35.3,88.2,73.4
3,City,Bombay,337,223,1898,62,346,208,1842,1230,612,35,577,443,134,24,76.8,34.3
4,City,Calcutta,107,54,746,NA,143,42,722,612,110,NA,110,93,17,12.9,84.5,28.8
5,City,Delhi,286,221,1149,13,286,274,1083,786,297,18,279,223,56,20.6,79.9,31.7
6,City,Hyderabad,89,64,789,NA,222,74,646,204,442,NA,442,439,3,68,99.3,57.9
7,City,Kanpur,30,172,753,19,67,248,621,509,112,NA,112,87,25,14,77.7,59
8,City,Madras,7,10,211,3,13,15,197,7,190,NA,190,190,NA,96.4,100,10.3
Total (Cities),City,Total (Cities),1131,948,7065,154,1273,1081,6636,4234,2402,79,2323,1977,346,29.8,85.1,34.8
