SL. No.,Category,State/U.Ts,Area in Square Kilometers,Estimated Mid-Year Population (in 000),Total Cognizable Crime Reported during the Year,Actual Strength of Police Force - Civil,Actual Strength of Police Force - Armed,Actual Strength of Police Force - Total,Number of Policemen Per 100 Squre Kilometer of Area,"Number of Policemen Per 10,000 of Population",Number of Cases Per Civil Policeman,Percentage of civil police to total police
1,State,Andhra Pradesh,275244,42425,40153,37180,6154,43334,15.7,10.2,1.1,85.8
2,State,Assam,121973,15203,24925,12646,16197,28843,23.6,19,2,43.8
3,State,Bihar,174008,56443,75333,31232,9066,40298,23.2,7.1,2.4,77.5
4,State,Gujarat,187091,25891,33129,32283,6931,39214,21,15.1,1,82.3
5,State,Haryana,44056,9796,8858,7796,2182,9978,22.6,10.2,1.1,78.1
6,State,Jammu & Kashmir,222870,3994,6131,NA,NA,NA,NA,NA,NA,NA
7,State,Kerala,38869,20813,28492,13486,1841,15327,39.4,7.4,2.1,88
8,State,Madhya Pradesh,443459,39805,86946,35019,18308,53327,12,13.4,2.5,65.7
9,State,Maharashtra,307269,48899,92135,66238,7663,73901,24.1,15.1,1.4,89.6
10,State,Mysore,191757,28666,35566,25022,3506,28528,14.9,10,1.4,87.7
11,State,Nagaland,16488,426,685,1627,6392,8019,48.6,188.2,0.4,20.3
12,State,Orissa,155860,21159,31395,11802,11589,23391,15,11.1,2.7,50.5
13,State,Punjab,50376,14369,12926,16114,4092,20206,40.1,14.1,0.8,79.7
14,State,Rajasthan,342267,25588,34995,29212,5289,34501,10.1,13.5,1.2,84.7
15,State,Tamil Nadu,129966,38859,69114,36880,4344,41224,31.7,10.6,1.9,89.5
16,State,Uttar Pradesh,294366,88911,150712,65866,19158,85024,28.9,9.6,2.3,77.5
17,State,West Bengal,87676,43774,82662,38885,23064,61949,70.7,14.2,2.1,62.8
Total (States),State,Total (States),3083595,525021,814157,461288,145776,607064,19.6,11.56,1.7,75.9
18,UT,A & N Islands,8293,90,338,330,608,938,11.3,104.2,1,35.2
19,UT,Chandigarh,115,155,1510,876,671,1547,1345.2,99.8,1.7,56.6
20,UT,Dadra & N. Haveli,489,71,106,63,38,101,20.7,14.2,1.7,62.4
21,UT,Delhi,1483,4041,17606,NA,NA,NA,NA,NA,NA,NA
22,UT,"Goa, Daman & Diu",3733,681,1336,12507,4178,16685,1125.1,41.3,1.4,75
23,UT,Himachal Pradesh,55658,3527,2278,1375,581,1956,52.4,28.7,1,70.3
24,UT,Lakshadweep,28,27,38,4331,1594,5925,10.6,16.8,0.5,73.1
25,UT,Manipur,22346,1077,2351,100,NA,100,357.1,37,0.4,100
26,UT,Pondicherry,473,439,2008,554,366,920,194.5,21,3.6,60.2
27,UT,Tripura,10451,1468,3439,1419,1286,2705,25.9,18.4,2.4,52.5
Total (UTs),UT,Total (UTs),103069,11576,31010,21555,9322,30877,29.9,26.67,1.4,69.8
Total (All-India),Total (All-India),Total (All-India),3186664,536597,845167,482843,155098,637941,20.01,11.8,1.8,75.6
