SL. No.,Category,State/U.Ts./Cities,1964,1965,1966,1967,1968,Quinquennial Average of 1964 to 1968 (Q.A.),1969,"Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1968","Volume of Crime Per One Lakh (100,000)of Population"
1,State,Andhra Pradesh,37697,36250,35249,38303,39778,37455,40153,7.2,0.9,94.6
2,State,Assam,20170,20201,20708,22273,24462,21563,24925,15.6,1.9,163.9
3,State,Bihar,69061,67905,72699,86120,79899,75137,75333,0.3,-5.7,133.5
4,State,Gujarat,32106,30700,31944,32604,32088,31888,33129,3.9,3.2,128
5,State,Haryana,NA,NA,7398,8270,9108,8259,8858,7.3,-2.7,90.4
6,State,Jammu & Kashmir,4372,4083,4971,6142,5992,5112,6131,19.9,2.3,153.5
7,State,Kerala,18124,19720,19257,22210,27411,21344,28492,33.5,3.9,136.9
8,State,Madhya Pradesh,80612,77768,88476,102849,93488,88638,86946,-1.9,-7,218.4
9,State,Maharashtra,77566,86160,92756,98338,99105,90785,92135,1.5,-7,188.4
10,State,Mysore,27703,28877,31991,32525,35441,31307,35566,13.6,0.4,124.1
11,State,Nagaland,484,328,526,514,682,507,685,35.1,0.4,160.8
12,State,Orissa,25899,27228,28491,30709,33537,29173,31395,7.6,-6.4,148.4
13,State,Punjab,19283,19377,12667,13467,13003,15559,12926,-16.9,-0.6,90
14,State,Rajasthan,29965,30176,32962,34497,37001,32920,34995,6.3,-5.4,136.8
15,State,Tamil Nadu,62906,60490,68019,68164,70487,66013,69114,4.7,-1.9,177.9
16,State,Uttar Pradesh,150260,141985,143179,170698,154666,152158,150712,-1,-2.6,169.5
17,State,West Bengal,77344,74172,75933,84449,76193,77618,82662,6.4,8.5,188.8
Total (States),State,Total (States),733552,725420,767226,852132,832341,782134,814157,4.1,-2.2,155.1
18,UT,A & N Islands,182,285,301,340,309,283,338,19.4,9.4,375.6
19,UT,Chandigarh,NA,NA,261,1538,1390,1063,1510,42,8.6,974.2
20,UT,Dadra & N. Haveli,NA,81,89,66,73,77,106,37.7,45.2,149.3
21,UT,Delhi,16064,17209,16934,17423,16937,16913,17606,4.1,3.9,435.7
22,UT,"Goa, Daman & Diu",1724,1988,1962,1841,1320,1767,1336,-24.4,1.2,196.2
23,UT,Himachal Pradesh,1588,1538,2276,2542,2305,2050,2278,11.1,-1.2,64.6
24,UT,Lakshadweep,4,8,4,21,48,17,38,123.5,-20.8,140.7
25,UT,Manipur,2229,1817,2279,2342,2396,2213,2351,6.2,-1.9,218.3
26,UT,Pondicherry,1238,1132,1204,993,1478,1209,2008,66.1,35.9,457.4
27,UT,Tripura,2432,2137,2197,2743,3419,2589,3439,33,0.6,234.3
Total (UTs),UT,Total (UTs),25461,26195,27507,29849,29675,27737,31010,11.8,4.5,267.9
Total (All-India),Total (All-India),Total (All-India),759013,751615,794733,881981,862016,809872,845167,4.4,-2,157.5
1,City,Ahmedabad,3332,3363,3179,2865,2832,3114,3578,14.9,26.3,226
2,City,Bangalore,3800,4176,4820,5945,7266,5401,8051,49.1,10.8,461.4
3,City,Bombay,21563,26791,28085,28891,27569,26580,25289,-4.9,-8.3,457
4,City,Calcutta,23598,21030,20759,13185,11864,18087,10801,-40.3,-9,344.6
5,City,Delhi,14981,16216,15981,16358,15763,15860,16254,2.5,3.1,448.9
6,City,Hyderabad,2647,2805,2442,2795,3072,2752,3593,30.6,17,263.6
7,City,Kanpur,6320,6698,6149,7093,6638,6578,6703,1.9,1,525.3
8,City,Madras,7470,7010,10659,11746,11297,9636,11707,21.5,3.6,571.6
Total (Cities),City,Total (Cities),83711,88080,92074,88878,86301,87809,85976,-2.1,-0.4,423.4
