SL. No.,Years,7 to 12 Years,7 to 12 Year - Percentage to Total,12 to 16 Years,12 to 16 Year - Percentage to Total,16 to 21 Years,16 to 21 Year - Percentage to Total,Overall Age Groups
1,1960,6612,13.4,14315,29.1,28349,57.5,49276
2,1964,10720,16.2,14055,21.2,41383,62.6,66158
3,1965,10542,15.4,15908,23.3,41824,61.3,68274
4,1966,9104,13.5,17072,25.4,41081,61.1,67257
5,1967,10195,14.1,17680,24.5,44234,61.4,72109
6,1968,8262,11.3,16548,22.5,48648,66.2,73458
7,1969,8349,10.6,17200,21.8,53319,67.6,78868
Percentage Change Over 1960,Percentage Change Over 1960,26.3,NA,20.2,NA,88.1,NA,60.1
Percentage Change Over 1968,Percentage Change Over 1969,1.1,NA,3.9,NA,9.6,NA,7.4
