SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1960,46893,2383,49276,4.8
2,1964,63468,2690,66158,4.1
3,1965,63111,5163,68274,7.6
4,1966,62823,4434,67257,6.6
5,1967,66719,5390,72109,7.5
6,1968,68657,4801,73458,6.5
7,1969,74092,4776,78868,6.1
Percentage Change Over 1960,Percentage Change Over 1960,58,100.4,60.1,NA
Percentage Change Over 1968,Percentage Change Over 1968,7.9,-0.5,7.4,NA
