SL. No.,Year,Estimated Mid-Year Population in Millions,Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1960 Base Year,431.7,606367,140.5
2,1964,475.2,759013,159.6
3,1965,486.9,751615,154.4
4,1966,498.7,794733,159.4
5,1967,511.3,881981,172.5
6,1968,523.5,862016,164.7
7,1969,536.6,845167,157.5
Percentage Growth from 1960-1969,Percentage Growth from 1960-1969,24.3,39.4,12.1
