SL. No.,Category,States/U.Ts/Cities,Number of Cases in which Property was Stolen,Value of Property Stolen in Lakhs,Value of Property Recovered in Lakhs,Percentage of Value of Property Recovered to Value of Property Stolen
1,State,Andhra Pradesh,718,2.27,1.61,70.9
2,State,Assam,570,1.98,0.73,36.9
3,State,Bihar,657,1.94,0.75,38.7
4,State,Gujarat,604,1.87,1.08,57.8
5,State,Haryana,400,3.85,1.75,45.5
6,State,Jammu & Kashmir,119,0.25,0.11,44
7,State,Kerala,166,0.8,0.63,78.8
8,State,Madhya Pradesh,4496,12.82,7.54,58.8
9,State,Maharashtra,1531,7.56,3.29,43.5
10,State,Mysore,701,2.46,1.87,76
11,State,Nagaland,3,0.01,0.01,100
12,State,Orissa,786,1.3,0.97,74
13,State,Punjab,198,2.06,0.8,38.8
14,State,Rajasthan,1526,13.48,10.67,79.3
15,State,Tamil Nadu,1614,3.2,2.64,82.5
16,State,Uttar Pradesh,5780,46.94,12.6,26.8
17,State,West Bengal,857,2.01,0.46,22.9
Total (States),State,Total (States),20726,104.78,47.51,45.3
18,UT,A & N Islands,NA,NA,NA,NA
19,UT,Chandigarh,9,0.06,0.03,50
20,UT,Dadra & N. Haveli,2,NA,NA,NA
21,UT,Delhi,92,0.89,0.34,38.2
22,UT,"Goa, Daman & Diu",1,NA,NA,NA
23,UT,Himachal Pradesh,17,0.08,0.07,87.5
24,UT,Lakshadweep,NA,NA,NA,NA
25,UT,Manipur,40,0.24,0.04,16.7
26,UT,Pondicherry,15,0.02,0.02,100.2
27,UT,Tripura,208,0.59,0.06,10.2
Total (UTs),UT,Total (UTs),384,1.88,0.56,29.8
Total (All-India),Total (All-India),Total (All-India),21110,106.66,48.07,45.1
1,City,Ahmedabad,13,0.02,0.02,100
2,City,Bangalore,50,0.2,0.14,70
3,City,Bombay,64,1.37,0.35,25.5
4,City,Calcutta,22,0.18,0.06,33.3
5,City,Delhi,77,0.69,0.3,43.5
6,City,Hyderabad,5,0.01,0.01,100
7,City,Kanpur,41,0.24,0.1,41.7
8,City,Madras,56,0.14,0.14,100
Total (Cities),City,Total (Cities),328,2.85,1.12,39.3
