SL. No.,Category,States/U.Ts,"Number of I.G., D.I.G.& S.P.",Number of A.Ss.P./ Dy.S.P.,Number of Inspector & Sub-Inspectors,Number of Policemen Below Rank of Sub-Inspectors,Total
1,State,Andhra Pradesh,6,23,153,5972,6154
2,State,Assam,16,52,469,15660,16197
3,State,Bihar,11,48,989,8018,9066
4,State,Gujarat,8,20,103,6800,6931
5,State,Haryana,4,11,77,2093,2182
6,State,Jammu & Kashmir,NA,NA,NA,NA,NA
7,State,Kerala,4,8,81,1748,1841
8,State,Madhya Pradesh,24,60,641,17583,18308
9,State,Maharashtra,9,17,216,7421,7663
10,State,Mysore,4,7,96,3399,3506
11,State,Nagaland,NA,NA,NA,NA,6392
12,State,Orissa,11,37,307,11234,11589
13,State,Punjab,6,15,147,3924,4092
14,State,Rajasthan,7,20,191,5071,5289
15,State,Tamil Nadu,8,28,155,4153,4344
16,State,Uttar Pradesh,21,66,730,18341,19158
17,State,West Bengal,12,25,417,22610,23064
18,UT,A & N Islands,NA,3,18,587,608
19,UT,Chandigarh,NA,1,18,652,671
20,UT,Dadra & N. Haveli,NA,NA,1,37,38
21,UT,Delhi,6,14,178,3980,4178
22,UT,"Goa, Daman & Diu",NA,NA,6,575,581
23,UT,Himachal Pradesh,2,3,39,1550,1594
24,UT,Lakshadweep,NA,NA,NA,NA,NA
25,UT,Manipur,NA,NA,NA,NA,NA
26,UT,Pondicherry,NA,NA,NA,NA,366
27,UT,Tripura,1,5,39,1241,1286
