SL. No.,Category,States/U.Ts./Cities,Boys - 7 to 12,Boys - Over 12 to 16,Boys - Over 16 to 21,Boys - Total,Girls - 7 to 12,Girls - Over 12 to 16,Girls - Over 16 to 21,Girls - Total,Grand Total
1,State,Andhra Pradesh,298,374,1788,2460,6,7,46,59,2519
2,State,Assam,42,304,1466,1812,10,58,106,174,1986
3,State,Bihar,101,292,755,1148,1,1,1,3,1151
4,State,Gujarat,798,1900,8300,10998,502,522,678,1702,12700
5,State,Haryana,1,170,1174,1345,1,1,5,7,1352
6,State,Jammu & Kashmir,6,53,155,214,NA,2,5,7,221
7,State,Kerala,59,131,125,315,NA,3,2,5,320
8,State,Madhya Pradesh,274,1312,3372,4958,15,17,38,70,5028
9,State,Maharashtra,1104,2860,13589,17553,217,325,353,895,18448
10,State,Mysore,186,1166,2829,4181,54,115,661,830,5011
11,State,Nagaland,2,219,69,290,NA,13,NA,13,303
12,State,Orissa,52,230,473,755,NA,NA,7,7,762
13,State,Punjab,3,223,909,1135,1,1,NA,2,1137
14,State,Rajasthan,70,246,1349,1665,29,8,20,57,1722
15,State,Tamil Nadu,3267,4497,10028,17792,212,147,179,538,18330
16,State,Uttar Pradesh,161,467,1030,1658,6,6,10,22,1680
17,State,West Bengal,130,482,810,1422,22,75,59,156,1578
Total (States),State,Total (States),6554,14926,48221,69701,1076,1301,2170,4547,74248
18,UT,A & N Islands,13,25,56,94,NA,NA,NA,NA,94
19,UT,Chandigarh,7,12,127,146,NA,2,NA,2,148
20,UT,Dadra & N. Haveli,3,3,17,23,NA,NA,NA,NA,23
21,UT,Delhi,550,617,1388,2555,113,39,32,184,2739
22,UT,"Goa, Daman & Diu",7,22,44,73,NA,2,1,3,76
23,UT,Himachal Pradesh,10,48,252,310,NA,7,21,28,338
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,13,102,268,383,NA,NA,NA,NA,383
26,UT,Pondicherry,3,92,712,807,NA,2,10,12,819
27,UT,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (UTs),UT,Total (UTs),606,921,2864,4391,113,52,64,229,4620
Total (All-India),Total (All-India),Total (All-India),7160,15847,51085,74092,1189,1353,2234,4776,78868
1,City,Ahmedabad,35,321,744,1100,NA,16,148,164,1264
2,City,Bangalore,37,840,1903,2780,30,89,554,673,3453
3,City,Bombay,473,623,410,1506,140,152,9,301,1807
4,City,Calcutta,9,33,14,56,4,19,2,25,81
5,City,Delhi,550,617,1376,2543,113,39,32,184,2727
6,City,Hyderabad,15,58,87,160,NA,2,NA,2,162
7,City,Kanpur,1,35,207,243,NA,NA,NA,NA,243
8,City,Madras,1038,2043,8739,11820,180,107,131,418,12238
Total (Cities),City,Total (Cities),2158,4570,13480,20208,467,424,876,1767,21975
