SL. No.,Category,States/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise & Prohibition Act - Incidence (I),Excise & Prohibition Act - Volume (V),Explosives & Explosive Substances Act - Incidence (I),Explosives & Explosive Substances Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),"Offences under other Special and Local Laws declared to be Cognizable, but not included above - Incidence (I)","Offences under other Special and Local Laws declared to be Cognizable, but not included above - Volume (V)",Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh,164,0.4,10,Negligible,28702,67.7,160,0.4,74,0.2,1183,2.8,29399,69.3,209611,494.1,269303,634.8
2,State,Assam,92,0.6,16,0.1,579,3.8,315,2.1,17,0.1,NA,NA,323,2.1,833,5.5,2175,14.3
3,State,Bihar,260,0.5,4,Negligible,411,0.7,277,0.5,57,0.1,8,NA,9650,17.1,1492,2.6,12159,21.5
4,State,Gujarat,407,1.6,NA,NA,12561,48.5,68826,265.8,10,NA,5,NA,36,0.1,41066,158.6,122911,474.7
5,State,Haryana,632,6.5,1352,13.8,929,9.5,5886,60.1,8,0.1,NA,NA,NA,NA,4909,50.1,13716,140
6,State,Jammu & Kashmir,44,1.1,NA,NA,66,1.7,10,0.3,3,0.1,NA,NA,426,10.7,609,15.2,1158,29
7,State,Kerala,104,0.5,4,Negligible,728,3.5,NA,NA,28,0.1,23,0.1,1716,8.2,2310,11.1,4913,23.6
8,State,Madhya Pradesh,1061,2.7,415,1,16339,41,5292,13.3,65,0.2,NA,NA,42614,107.1,52681,132.3,118467,297.6
9,State,Maharashtra,109,0.2,26,0.1,30482,62.3,122156,249.8,496,1,147,0.3,11409,23.3,358996,734.2,523821,1071.2
10,State,Mysore,198,0.7,4,NA,4149,14.5,14102,49.2,46,0.2,1842,6.4,542071,1891,4510,15.7,566922,1977.7
11,State,Nagaland,12,2.8,1,0.2,1,0.2,1,0.2,5,1.2,NA,NA,NA,NA,5,1.2,25,5.9
12,State,Orissa,245,1.2,54,0.3,424,2,956,4.5,21,0.1,NA,NA,NA,NA,4422,20.9,6122,28.9
13,State,Punjab,3501,24.4,6817,47.4,2495,17.4,16993,118.3,19,0.1,NA,NA,54509,379.4,5263,36.6,89597,623.5
14,State,Rajasthan,496,1.9,544,2.1,754,2.9,687,2.7,5,Negligible,28,0.1,36949,144.4,918,3.3,40381,157.8
15,State,Tamil Nadu,116,0.3,120,0.3,30211,77.7,NA,NA,214,0.6,1411,3.6,57915,149,575367,1480.6,665354,1712.2
16,State,Uttar Pradesh,12334,13.9,848,1,4153,4.7,9869,11.1,227,0.3,NA,NA,NA,NA,11762,13.2,39193,44.1
17,State,West Bengal,104,0.2,5,Negligible,2378,5.4,1096,2.5,486,1.1,57,0.1,199371,455.5,75955,173.5,279452,638.4
Total (States),State,Total (States),19879,3.8,10220,1.9,135362,25.8,246626,47,1781,0.3,4704,0.9,986388,187.9,1350709,257.3,2755669,524.9
18,UT,A & N Islands,NA,NA,8,8.9,11,12.2,544,604.4,NA,NA,NA,NA,10,11.1,71,78.9,644,715.6
19,UT,Chandigarh,4,2.6,40,25.8,55,35.5,65,41.9,12,7.7,NA,NA,NA,NA,41,26.5,217,140
