SL. No.,Nature of Property Stolen and Recovered,Number of Cases in which Property was stolen,Value of Property Stolen (in Lakhs),Value of Property Recovered (in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,Copper Wire,15079,73.32,11.73,16
2,Cattle,21110,106.66,48.07,45.1
3,Cycle,35308,54.31,14.62,26.9
4,Motor Vehicles and Acceddories,7820,339.42,225.11,66.3
5,Firm-Arms,750,6.76,2.35,34.8
6,Explosives,38,0.36,0.21,58.3
