SL. No. (Col. 1),Category (Col.2),States/U.Ts. (Col.3),Number of Occasions on which Firing was Resorted to during - Riot Control Operation (Col.4),Number of Occasions on which Firing was Resorted to during - Dacoity Operation (Col.5),Number of Occasions on which Firing was Resorted to during - Operations Against Other Criminals (Col.6),Number of Occasions on which Firing was Resorted to during - Total (Col.7) = (Col.4+5+6),Civilians - Killed (Col.8),Civilians - Injured (Col.9),Policemen - Killed (Col.10),Policemen - Injured (Col.11)
1,State,Andhra Pradesh,112,7,72,191,159,239,NA,129
2,State,Assam,1,NA,NA,1,2,4,NA,7
3,State,Bihar,11,2,NA,13,10,30,NA,21
4,State,Gujarat,119,NA,11,130,25,98,NA,38
5,State,Haryana,NA,NA,4,4,1,NA,NA,NA
6,State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA
7,State,Kerala,7,NA,NA,7,4,114,NA,63
8,State,Madhya Pradesh,26,28,1,55,27,13,2,6
9,State,Maharashtra,260,3,6,269,62,187,NA,46
10,State,Mysore,1,NA,2,3,3,4,NA,21
11,State,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA
12,State,Orissa,3,NA,1,4,5,6,NA,NA
13,State,Punjab,1,NA,58,59,35,59,NA,67
14,State,Rajasthan,10,29,2,41,24,23,1,69
15,State,Tamil Nadu,1,NA,3,4,2,35,NA,25
16,State,Uttar Pradesh,8,50,20,78,70,34,6,64
17,State,West Bengal,38,17,22,77,23,46,2,157
18,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA
19,UT,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA
20,UT,Dadra & N. Haveli,NA,NA,NA,NA,NA,NA,NA,NA
21,UT,Delhi,NA,NA,1,1,NA,NA,NA,NA
22,UT,"Goa, Daman & Diu",NA,NA,2,2,NA,NA,NA,NA
23,UT,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,NA,NA,NA,NA,NA,NA,NA,NA
26,UT,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Tripura,NA,NA,NA,NA,NA,NA,NA,NA
