SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,4066,8500,40153,6605,4787,9393,31934,4638,27296,954,26342,20997,5345,65.8,79.7,94.6
2,State,Assam,8616,19302,24925,4233,8782,18655,21173,8656,12517,1380,11137,5500,5637,26,49.4,163.9
3,State,Bihar,20594,61423,75333,10847,20181,72483,53839,37538,16301,3916,12385,5554,6831,10.3,44.8,133.5
4,State,Gujarat,3700,13160,33129,1657,4252,13223,30857,9832,21025,7431,13594,7596,5998,24.6,55.9,128
5,State,Haryana,3129,4676,8858,679,2928,6106,6950,2615,4335,575,3760,2461,1299,35.4,65.5,90.4
6,State,Jammu & Kashmir,2404,7051,6131,1596,2188,7523,4279,1249,3030,936,2094,664,1430,15.5,31.7,153.5
7,State,Kerala,6007,9555,28492,5644,6340,11199,20871,4261,16610,4416,12194,5250,6944,25.2,43.1,136.9
8,State,Madhya Pradesh,6796,54815,86946,3118,6951,59758,78730,36675,42055,8062,33993,23697,10296,30.1,69.7,218.4
9,State,Maharashtra,17032,40803,92135,4261,17074,44305,84330,40741,43589,9166,34194,22316,11878,26.5,65.3,188.4
10,State,Mysore,7125,14731,35566,5593,5942,15819,30068,9562,20506,2610,17896,11017,6879,36.6,61.6,124.1
11,State,Nagaland,288,385,685,21,368,371,598,272,326,4,349,328,21,54.8,94,160.8
12,State,Orissa,6183,20349,31395,4970,6730,24892,21335,12073,9262,1369,7882,4118,3764,19.3,52.2,148.4
13,State,Punjab,5693,7142,12926,1274,5752,7317,11418,4334,7084,821,6263,3733,2530,32.7,59.6,90
14,State,Rajasthan,4900,29752,34995,6936,4726,34483,23502,9770,13732,4681,9047,4868,4179,20.7,53.8,136.8
15,State,Tamil Nadu,4744,7350,69114,11618,4288,7113,58189,9060,49129,2282,46809,38012,8797,65.3,81.2,177.9
16,State,Uttar Pradesh,16142,55060,150712,27732,14713,67389,112080,80340,31740,3155,28592,15999,12593,14.3,56,169.5
17,State,West Bengal,16974,41907,82662,6583,27191,46125,61644,42154,19490,5611,13879,7325,6554,11.9,52.8,188.8
Total (States),State,Total (States),134393,395961,814157,103367,143193,446154,651797,313770,338027,57369,280410,179435,100975,27.5,64,155.1
18,UT,A & N Islands,1,57,338,72,16,173,135,65,70,10,55,45,10,33.3,81.8,375.6
19,UT,Chandigarh,490,221,1510,154,596,204,1267,918,349,25,324,250,74,19.7,77.2,974.2
20,UT,Dadra & N. Haveli,17,30,106,6,9,68,70,36,34,11,23,11,12,15.7,47.8,149.3
21,UT,Delhi,3785,4686,17606,910,4677,5506,14984,10089,4895,1132,3763,2406,1357,16.1,63.9,435.7
22,UT,"Goa, Daman & Diu",101,868,1336,53,94,893,1265,475,790,39,751,598,153,47.3,79.6,196.2
23,UT,Himachal Pradesh,727,1182,2278,387,727,1425,1648,309,1339,208,1131,675,456,41,59.7,64.6
24,UT,Lakshadweep,5,27,38,14,4,34,18,2,16,4,4,4,NA,22.2,100,140.7
25,UT,Manipur,1949,2048,2351,304,2860,1936,1248,607,641,75,566,154,412,12.3,27.2,218.3
26,UT,Pondicherry,106,99,2008,414,41,240,1518,289,1229,54,1175,1114,61,73.4,94.8,457.4
27,UT,Tripura,676,1316,3439,2267,827,1683,654,114,540,73,466,175,291,26.8,37.6,234.3
Total (UTs),UT,Total (UTs),7857,10534,31010,4581,9851,12162,22807,12904,9903,1631,8258,5432,2826,23.8,65.8,267.9
Total (All-India),Total (All-India),Total (All-India),142250,406495,845167,107948,153044,458316,674604,326674,347930,59000,288668,184867,103801,27.4,64,157.5
1,City,Ahmedabad,328,687,3578,58,712,824,2999,938,2061,552,1509,874,635,29.1,57.9,226
2,City,Bangalore,1512,1325,8051,877,1262,1629,7120,3299,3821,170,3651,3146,505,44.2,86.2,461.4
3,City,Bombay,4705,4663,25289,1248,4855,4445,24109,13325,10784,2173,8736,5836,2900,24.2,66.8,457
4,City,Calcutta,919,797,10801,148,1183,695,10491,7542,2949,77,2872,2439,433,23.2,84.9,344.6
5,City,Delhi,3389,4254,16254,826,4136,4935,14000,9577,4423,1042,3381,2188,1193,15.6,64.7,448.9
6,City,Hyderabad,359,282,3593,217,912,386,2722,723,1999,51,1948,1848,100,67.9,94.9,263.6
7,City,Kanpur,363,2007,6703,1080,601,2519,4873,3622,1251,73,1180,861,319,17.7,73,525.3
8,City,Madras,1023,698,11707,2529,1771,1555,7573,1469,6104,107,5997,5811,186,76.7,96.9,571.6
Total (Cities),City,Total (Cities),12598,14716,85976,6983,15432,16988,73887,40495,33392,4245,29274,23003,6271,31.1,78.6,423.4
