SL. No.,Heads of Crimes,Persons Arrested - 1984,Persons Arrested - 1985,Percentage Variation in 1985 Over 1984,Percentage to Total Persons Arrested During 1985
1,Murder,59843,63515,6.1,2.9
2,Culpable Homicide Not Amounting to Murder,7673,8012,4.4,0.4
3,Rape,9179,10279,12,0.5
4,Kidnapping & Abduction,18203,20376,11.9,0.9
5,Dacoity,42968,44402,3.3,2
6,Robbery,28128,28469,1.2,1.3
7,Burglary,97381,97216,-0.2,4.5
8,Theft,213867,221781,3.7,10.2
9,Riots,575994,586032,1.7,26.9
10,Criminal Breach of Trust,16726,15605,-6.7,0.7
11,Cheating,17412,18287,5,0.8
12,Counterfeiting,1377,732,-46.8,0
13,Other IPC Offences,990788,1065704,7.6,48.9
14,Total Cognizable Crimes Under IPC,2079539,2180410,4.9,100
