SL. No.,Category,States/U.Ts./Cities,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income (Below Rs. 150),By Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),By Economic Set-Up - Upper Middle Income (Above Rs. 500 P.M.),By Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Others,By Religion - Total,By Community - Schedule Caste,By Community - Schedule Tribe,By Community - Others,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric,By Education - Matric/ Higher Secondary and Above,By Education - Total
1,State,Andhra Pradesh,1514,2986,2070,6570,1632,3321,963,654,6570,5955,615,6570,2692,719,26,862,2271,6570,1815,1686,3069,6570,2383,1987,1232,968,6570
2,State,Assam,1563,1083,465,3111,1429,900,467,315,3111,2129,982,3111,1284,1098,40,237,452,3111,890,546,1675,3111,1097,640,811,563,3111
3,State,Bihar,2530,1253,391,4174,2423,1233,281,237,4174,3922,252,4174,2906,1028,21,101,118,4174,1644,1184,1346,4174,2152,1134,538,350,4174
4,State,Gujarat,25268,5996,4092,35356,18249,12509,4236,362,35356,31659,3697,35356,23665,10210,71,499,911,35356,7665,5929,21762,35356,12774,14309,5687,2586,35356
5,State,Haryana,2702,462,141,3305,2178,827,284,16,3305,2801,504,3305,2697,80,302,NA,226,3305,554,86,2665,3305,805,809,990,701,3305
6,State,Himachal Pradesh,1028,58,18,1104,295,556,188,65,1104,964,140,1104,1009,27,30,5,33,1104,275,28,801,1104,358,180,383,183,1104
7,State,Jammu and Kashmir,1462,170,133,1765,1112,513,133,7,1765,1319,446,1765,1077,395,161,16,116,1765,625,576,564,1765,1095,391,116,163,1765
8,State,Karnataka,2005,766,567,3338,1634,1363,227,114,3338,2891,447,3338,2062,454,24,119,679,3338,388,157,2793,3338,1201,1218,602,317,3338
9,State,Kerala,325,96,42,463,201,78,176,8,463,463,NA,463,NA,290,96,77,NA,463,17,1,445,463,40,145,173,105,463
10,State,Madhya Pradesh,14606,1845,645,17096,11419,4116,1249,312,17096,9461,7635,17096,9361,1836,309,173,5417,17096,2468,2332,12296,17096,9712,3888,2268,1228,17096
