SL. No.,Ranks,Killed,Injured
1,Constables,162,2411
2,Head Constables,38,483
3,Assistant Sub-Inspectors,16,109
4,Sub-Inspectors,29,424
5,Inspectors,3,100
6,Other Gazetted Officers,1,50
Total,Total,249,3577
