SL. No.,Category,State/U.Ts./Cities,1980,1981,1982,1983,1984,Quinquennial Average of 1980 to 1984 (Q.A.),1985,"Percentage Variation in 1985 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1985 (+) Increase, (-) Decrease - Over - 1984",Volume of Crime Per Lakh of Population in 1985
1,State,Andhra Pradesh,69320,75294,79722,84773,82559,78334,82219,5,-0.4,141.6
2,State,Assam,43773,43797,43632,48979,35145,43065,34459,-20,-2,156.6
3,State,Bihar,104225,107006,106768,108662,104763,106285,100549,-5.4,-4,131.2
4,State,Gujarat,61713,78639,80740,79559,83930,76916,87336,13.5,4,234.5
5,State,Haryana,16600,16699,16563,16774,17912,16910,20001,18.3,11.7,137.3
6,State,Himachal Pradesh,4864,4197,3989,4430,5065,4509,5299,17.5,4.6,114
7,State,Jammu and Kashmir,15075,15973,15523,17139,17122,16166,19440,20.3,13.5,294.6
8,State,Karnataka,77443,79605,74479,77304,78866,77539,83580,7.8,5.8,205
9,State,Kerala,47641,48064,46096,47309,48932,47608,49146,3.2,0.4,178.5
10,State,Madhya Pradesh,169751,169119,170310,166355,167945,168696,171553,1.7,2.1,299.1
11,State,Maharashtra,167347,172976,165747,157249,163667,165397,166672,0.8,1.8,242.1
12,State,Manipur,3505,3278,3081,3069,2886,3164,3203,1.2,11,202
13,State,Meghalaya,2203,2122,1733,1646,1613,1863,1752,-6,8.6,116.2
14,State,Nagaland,919,993,1058,1940,1964,1375,2122,54.3,8,229.7
15,State,Orissa,48081,47780,48060,44662,44817,46680,44838,-3.9,0,157.2
16,State,Punjab,11679,13588,12263,13960,12828,12864,11185,-13.1,-12.8,61.1
17,State,Rajasthan,60846,67052,73610,71367,71672,68909,78876,14.5,10,204.8
18,State,Sikkim,281,295,226,257,283,268,325,21.3,14.8,87.5
19,State,Tamil Nadu,116110,118471,115410,114416,113714,115625,119455,3.3,5,229.7
20,State,Tripura,6098,4178,5486,5900,6025,5537,5461,-1.4,-9.4,238.4
21,State,Uttar Pradesh,198131,185485,167747,164926,180189,179297,184786,3.1,2.6,152.2
22,State,West Bengal,93618,89207,83379,81239,74899,84468,70346,-16.7,-6.1,118.3
Total (States),State,Total (States),1319223,1343818,1315622,1311915,1316796,1321475,1342603,1.6,2,181.6
23,UT,A & N Islands,805,737,702,755,739,748,672,-10.2,-9.1,290
24,UT,Arunachal Pradesh,852,841,1011,1071,960,947,1012,6.9,5.4,141.7
25,UT,Chandigarh,2118,1683,1617,1612,1806,1767,1767,0,-2.2,309.7
26,UT,D & N Haveli,177,192,272,205,283,226,382,69,35,329
27,UT,Delhi,37588,30636,27163,27360,30773,30703,30412,-1,-1.2,409.4
28,UT,"Goa, Daman & Diu",2927,3418,3218,2936,3090,3117,3873,24.2,25.3,321
29,UT,Lakshadweep,15,12,15,18,23,17,28,64.7,21.7,65.1
30,UT,Mizoram,1055,1506,1709,1696,1577,1509,1213,-19.6,-23.1,206.9
31,UT,Pondicherry,3769,2914,2575,2298,2613,2834,2769,-2.3,6,414.6
Total (UTs),UT,Total (UTs),49306,41939,38282,37951,41864,41868,42128,0.6,0.6,364.3
All India,All India,All India,1368529,1385757,1353904,1349866,1358660,1363343,1384731,1.6,1.9,184.4
1,City,Ahmedabad,8678,10502,11432,10500,10156,10254,10703,4.4,5.4,472.7
2,City,Bangalore,18307,17122,14818,14149,16354,16150,16019,-0.8,-2,531.9
3,City,Bombay,35695,35263,34696,31722,31150,33705,35977,6.7,15.5,381.1
4,City,Calcutta,13981,13951,13249,14062,13877,13824,14644,5.9,5.5,437.4
5,City,Delhi,35648,29341,25855,26070,29243,29231,28823,-1.4,-1.4,506.7
6,City,Hyderabad,7412,6870,6510,6649,7491,6986,7579,8.5,1.2,326.7
7,City,Jaipur,*5095,5577,5173,4491,5137,5095,5411,6.2,5.3,455.6
8,City,Kanpur,6300,5882,6017,6638,6226,6213,7278,17.1,16.9,444
9,City,Lucknow,*8222,10291,9100,6659,6839,8222,4778,-41.9,-30.1,497.3
10,City,Madras,17279,15693,13375,13816,10561,14145,11834,-16.3,12.1,319.3
11,City,Nagpur,*8930,5750,16763,6148,7060,8930,7929,-11.2,12.3,562.9
12,City,Pune,*7940,8031,7892,7517,8319,7940,9165,15.4,10.2,659.9
Total (Cities),City,Total (Cities),173487,164273,164880,148421,152413,160695,160140,3.5,5.1,440.4
