SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,79,NA,31,102,12,75,3212,327,82,401,29,1165,7579
2,Andhra Pradesh,Srikakulam,27,NA,10,13,6,6,185,162,37,17,NA,77,1269
3,Andhra Pradesh,Vizianagaram,26,NA,13,16,NA,5,271,76,24,40,NA,107,4955
4,Andhra Pradesh,Visakhapatnam (U ),12,NA,1,15,8,12,649,74,22,47,NA,184,3028
5,Andhra Pradesh,Visakhapatnam (R),18,NA,3,NA,5,10,240,131,29,16,NA,70,4173
6,Andhra Pradesh,East Godavary,64,NA,20,27,8,5,933,59,42,56,NA,309,6294
7,Andhra Pradesh,West Godavary,51,1,42,21,6,12,419,141,38,60,NA,270,2584
8,Andhra Pradesh,Krishna,36,1,27,20,5,12,378,154,15,13,11,170,2835
9,Andhra Pradesh,Vijayawada (U),14,NA,33,15,5,12,620,38,39,60,NA,126,1462
10,Andhra Pradesh,Guntur,108,NA,26,40,10,31,1367,83,49,100,NA,337,5600
11,Andhra Pradesh,Nellore,58,NA,22,34,6,25,835,182,43,47,4,325,5683
12,Andhra Pradesh,Prakasham,52,NA,22,17,12,15,396,121,18,27,3,221,2937
13,Andhra Pradesh,Kurnool,140,2,10,9,12,11,238,251,8,7,NA,108,2945
14,Andhra Pradesh,Cuddapah,92,NA,3,16,9,8,508,261,13,20,1,172,2289
15,Andhra Pradesh,Anantapur,94,1,8,10,25,10,710,346,8,17,NA,235,2724
16,Andhra Pradesh,Chittoor,68,2,6,28,10,14,921,265,20,50,5,311,3485
17,Andhra Pradesh,Ranga Reddy,64,1,13,20,27,37,601,234,49,52,NA,311,3399
18,Andhra Pradesh,Mahabubnagar,130,2,19,19,13,17,575,199,8,20,5,323,3426
19,Andhra Pradesh,Nizamabad,120,1,15,9,18,18,453,138,12,33,NA,77,2301
20,Andhra Pradesh,Nalgonda,61,2,24,14,10,19,359,219,12,20,NA,147,2301
21,Andhra Pradesh,Medak,72,2,8,21,10,33,364,283,10,16,1,168,2540
22,Andhra Pradesh,Warangal,58,1,15,18,25,27,383,132,9,47,NA,209,2144
23,Andhra Pradesh,Khammam,59,NA,16,5,5,6,406,53,11,15,NA,173,1641
24,Andhra Pradesh,Karimnagar,80,NA,14,15,40,88,368,149,12,29,NA,151,2597
25,Andhra Pradesh,Adilabad,51,NA,7,10,24,40,181,41,9,7,1,107,1475
26,Andhra Pradesh,SRP. Vijyawada,NA,2,NA,1,NA,4,204,2,2,9,NA,NA,253
27,Andhra Pradesh,SRP. Secunderabad,1,NA,1,3,NA,NA,184,NA,NA,1,NA,NA,212
28,Andhra Pradesh,SRP. Guntakal,1,NA,NA,NA,NA,2,160,3,1,3,NA,NA,188
1,Assam,Goalpara,34,2,21,29,12,16,173,349,292,45,26,5,1607
2,Assam,Dhubri,27,NA,27,29,24,23,217,298,391,16,25,10,1600
3,Assam,Kokrajhar,28,6,17,22,48,30,154,247,185,13,10,2,1234
4,Assam,Kamrup,30,2,25,65,31,16,451,511,208,51,51,15,2568
5,Assam,Barpeta,26,1,16,26,25,17,211,245,91,16,20,1,1212
6,Assam,Nalbari,18,NA,6,9,43,11,146,236,130,26,14,3,1315
7,Assam,Darrang,42,NA,5,43,41,36,265,289,201,10,20,NA,1523
8,Assam,Sonitpur,44,2,20,52,49,58,305,575,231,26,21,NA,2499
9,Assam,Nagaon,69,NA,31,161,51,38,526,942,947,65,110,NA,5022
10,Assam,Jorhat,90,5,38,70,27,75,239,695,299,50,25,8,3126
11,Assam,Sibsagar,36,3,11,69,3,32,104,365,142,29,22,NA,1860
12,Assam,Lakhimpur,32,NA,35,61,23,19,239,449,196,38,26,NA,2154
13,Assam,Dibrugarh,110,7,27,82,16,50,388,803,193,33,18,1,3366
14,Assam,Karbi Anglong,10,3,7,17,13,15,61,110,50,5,11,NA,547
15,Assam,N.C. Hills,1,NA,2,4,3,8,40,59,6,4,1,1,212
16,Assam,Cachar,51,NA,30,76,10,16,230,679,452,46,40,12,3370
17,Assam,Karimaganj,14,NA,14,25,10,9,140,205,308,21,14,NA,1244
1,Bihar,Patna,200,22,17,117,129,184,536,2623,648,151,132,1,8045
2,Bihar,Nalanda,137,16,8,50,88,64,213,487,207,13,12,NA,2301
3,Bihar,Bhojpur,103,25,21,41,136,87,480,650,546,39,50,NA,3418
4,Bihar,Rohtas,146,12,21,78,209,91,326,386,343,50,28,6,3127
5,Bihar,Gaya,101,12,17,20,93,61,204,757,492,46,19,1,2913
6,Bihar,Aurangabad,33,7,3,25,41,5,47,213,345,18,29,NA,1450
7,Bihar,Nawada,56,2,10,17,66,16,140,515,330,25,44,NA,1828
8,Bihar,Saran,88,10,10,30,88,52,410,30,325,30,20,NA,2542
9,Bihar,Siwan,51,6,6,20,85,49,342,476,348,23,15,NA,2435
10,Bihar,Gopalganj,50,6,5,23,67,44,191,259,282,23,22,1,1598
11,Bihar,East Champaran,61,14,10,69,97,36,138,472,465,29,47,NA,2103
12,Bihar,West Champaran,86,7,24,66,99,33,305,616,881,86,46,NA,3649
13,Bihar,Muzaffarpur,71,3,12,81,96,55,296,443,484,15,23,NA,3305
14,Bihar,Vaishali,53,10,4,54,54,24,161,151,410,32,40,NA,1919
15,Bihar,Sitamarhi,34,13,8,44,33,18,187,151,494,63,41,5,2170
16,Bihar,Darbhanga,39,26,18,15,36,32,315,235,595,39,26,NA,2660
17,Bihar,Samastipur,61,11,12,55,83,43,244,400,452,16,16,2,2554
18,Bihar,Madhubani,37,13,11,20,46,15,328,521,616,65,29,NA,2735
19,Bihar,Begusarai,95,6,8,38,85,71,268,407,467,40,31,NA,2592
20,Bihar,Bhagalpur,158,45,50,55,83,92,352,549,675,16,12,NA,3727
21,Bihar,Munger,185,20,31,81,170,93,303,805,620,51,42,NA,4085
22,Bihar,Khagaria,42,3,8,25,22,19,58,179,294,10,8,NA,1086
23,Bihar,Shahibganj,50,16,27,14,32,10,68,180,32,21,22,NA,845
24,Bihar,Godda,39,4,7,11,21,9,81,58,141,5,3,NA,748
25,Bihar,Dumka,40,5,12,17,37,13,143,224,252,20,22,NA,1267
26,Bihar,Deoghar,15,NA,NA,11,16,18,58,96,110,NA,1,NA,777
27,Bihar,Katihar,40,1,31,44,52,28,154,652,456,35,23,NA,2205
28,Bihar,Saharsa,40,6,15,27,77,34,207,355,693,18,42,1,2245
29,Bihar,Madhepura,19,2,4,18,37,17,135,123,310,14,13,NA,1137
30,Bihar,Purnea,89,14,42,77,143,62,400,912,1032,52,41,NA,4207
31,Bihar,Hazaribagh,130,33,78,54,185,143,72,855,595,38,54,NA,4013
32,Bihar,Giridih,57,189,12,20,74,48,310,496,159,6,13,NA,1961
33,Bihar,Bokaro,26,NA,5,12,21,24,104,202,99,14,11,NA,1033
34,Bihar,Dhanbad,87,6,27,16,68,85,394,880,241,37,64,15,3669
35,Bihar,Palamau,106,1,20,35,101,50,65,410,337,43,44,NA,2546
36,Bihar,Gumla,99,5,19,12,21,49,31,192,80,4,10,NA,798
37,Bihar,Lohardagga,11,NA,10,2,9,14,38,94,38,3,3,NA,331
38,Bihar,Ranchi,242,19,31,39,83,160,313,1125,167,85,47,9,3834
39,Bihar,Singhbhum,188,7,18,35,72,42,264,429,235,31,18,NA,2206
40,Bihar,Jamshedpur,39,4,12,40,9,24,67,483,68,20,62,NA,1971
