SL. No.,Heads of Crime,Number of New Offenders Arrested,Number of Offenders Who have been Arrested in the Past - Once,Number of Offenders Who have been Arrested in the Past - Twice,Number of Offenders Who have been Arrested in the Past - Three time or more,Number of Offenders Who have been Arrested in the Past - Total
1,Murder,52655,8155,1427,1278,63515
2,Culpable Homicide Not Amounting to Murder,6132,1271,445,164,8012
3,Rape,8911,1147,176,45,10279
4,Kidnapping & Abduction,13829,4331,1578,638,20376
5,Dacoity,36270,5378,2264,490,44402
6,Robbery,23561,3801,687,420,28469
7,Burglary,78544,12611,3769,2292,97216
8,Theft,179430,32855,5862,3634,221781
9,Riots,541687,28732,9091,6522,586032
10,Criminal Breach of Trust,13768,1419,289,129,15605
11,Cheating,16226,1550,342,169,18287
12,Counterfeiting,617,90,23,2,732
13,Total Cognizable Crimes Under IPC,1892307,216499,44386,27218,2180410
