SL. No.,Category,States/U.Ts/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,1641,2.8,18,0,409,0.7,518,0.9,293,0.5,554,1,5853,10.1,16120,27.7,4124,7.1,622,1.1,1230,2.1,63,0.1,82219,141.4
2,State,Assam,662,3,31,0.1,332,1.5,840,3.8,429,1.9,469,2.1,3889,17.7,7057,32.1,4322,19.6,494,2.2,454,2.1,58,0.3,34459,156.6
3,State,Bihar,3244,4.2,601,0.8,686,0.9,1538,2,3046,4,2092,2.7,8791,11.5,20815,27.2,15437,20.1,1352,1.8,1260,1.6,41,0.1,100549,131.2
4,State,Gujarat,1171,3.1,4,0,130,0.3,558,1.5,301,0.8,811,2.2,5404,14.5,17339,46.6,4400,11.8,1177,3.2,800,2.1,23,0.1,87336,234.5
5,State,Haryana,348,2.4,109,0.7,105,0.7,222,1.5,21,0.1,69,0.5,2192,15,3398,23.3,200,1.4,313,2.1,490,3.4,4,0,20001,137.3
6,State,Himachal Pradesh,74,1.6,26,0.6,33,0.7,71,1.5,4,0.1,19,0.4,618,13.3,578,12.4,237,5.1,102,2.2,107,2.3,4,0.1,5299,114
7,State,Jammu & Kashmir,121,1.8,9,0.1,207,3.1,544,8.2,6,0.1,34,0.5,1493,22.6,2868,43.5,2148,32.6,157,2.4,211,3.2,NA,0,19440,294.6
8,State,Karnataka,1002,2.5,20,0,121,0.3,370,0.9,175,0.4,471,1.2,7839,19.2,16528,40.5,5820,14.3,661,1.6,1842,4.5,444,1.1,83580,205
9,State,Kerala,472,1.7,28,0.1,130,0.5,129,0.5,25,0.1,123,0.4,3692,13.4,2956,10.7,4854,17.6,342,1.2,862,3.1,162,0.6,49146,178.5
10,State,Madhya Pradesh,2639,4.6,54,0.1,1465,2.6,1583,2.8,347,0.6,2287,4,20266,35.3,39089,68.1,5513,9.6,1075,1.9,1417,2.5,14,0,171553,299.1
11,State,Maharashtra,2091,3,25,0,673,1,992,1.4,552,0.8,3110,4.5,16260,23.6,54877,79.7,5077,7.4,2719,3.9,2592,3.8,94,0.1,166672,242.1
