SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1975,132587,9312,141899,6.6
2,1976,124569,9404,133973,7
3,1977,138532,10390,148922,7
4,1978,151187,9732,160919,6
5,1979,160310,9733,170043,5.7
6,1980,178129,9456,187585,5
7,1981,181888,8679,190567,4.6
8,1982,157664,10673,168337,6.3
9,1983,160513,11101,171614,6.5
10,1984,149755,12505,162260,7.7
11,1985,157107,11392,168499,6.8
Percentage Change in 1985 Over 1975,Percentage Change in 1985 Over 1975,18.5,22.3,18.7,NA
Percentage Change in 1985 Over 1984,Percentage Change in 1985 Over 1984,4.9,-8.9,3.8,NA
