SL. No.,Years,Estimated Mid-Year Population in Millions,Total Cognizable Crime Under the IPC,Rate of Crime Per Lakh of Population
1,1975,600.8,1160520,193.2
2,1976,613.3,1093897,178.4
3,1977,625.8,1267004,202.5
4,1978,638.4,1344968,210.7
5,1979,651,1336168,205.2
6,1980,663.6,1368529,206.2
7,1981,690.1,1385757,200.8
8,1982,705.2,1353904,192
9,1983,720.4,1349866,187.4
10,1984,735.6,1358660,184.7
11,1985,750.9,1384731,184.4
Percentage Change in 1985 Over 1975,Percentage Change in 1985 Over 1975,25,19.3,-4.6
