SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,79,NA,31,102,12,75,1165,3212,327,82,401,29,7579
2,Andhra Pradesh,Visakhapatnam (V),2,NA,NA,4,3,4,39,126,55,11,29,NA,959
3,Andhra Pradesh,Kakinada,1,NA,NA,NA,1,NA,44,201,3,NA,8,NA,258
4,Andhra Pradesh,Rajahmundry,7,NA,NA,2,1,NA,68,188,NA,8,6,NA,293
5,Andhra Pradesh,Eluru,3,NA,2,2,NA,NA,19,145,5,3,7,NA,187
6,Andhra Pradesh,Gudiwada,5,NA,7,2,NA,NA,22,68,20,6,1,NA,132
7,Andhra Pradesh,Machilipatnam,1,NA,1,NA,2,NA,17,26,11,1,NA,NA,213
8,Andhra Pradesh,Vijayavada (U),12,NA,21,13,1,9,100,542,14,36,58,NA,806
9,Andhra Pradesh,Guntur,10,NA,3,3,NA,9,89,547,1,20,40,NA,993
10,Andhra Pradesh,Tenali,5,NA,NA,3,NA,NA,17,114,1,5,2,NA,209
11,Andhra Pradesh,Ellore,8,NA,2,13,NA,5,86,264,8,7,15,NA,699
12,Andhra Pradesh,Kurnool,11,NA,NA,NA,1,1,27,60,1,1,2,NA,104
13,Andhra Pradesh,Cuddapah,5,NA,NA,2,1,2,32,120,19,1,1,NA,183
14,Andhra Pradesh,Nizamabad,9,NA,3,2,4,3,19,125,26,3,8,NA,926
15,Andhra Pradesh,Warangal,5,NA,15,18,19,24,187,342,132,9,47,NA,848
1,Assam,Guwahati,16,3,26,4,19,9,260,325,141,36,21,7,1509
1,Bihar,Patna,100,NA,13,68,53,120,413,1761,155,NA,59,NA,5388
2,Bihar,Gaya,12,NA,6,8,15,24,42,206,52,12,9,1,412
3,Bihar,Arrah,7,NA,NA,1,2,4,25,NA,35,9,NA,NA,282
4,Bihar,Muzaffarpur,31,1,3,17,21,17,117,203,119,7,9,NA,545
5,Bihar,Darbhanga,39,6,18,15,36,32,315,235,95,39,26,NA,1376
6,Bihar,Bhagalpur,13,1,1,10,5,24,59,NA,35,8,23,NA,728
7,Bihar,Katihar,5,NA,1,11,1,6,42,NA,5,1,13,NA,636
8,Bihar,Chapra,5,1,NA,4,2,10,92,NA,29,8,4,2,542
9,Bihar,Bokaro,26,NA,5,12,21,24,104,295,99,14,11,NA,1264
10,Bihar,Dhanbad,6,NA,5,4,7,17,83,173,39,10,16,NA,901
11,Bihar,Jamshedpur,39,4,12,40,9,24,67,483,68,20,62,NA,1971
1,Gujarat,Ahmedabad City,136,1,10,96,21,49,469,2324,883,98,127,10,10703
2,Gujarat,Surat City,36,NA,1,29,17,19,233,1003,486,51,50,1,3849
3,Gujarat,Baroda City,28,NA,8,33,38,21,457,1712,751,56,89,NA,6040
4,Gujarat,Rajkot City,13,NA,1,6,1,3,104,281,54,24,17,NA,1666
5,Gujarat,Bhavnagar City,17,NA,3,21,NA,5,66,234,25,15,7,1,1179
