SL. No.,Category,State/U.Ts/City,Murder - Male,Murder - Female,Murder - Total,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Culpable Homicide Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh,4084,76,4160,16,NA,16,576,NA,576,425,38,463,1267,8,1275,914,7,921,4884,106,4990,10732,507,11239,29297,753,30050,459,NA,459,1035,4,1039,36,NA,36,122400,3704,126104
2,State,Assam,1739,17,1756,67,NA,67,398,NA,398,815,NA,815,1563,NA,1563,794,NA,794,4372,23,4395,7284,44,7328,14919,67,14986,319,NA,319,435,NA,435,54,NA,54,52173,161,52334
3,State,Bihar,7545,101,7646,733,11,744,958,NA,958,2962,36,2998,8718,16,8734,2899,17,2916,8090,94,8184,24283,797,25080,80703,901,81604,1727,14,741,2029,9,2038,57,NA,57,210629,2923,213552
4,State,Gujarat,3295,115,3410,7,NA,7,199,4,203,757,53,810,1743,26,1769,1054,23,1077,4786,118,4904,11083,414,11497,23865,420,24285,1333,8,341,906,19,925,19,NA,19,141142,4170,145312
5,State,Haryana,1107,45,1152,340,3,343,177,NA,177,310,5,315,135,NA,135,137,NA,137,2113,14,2127,3201,54,3255,1147,39,1186,233,NA,233,471,NA,471,3,NA,3,30479,340,30819
6,State,Himachal Pradesh,144,6,150,53,4,57,43,NA,43,81,3,84,26,NA,26,56,NA,56,358,3,361,481,13,494,1062,134,1196,71,1,72,78,2,80,NA,NA,NA,7082,612,7694
7,State,Jammu & Kashmir,275,19,294,4,NA,4,247,NA,247,659,12,671,153,NA,153,77,NA,77,778,2,780,2478,27,2505,9082,432,9514,71,NA,71,135,NA,135,NA,NA,NA,32406,1241,33647
8,State,Karnataka,2186,70,2256,48,NA,48,145,NA,145,344,22,366,759,3,762,555,6,561,3773,30,3803,7882,142,8024,42090,1683,43773,513,1,514,816,21,837,45,NA,45,124254,3974,128228
9,State,Kerala,889,59,948,34,2,36,182,2,184,134,3,137,125,NA,125,164,NA,164,1764,3,1767,2299,51,2350,26773,933,27706,238,16,254,611,47,658,79,NA,79,76913,2530,79443
10,State,Madhya Pradesh,5296,1273,6569,99,2,101,2079,136,2215,1645,60,1705,1510,11,1521,3037,35,3072,11140,908,12048,21610,853,22463,33222,2000,35222,1185,7,1192,1511,30,1541,7,NA,7,228301,2487,230788
11,State,Maharashtra,4353,338,4691,70,3,73,932,15,947,1079,59,1138,2924,54,2978,3529,37,3566,12999,372,13371,29834,1715,31549,42079,1862,43941,2721,60,2781,2094,46,2140,78,NA,78,227326,11432,238758
12,State,Manipur,114,1,115,11,1,12,16,NA,16,187,11,198,73,NA,73,108,3,111,288,1,289,491,8,499,706,146,852,28,NA,28,88,NA,88,9,NA,9,2489,190,2679
13,State,Meghalaya,114,1,115,24,NA,24,24,NA,24,24,NA,24,94,NA,94,54,NA,54,148,4,152,446,7,453,559,NA,559,14,NA,14,31,NA,31,5,NA,5,2722,17,2739
14,State,Nagaland,55,NA,55,5,NA,5,18,NA,18,55,NA,55,34,NA,34,69,NA,69,211,NA,211,368,5,373,117,NA,117,34,NA,34,42,NA,42,NA,NA,NA,2025,5,2030
15,State,Orissa,1465,20,1485,69,NA,69,206,12,218,217,11,228,1134,1,1135,1092,9,1101,5861,36,5897,13160,87,13247,22035,188,22223,438,NA,438,272,12,284,27,NA,27,84980,771,85751
