SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crimes Under IPC,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Number of Policemen Per 100 SQ. KM. Area,Number of Policemen Per 1000 of Population,Number of IPC Cases Per Civil Policemen,Percentage of Civil Police to Total Police
1,State,Andhra Pradesh,275068,58147,82219,45447,8773,54220,19.7,0.9,1.8,83.8
2,State,Assam,78438,22008,34459,25548,15468,41016,52.3,1.9,1.3,62.3
3,State,Bihar,173877,76659,100549,55784,13110,68894,39.6,0.9,1.8,81
4,State,Gujarat,196024,37236,87336,46610,12208,58818,30,1.6,1.9,79.2
5,State,Haryana,44212,14567,20001,15371,5735,21106,47.7,1.4,1.3,72.8
6,State,Himachal Pradesh,55673,4647,5299,6211,2008,8219,14.8,1.8,0.9,75.6
7,State,Jammu and Kashmir,222236,6598,19440,17407,6972,24379,11,3.7,1.1,71.4
8,State,Karnataka,191791,40777,83580,39910,4856,44766,23.3,1.1,2.1,89.2
9,State,Kerala,38863,27527,49146,21982,3562,25544,65.7,0.9,2.2,86.1
10,State,Madhya Pradesh,443446,57366,171553,56608,24239,80847,18.2,1.4,3,70
11,State,Maharashtra,307690,68854,166672,100409,11341,111750,36.3,1.6,1.7,89.9
12,State,Manipur,22327,1585,3203,4323,5241,9564,42.8,6,0.7,45.2
13,State,Meghalaya,22429,1508,1752,4110,1767,5877,26.2,3.9,0.4,69.9
14,State,Nagaland,16579,924,2122,6329,8836,15165,91.5,16.4,0.3,41.7
15,State,Orissa,155707,28516,44838,24619,7093,31712,20.4,1.1,1.8,77.6
16,State,Punjab,50362,18313,11185,29069,6087,35156,69.8,1.9,0.4,82.7
17,State,Rajasthan,342239,38518,78876,40085,7366,47451,13.9,1.2,2,84.5
18,State,Sikkim,7096,372,325,1460,508,1968,27.7,5.3,0.2,74.2
19,State,Tamil Nadu,130058,52016,119455,46201,7647,53848,41.4,1,2.6,85.8
20,State,Tripura,10486,2291,5461,4885,2428,7313,69.7,3.2,1.1,66.8
21,State,Uttar Pradesh,294411,121379,184786,111387,31920,143307,48.7,1.2,1.7,77.7
22,State,West Bengal,88752,59477,70346,43144,29950,73094,82.4,1.2,1.6,59
Total (States),State,Total (States),3167764,739285,1342603,746899,217115,964014,30.4,1.3,1.8,77.5
23,UT,A & N Islands,8249,232,672,1667,143,1810,21.9,7.8,0.4,92.1
24,UT,Arunachal Pradesh,83743,714,1012,2072,NA,2072,2.5,2.9,0.5,100
25,UT,Chandigarh,114,571,1767,1432,977,2409,2113.2,4.2,1.2,59.4
26,UT,D & N Haveli,491,116,382,74,78,152,31,1.3,5.2,48.7
27,UT,Delhi,1483,7428,30412,21948,8502,30450,2053.3,4.1,1.4,72.1
28,UT,"Goa, Daman & Diu",3814,1207,3873,1969,574,2543,66.7,2.1,2,77.4
29,UT,Lakshadweep,32,43,28,286,NA,286,893.8,6.7,0.1,100
30,UT,Mizoram,21081,586,1213,1625,1075,2700,12.8,4.6,0.8,60.2
31,UT,Pondicherry,492,668,2769,975,662,1637,332.7,2.5,2.8,59.6
Total (UTs),UT,Total (UTs),119499,11565,42128,32048,12011,44059,36.9,3.8,1.3,72.7
All India,All India,All India,3287263,750850,1384731,778947,229126,1008073,30.7,1.3,1.8,77.3
