SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,190255,714,56665,36278,132876
2,Opium Act,38343,134,12362,7913,25847
3,Gambling Act,295267,496,162215,129161,132556
4,Excise Act,267904,638,98052,61016,169214
5,Prohibition Act,693326,19058,219343,123138,454925
6,Explosive & Explosive Substances Act,7709,55,1950,1236,5704
7,Suppression of Immoral Traffic Act,18669,110,14736,13768,3823
8,Motor Vehicles Act,1392072,76457,1018909,863744,296706
9,Prevention of Corruption Act,1029,1,477,236,551
10,Customs Act,189,NA,79,62,110
11,Indian Railways Act,36988,145,29879,28964,6964
12,Other Offences,1306040,11155,988220,882135,306665
13,Total Cognizable Crimes Under Local and Special Laws,4247791,108963,2602887,2147651,1535941
