SL. No.,Category,State/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Suppression of Immoral Traffic Act - Incidence (I),Suppression of Immoral Traffic Act - Volume (V),Motor Vehicle Act - Incidence (I),Motor Vehicle Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other Local & Special Laws - Incidence (I),Other Local & Special Laws - Volume (V),Total of Local & Special Laws - Incidence (I),Total of Local & Special Laws - Volume (V)
1,State,Andhra Pradesh,457,0.8,3,0,33167,57,4081,7,2,0,425,0.7,1528,2.6,301758,2.6,NA,0,NA,0,19,0,195777,336.7,537217,923.9
2,State,Assam,280,1.3,8,0,269,1.2,1235,5.6,55,0.2,35,0.2,NA,0,493,2.2,1,0,NA,0,53,0.2,1667,7.6,4096,18.6
3,State,Bihar,1900,2.5,1,0,449,0.6,1215,1.6,NA,0,457,0.6,1,0,423,0.6,4,0,NA,0,412,0.5,2438,3.2,7300,9.5
4,State,Gujarat,1206,3.2,19,0.1,14490,38.9,NA,0,120387,323.3,90,0.2,10,0,86,0.2,NA,0,NA,0,612,1.6,30966,83.2,167866,450.8
5,State,Haryana,1688,11.6,3075,21.1,2022,13.9,10899,74.8,NA,0,19,0.1,1,0,NA,0,42,0.3,NA,0,205,1.4,977,6.7,18928,129.9
6,State,Himachal Pradesh,44,0.9,37,0.8,18,0.4,3433,73.9,NA,0,20,0.4,NA,0,NA,0,NA,0,NA,0,4,0.1,297,6.4,3853,82.9
7,State,Jammu & Kashmir,174,2.6,NA,0,108,1.6,40,0.6,NA,0,53,0.8,4,0.1,NA,0,3,0,NA,0,NA,0,1179,17.9,1561,23.7
8,State,Karnataka,107,0.3,25,0.1,9663,23.7,1873,4.6,1,0,44,0.1,2189,5.4,336865,826.1,NA,0,NA,0,51,0.1,39580,97.1,390398,957.4
9,State,Kerala,96,0.3,NA,0,748,2.7,11,0,467,1.7,102,0.4,43,0.2,556,2,NA,0,NA,0,44,0.2,3462,12.6,5529,20.1
10,State,Madhya Pradesh,5426,9.5,271,0.5,9618,16.8,12538,21.9,46,0.1,387,0.7,12,0,125127,218.1,252,0.4,4,0,11896,20.7,47032,82,212609,370.6
11,State,Maharashtra,1009,1.5,44,0.1,45375,51.4,NA,0,146715,213.1,54,0.1,1048,1.5,42747,62.1,2,0,NA,0,12037,17.5,267808,389,516843,750.6
12,State,Manipur,29,1.8,3,0.2,113,7.1,740,46.7,NA,0,9,0.6,1,0.1,267,16.8,NA,0,NA,0,NA,0,381,24,1543,97.3
13,State,Meghalaya,45,3,NA,0,117,7.8,15,1,15,1,9,0.6,NA,0,NA,0,NA,0,NA,0,NA,0,256,17,457,30.3
14,State,Nagaland,24,2.6,1,0.1,10,1.1,57,6.2,NA,0,7,0.8,NA,0,86,9.3,NA,0,NA,0,8,0.9,171,18.5,364,39.4
15,State,Orissa,129,0.5,32,0.1,789,2.8,430,1.5,NA,0,56,0.2,3,0,NA,0,NA,0,NA,0,93,0.3,413,1.4,1945,6.8
16,State,Punjab,3502,19.1,8444,46.1,2407,13.1,25697,140.3,NA,0,71,0.4,NA,0,NA,NA,156,0.9,1,0,508,2.8,742,4.1,41528,226.8
17,State,Rajasthan,1627,4.2,614,1.6,1858,4.8,1357,3.5,NA,0,34,0.1,13,0,33397,86.7,NA,0,NA,0,685,1.8,17897,46.5,57482,149.2
18,State,Sikkim,4,1.1,NA,0,10,2.7,69,18.6,NA,0,NA,0,NA,0,2730,734.7,NA,0,NA,0,NA,0,683,183.8,3496,940.8
19,State,Tamil Nadu,79,0.2,14,0,44048,84.7,NA,0,89010,171.1,347,0.7,9384,18,231202,444.5,NA,0,24,0,148,0.3,368610,708.7,742866,1428.2
20,State,Tripura,65,2.8,NA,0,25,1.1,NA,0,NA,0,3,0.1,1,0,NA,0,NA,0,NA,0,NA,0,97,4.2,191,8.3
21,State,Uttar Pradesh,41101,33.9,684,0.6,7487,6.2,36342,29.9,4,0,704,0.6,473,0.4,106767,88,38,0,51,0,2414,2,38537,31.7,234602,193.3
22,State,West Bengal,622,1,NA,0,4791,8.1,1847,3.1,78,0.1,401,0.7,54,0.1,5124,8.6,5,0,4,0,3049,5.1,101794,171.1,117769,198
Total (States),State,Total (States),59614,8.1,13275,1.8,177586,24,101879,13.8,356780,48.3,3327,0.5,14765,2,1187628,160.6,503,0.1,84,0,32238,4.4,1120764,151.6,3068443,415.1
23,UT,A & N Islands,NA,0,1,0.4,19,8.2,1257,542.5,60,25.9,NA,0,1,0.4,56,24.2,NA,0,NA,0,NA,0,359,154.9,1753,756.6
24,UT,Arunachal Pradesh,8,1.1,3,0.4,NA,NA,NA,NA,NA,NA,10,1.4,NA,0,NA,NA,NA,NA,NA,0,NA,NA,27,3.8,48,6.7
25,UT,Chandigarh,74,13,101,17.7,219,38.4,757,132.7,NA,0,4,0.7,NA,0,NA,0,NA,0,NA,0,NA,0,251,44,1406,246.5
26,UT,D & N Haveli,NA,0,NA,0,3,2.6,NA,0,NA,0,1,0.9,NA,0,NA,0,NA,0,NA,0,NA,0,6,5.2,10,8.6
27,UT,Delhi,2267,30.5,897,12.1,917,12.3,1911,25.7,NA,0,26,0.4,31,0.4,NA,NA,NA,0,NA,0,213,2.9,1535,20.7,7797,105
28,UT,"Goa, Daman & Diu",5,0.4,NA,0,490,40.6,135,11.2,NA,0,NA,0,12,1,114,9.4,NA,0,NA,0,26,2.2,503,41.7,1285,106.5
29,UT,Lakshadweep,NA,0,NA,0,NA,0,NA,0,NA,0,1,2.3,NA,0,NA,0,NA,0,NA,0,NA,0,1,2.3,2,4.7
30,UT,Mizoram,17,2.9,NA,0,10,1.7,NA,0,NA,0,NA,0,NA,0,5,0.9,NA,0,NA,0,NA,0,155,26.4,187,31.9
31,UT,Pondicherry,2,0.3,NA,0,175,26.2,224,33.5,NA,0,4,0.6,6,0.9,4734,708.8,NA,0,NA,0,1,0.1,10404,1557.7,15550,2328.2
Total (UTs),UT,Total (UTs),2373,20.5,1002,8.7,1833,15.9,4284,37,60,0.5,46,0.4,50,0.4,4909,42.4,NA,0,NA,0,240,2.1,13241,114.5,28038,242.4
All India,All India,All India,61987,8.3,14277,1.9,179419,23.9,106163,14.1,356840,47.5,3373,0.4,14815,2,1192537,158.8,503,0.1,84,0,32478,4.3,1134005,151,3096481,412.4
1,City,Ahmedabad,43,1.9,NA,0,2870,126.8,NA,0,14976,661.5,17,0.8,NA,0,9,0.4,NA,0,NA,0,2,0.1,4049,178.7,21963,970.1
2,City,Bangalore,7,0.2,8,0.3,140,4.6,452,15,1,0,7,0.2,161,5.3,200109,6644.4,NA,0,NA,0,NA,0,289,9.6,201174,6679.7
3,City,Bombay,208,2.2,38,0.4,6098,64.6,NA,0,19394,205.4,NA,0,961,10.2,41708,441.8,NA,0,NA,0,NA,0,224171,2374.6,292578,3099.2
4,City,Calcutta,58,1.7,NA,0,3992,119.2,1698,50.7,NA,0,85,2.5,54,1.6,1641,49,NA,0,NA,0,1,0,95211,2844.1,102740,3070
5,City,Delhi,2176,38.3,160,2.8,879,15.5,1699,29.9,NA,0,26,0.5,30,0.5,NA,NA,NA,0,NA,0,213,3.7,1491,26.2,7389,129.9
6,City,Hyderabad,7,0.3,1,0,1111,47.9,3777,162.8,NA,0,6,0.3,319,13.8,179731,7748,NA,0,NA,0,NA,0,70358,3033.1,255314,11006.3
7,City,Jaipur,384,32.3,28,2.4,179,15.1,49,4.1,NA,0,NA,0,7,0.6,NA,NA,NA,0,NA,0,NA,0,146,12.3,793,66.8
8,City,Kanpur,3111,189.8,40,2.4,352,21.5,891,54.4,NA,0,55,3.4,108,6.6,5555,338.9,6,0.4,NA,0,NA,0,4926,300.5,15044,917.7
9,City,Lucknow,1428,148.6,27,2.8,166,17.3,411,42.8,NA,0,7,0.7,24,2.5,3253,338.6,NA,0,NA,0,NA,0,1468,152.8,6784,706.1
10,City,Madras,NA,0,2,0.1,7675,207.1,NA,0,13152,354.9,1,0,1825,49.2,61461,1658.4,NA,0,24,0.6,NA,0,100154,2702.4,184294,4972.7
11,City,Nagpur,156,11.1,NA,0,1402,99.5,NA,0,5071,360,NA,0,NA,0,387,27.5,NA,0,NA,0,NA,0,3228,229.2,10244,727.3
12,City,Pune,20,1.4,NA,0,343,24.7,NA,0,7618,5485,NA,0,1,0.1,246,17.7,NA,0,NA,0,NA,0,7866,566.3,16094,1158.8
Total (Cities),City,Total (Cities),7598,20.9,304,0.8,25207,69.3,8977,24.7,60212,165.6,204,0.6,3490,9.6,494100,1358.8,6,0,24,0.1,216,0.6,513354,1411.7,1114411,3064.7
