SL. No.,Category,States/U.Ts/Cities,Murder - 1984,Murder - 1985,Murder - Percentage Variation,Culpable Homicide Not Amounting to Murder - 1984,Culpable Homicide Not Amounting to Murder - 1985,Culpable Homicide Not Amounting to Murder - Percentage Variation,Rape - 1984,Rape - 1985,Rape - Percentage Variation,Kidnapping & Abduction - 1984,Kidnapping & Abduction - 1985,Kidnapping & Abduction - Percentage Variation,Dacoity - 1984,Dacoity - 1985,Dacoity - Perentage Variation,Robbery - 1984,Robbery - 1985,Robbery - Percentage Variation,Burglary - 1984,Burglary - 1985,Burglary - Percentage Variation,Theft - 1984,Theft - 1985,Theft - Percentage Variation,Riots - 1984,Riots - 1985,Riots - Percentage Variation,Criminal Breach of Trust - 1984,Criminal Breach of Trust - 1985,Criminal Breach of Trust - Percentage Variation,Cheating - 1984,Cheating - 1985,Cheating - Percentage Variation,Counterfeiting - 1984,Counterfeiting - 1985,Counterfeiting - Percentage Variation,Total Cognizable Crimes Under IPC - 1984,Total Cognizable Crimes Under IPC - 1985,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,1654,1641,-0.8,19,18,-5.3,420,409,-2.6,659,518,-21.4,307,293,-4.6,597,554,-7.2,6119,5853,-4.3,16137,16120,-0.1,3946,4124,4.5,633,622,-1.7,1025,1230,20,46,63,37,82559,82219,-0.4
2,State,Assam,747,662,-11.4,25,31,24,263,332,26.2,774,840,8.5,456,429,-5.9,428,469,9.6,4333,3889,-10.2,7870,7057,-10.4,4760,4322,-9.2,411,494,20.2,473,454,-4,30,58,93.3,35145,34459,-2
3,State,Bihar,3088,3244,5.1,566,601,6.2,603,686,13.8,1629,1538,-5.6,3205,3046,-5,2047,2092,2.2,9719,8791,-9.5,21745,20815,-4.3,15853,15437,-2.6,1345,1352,0.5,1223,1260,3,16,41,156.3,104763,100549,-4
4,State,Gujarat,1031,1171,13.6,10,4,-60,137,130,-5.1,606,558,-7.9,150,301,100.7,843,811,-3.8,5411,5404,-0.1,18105,17339,-4.2,2057,4400,113.9,1185,1177,-0.7,843,800,-5.1,12,23,91.7,83930,87336,4.1
5,State,Haryana,394,348,-11.7,119,109,-8.4,115,105,-8.7,174,222,27.6,35,21,-40,66,69,4.5,2219,2192,-1.2,3159,3398,7.6,279,200,-28.3,244,313,28.3,319,490,53.6,5,4,-20,17912,20001,11.7
6,State,Himachal Pradesh,61,74,21.3,15,26,73.3,25,33,32,72,71,-1.4,1,4,300,21,19,-9.5,525,618,17.7,504,578,14.7,308,237,-22.8,82,102,24.4,89,107,20.2,NA,4,@,5065,5299,4.6
7,State,Jammu & Kashmir,120,121,0.8,9,9,0,142,207,45.8,458,544,18.8,25,6,-76,37,34,-8.1,1341,1493,11.3,2629,2868,9.1,2066,2148,4,138,157,13.8,186,211,13.4,NA,NA,NA,17122,19440,13.5
8,State,Karnataka,1117,1002,-10.3,19,20,5.3,133,121,-9,278,370,33.1,223,175,-21.5,537,471,-12.3,8060,7839,-2.7,16520,16528,0,6254,5820,-6.9,673,661,-1.8,1204,1842,53,236,444,88.1,78866,83580,6
9,State,Kerala,514,472,-8.2,14,28,100,131,130,-0.7,152,129,-15.1,37,25,-32.4,155,123,-20.6,4203,3692,-12.2,3385,2956,-12.7,5222,4854,-7,301,342,13.6,946,862,-8.9,229,162,-29.3,48932,49146,0.4
10,State,Madhya Pradesh,2669,2639,-1.1,48,54,12.5,1339,1465,9.4,953,1583,66.1,492,347,-29.5,2508,2287,-8.8,21159,20266,-4.2,40032,39089,-2.4,6051,5513,-8.9,1090,1075,-1.4,1271,1417,11.5,18,14,-22.2,167945,171553,2.1
11,State,Maharashtra,2158,2091,-3.1,65,25,-61.5,696,673,-3.3,929,992,6.8,654,552,-15.6,3227,3110,-3.6,16104,16260,1,52836,54877,3.9,5649,5077,-10.1,2571,2719,5.8,2284,2592,13.5,59,94,59.3,163667,166672,1.8
12,State,Manipur,68,73,7.4,7,6,-14.3,14,17,21.4,202,177,-12.4,28,37,32.1,65,53,-18.5,242,211,-12.8,586,708,20.8,254,193,-24,58,56,-3.4,145,152,4.8,7,8,14.3,2886,3203,11
13,State,Meghalaya,63,76,20.6,32,23,-28.1,15,16,6.7,20,18,-10,21,25,19,32,37,15.6,126,157,24.6,510,444,-12.9,61,104,70.5,16,17,6.3,12,31,158.3,3,1,-66.7,1613,1752,8.6
14,State,Nagaland,27,42,55.6,5,1,-80,14,13,-7.1,19,32,68.4,14,20,42,55,59,7.3,248,274,10.5,424,441,4,51,44,-13.7,80,45,-43.7,51,50,-2,1,NA,-100,1964,2122,8
15,State,Orissa,588,604,2.7,71,52,-26.8,174,154,-11.5,210,228,8.6,261,259,-0.8,774,773,-0.1,6222,5598,-10,10418,10834,4,2836,2329,-17.9,464,465,0.2,313,272,-13.1,15,39,160,44817,44838,0
16,State,Punjab,744,464,-13.2,174,142,-18.4,59,82,39,168,164,-2.4,11,10,-9.1,103,110,6.8,905,1003,10.8,1447,1477,2.1,83,58,-30.1,259,312,20.5,289,252,-12.8,6,9,50,12828,11185,-12.8
17,State,Rajasthan,1005,1017,1.2,58,42,-27.6,379,522,37.7,1545,1736,12.6,108,78,-27.8,1131,1116,-1.3,6068,6508,7.3,11477,12394,8,12428,13741,10.6,1075,927,-13.8,2157,2342,8.6,9,15,66.7,71672,78876,10.1
18,State,Sikkim,3,5,66.7,NA,1,@,7,6,-14.3,5,1,-80,1,1,0,5,3,-40,46,60,30.4,103,95,-7.8,7,9,28.6,7,11,57.1,2,11,450,NA,NA,0,283,325,14.8
19,State,Tamil Nadu,1411,1456,3.2,12,9,-25,222,230,3.6,709,629,-11.3,58,52,-10.3,354,423,19.5,10219,9298,-9,26113,25660,-1.7,9862,9760,-1,1411,1170,-17.1,1161,1107,-4.7,225,298,32.4,113714,119455,5
20,State,Tripura,118,150,27.1,16,1,-93.7,19,34,78.9,50,52,4,283,212,-25.1,254,218,-14.2,1189,955,-19.7,1348,1131,-16.1,492,433,-12,37,57,54.1,21,28,33.3,2,NA,-100,6025,5461,-9.4
21,State,Uttar Pradesh,6324,6599,4.3,1894,1942,2.5,1106,1163,5.2,3220,3626,12.6,4749,4355,-8.3,8393,8197,-2.4,25693,24283,-5.5,50491,51531,2.1,11997,10614,-11.5,4528,4672,3.2,3166,3571,12.8,100,102,2,180189,184786,2.6
22,State,West Bengal,1438,1397,-2.9,642,633,-1.4,562,597,6.2,1053,970,-7.9,1112,942,-15.3,1197,1092,-8.8,3168,2464,-22.2,28137,27358,-2.7,10017,9671,-2.6,1182,1049,-11.3,931,1011,8.6,55,46,-16.4,74899,70346,-6.1
Total (States),State,Total (States),25342,25530,0.7,3820,3777,-1.1,6575,7125,8.4,13885,14998,8,12231,11190,-8.5,22829,22120,-3.1,133319,127108,-4.7,313976,313698,-0.1,100533,99088,-1.4,17790,17795,0,18111,20092,10.9,1074,1425,32.7,1316796,1342603,2
23,UT,A & N Islands,17,12,-29.4,1,1,0,3,3,0,5,3,-40,NA,NA,NA,4,2,-50,46,46,0,116,102,-12.1,29,41,41.4,7,6,-14.3,14,18,28.6,NA,NA,NA,739,672,-9.1
24,UT,Arunachal Pradesh,29,35,20.7,3,NA,-100,9,5,-44.4,23,18,-21.7,9,9,0,21,17,-19,136,131,-3.7,194,222,14.4,9,13,44.4,22,21,-4.5,13,6,-53.8,NA,NA,NA,960,1012,5.4
25,UT,Chandigarh,9,14,55.6,3,3,0,1,4,300,19,32,68.4,NA,NA,NA,11,9,-18.2,143,153,7,712,720,1.1,30,7,-76.7,48,41,-14.6,47,88,87.2,4,7,75,1806,1767,-2.2
26,UT,D & N Haveli,6,10,66.7,NA,NA,0,1,1,0,1,4,300,1,1,0,4,8,100,62,13,-79,35,70,100,19,20,5.3,1,1,0,5,3,-40,NA,NA,NA,283,382,35
27,UT,Delhi,317,312,-1.6,255,206,-19.2,102,83,-18.6,1177,972,-17.4,53,48,-9.4,235,256,8.9,1811,2004,10.7,13941,13763,-1.3,452,126,-72.1,439,451,2.7,799,703,-12,25,28,12,30773,30412,-1.2
28,UT,"Goa, Daman & Diu",23,21,-8.7,9,5,-44.4,7,9,28.6,8,13,62.5,3,4,33.3,51,55,7.8,507,653,28.8,743,1053,41.7,263,290,10.3,42,56,33.3,36,42,16.7,4,27,575,3090,3873,25.3
29,UT,Lakshadweep,NA,NA,NA,2,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,33.3,7,5,-28.6,NA,NA,NA,1,NA,-100,NA,NA,0,NA,NA,NA,23,28,21.7
30,UT,Mizoram,29,19,-34.5,NA,3,@,34,51,50,11,4,-63.4,3,2,-33.3,42,23,-45.2,71,85,19.7,208,225,8.2,1,2,100,40,25,37.5,23,38,65.2,6,13,116.7,1577,1213,-23.1
31,UT,Pondicherry,14,17,21.4,NA,NA,NA,8,8,0,12,7,-41.7,1,NA,-100,7,11,57.1,174,157,-9.8,737,696,-5.6,124,170,37.1,38,21,-44.7,29,26,-10.3,5,4,-20,2613,2769,6
Total (UTs),UT,Total (UTs),444,440,-0.9,273,218,-20.1,165,164,-0.6,1256,1053,-16.2,70,64,-8.6,375,381,1.6,2953,3246,9.9,16693,16856,1,927,669,-27.8,638,622,-2.5,966,924,-4.3,44,79,79.5,41864,42128,0.6
All India,All India,All India,25786,25970,0.7,4093,3995,-2.4,6740,7289,8.1,15141,16051,6,12301,11254,-8.5,23204,22501,-3,136272,130354,-4.3,330669,330554,0,101460,99757,-1.7,18428,18417,-0.1,19077,21016,10.2,1118,1504,34.5,1358660,1384731,1.9
1,City,Ahmedabad,68,136,100,3,1,-66.7,7,10,42.9,101,96,-5,11,21,90.9,51,49,-3.9,510,469,-8,2503,2324,-7.2,247,883,257.5,104,98,-5.8,152,127,-16.4,2,10,400,10156,10703,5.4
2,City,Bangalore,50,64,28,2,6,200,17,15,-11.8,48,78,62.5,8,10,25,225,161,-28.4,1487,1159,-22.1,6012,6131,2,518,167,-67.8,200,199,-0.5,493,566,14.8,112,203,81.3,16354,16019,-2
3,City,Bombay,288,237,-17.7,13,1,-92.3,81,102,25.9,204,226,10.8,73,76,4.1,557,782,40.4,2089,2325,11.3,13329,15449,15.9,349,215,-38.4,803,960,19.6,974,1150,18.1,29,36,24.1,31150,35977,15.5
4,City,Calcutta,81,82,1.2,11,9,-18.2,22,27,22.7,156,121,-22.4,52,42,-19.2,361,333,-7.8,910,825,-9.3,6916,7254,4,729,694,-4.8,338,310,-8.3,390,444,13.8,44,32,-27.3,13877,14644,5.5
5,City,Delhi,284,270,-4.9,242,179,-26,99,71,-28.3,1145,942,-17.7,47,41,-12.8,214,244,14,1746,1914,9.6,13484,13350,-1,406,110,-72.1,431,437,1.4,768,692,-9.9,25,28,12,29243,28823,-1.4
6,City,Hyderabad,95,79,-16.8,1,NA,-100,29,31,6.9,85,102,20,21,12,-42.9,99,75,-24.2,1161,1165,0.3,2723,3233,18.7,821,328,-60,93,82,-11.8,321,401,24.9,32,29,-9.4,7491,7579,1.2
7,City,Jaipur,40,31,-22.5,2,NA,-100,13,19,46.2,100,115,15,3,3,0,77,47,-39,413,395,-4.4,1356,1463,7.9,649,755,16.3,84,90,7.1,202,226,11.9,4,15,275,5137,5411,5.3
8,City,Kanpur,164,124,-24.4,25,28,12,51,36,-29.1,187,180,-3.6,103,79,-23.3,278,226,-18.7,832,811,-2.5,2645,2470,-6.6,1336,207,-84.5,309,354,14.6,296,348,17.6,NA,37,@,6226,7278,16.9
9,City,Lucknow,72,90,25,19,30,57.9,29,29,0,108,120,11.1,38,23,-39.5,126,98,-22.2,763,705,-7.6,2957,2657,-10.1,238,162,-31.9,299,250,-16.4,222,284,27.9,17,8,-52.1,6839,4778,-30.1
10,City,Madras,43,36,-16.3,4,NA,-100,21,13,,20,22,10,1,NA,-100,58,74,27.6,456,544,19.3,4260,4388,3,137,115,-16.1,129,165,27.9,312,283,-9.3,17,95,458.8,10561,11834,12.1
11,City,Nagpur,56,85,51.8,1,NA,-100,44,27,-62.4,72,52,-27.8,13,13,0,261,204,-21.8,669,792,18.4,2442,2691,10.2,202,172,-14.9,72,95,31.9,155,193,24.5,7,10,42.9,7060,7929,12.3
12,City,Pune,60,60,0,5,NA,-100,24,22,-8.3,49,62,26.5,5,1,-80,94,105,11.7,654,709,8.4,2131,2515,18,202,225,10.8,96,96,0,156,195,25,2,3,50,8319,9165,10.2
Total (Cities),City,Total (Cities),1301,1294,-0.5,328,254,-22.6,437,402,-8,2275,2116,-7,375,321,-14.4,2401,2398,-0.1,11690,11813,1.1,60758,63925,5.2,5834,4033,-30.9,2958,3136,6,4441,4909,10.5,291,506,73.9,152413,160140,5.1
