SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,311,101,140,49.7,0,0,2,1,1,0,5,1.5,70,62.6,529,215.8
2,Arunachal Pradesh,22,1.7,2,0.5,0,0,0,0,0,0,10,5.3,11,1.5,45,9
3,Assam,396,108.8,107,42.2,0,0,3,0.2,14,24.3,83,15.3,204,87.6,807,278.4
4,Bihar,1910,350.3,308,72.5,0,0,99,86.3,11,19.2,51,11.9,298,143.5,2677,683.6
5,Goa,2,1.6,0,0,0,0,1,0,0,0,0,0,2,0.4,5,2
6,Gujarat,121,55.2,54,117.2,2,0.1,9,6.4,0,0,7,4.9,125,120.6,318,304.4
7,Haryana,20,9.6,6,8,0,0,0,0,0,0,5,3.1,17,5,48,25.7
8,Himachal Pradesh,0,0,1,0.1,0,0,0,0,0,0,0,0,2,0.1,3,0.2
9,Jammu & Kashmir,14,19.5,1,0,0,0,0,0,5,22.4,6,27.2,23,44.5,49,113.6
10,Karnataka,140,68.2,46,31.4,0,0,4,1.1,0,0,14,7.9,173,38.1,377,146.7
11,Kerala,15,5.1,9,8.4,0,0,0,0,0,0,7,0.7,71,55.2,102,69.4
12,Madhya Pradesh,145,57.6,29,9.1,0,0,2,1.7,0,0,9,6.9,80,88.4,265,163.7
13,Maharashtra,203,152.9,139,139.6,1,0,15,3.2,2,4,45,118,288,273.8,693,691.4
14,Manipur,9,3.2,12,6.8,0,0,0,0,0,0,0,0,5,1.7,26,11.6
15,Meghalaya,25,13.5,26,6.3,0,0,0,0,3,0.5,0,0,16,9.5,70,29.9
16,Mizoram,149,9.7,0,0,0,0,0,0,0,0,4,1.1,0,0,153,10.8
17,Nagaland,4,0.7,7,2.7,0,0,0,0,4,60.4,3,1,17,7.3,35,72
18,Orissa,275,149.1,52,7.2,0,0,0,0,1,1,0,0,45,7.9,373,165.1
19,Punjab,6,3.6,0,0,0,0,0,0,0,0,0,0,4,1,10,4.7
20,Rajasthan,30,23,10,22.6,0,0,1,0,1,0,1,1.3,45,65.7,88,112.6
21,Sikkim,4,1.6,0,0,0,0,0,0,0,0,1,0,0,0,5,1.6
22,Tamil Nadu,55,32.6,26,20.7,0,0,0,0,2,10.6,1,0,42,13.9,124,77.8
23,Tripura,85,4.5,19,0,0,0,0,0,0,0,16,0.8,34,2.5,154,7.9
24,Uttar Pradesh,1152,323.1,255,239,1,0.5,35,6.9,3,2.6,15,8.1,279,89.3,1740,669.5
25,West Bengal,311,82.2,65,19.9,1,0.2,37,8.5,3,2.6,34,24.6,102,84.3,553,222.2
Total (States),Total (States),5404,1578.2,1314,803.9,5,0.7,208,115.3,50,147.7,317,239.6,1951,1204.1,9249,4089.5
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
29,Daman & Diu,1,0.9,0,0,0,0,0,0,0,0,0,0,1,0,2,1
30,Delhi,19,14.9,0,0,0,0,0,0,0,0,0,0,0,0,19,14.9
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),21,15.9,0,0,0,0,0,0,0,0,0,0,1,0,22,15.9
Total (All -India),Total (All -India),5425,1594.1,1314,803.9,5,0.7,208,115.3,50,147.7,317,239.6,1952,1204.2,9271,4105.4
33,Ahmedabad,7,19.8,0,0,0,0,0,0,0,0,0,0,10,4.5,17,24.3
34,Bangalore,33,28.9,0,0,0,0,0,0,0,0,5,6.8,52,9.3,90,45
35,Bhopal,2,8.1,0,0,0,0,0,0,0,0,0,0,0,0,2,8.1
36,Bombay,30,110.6,1,1,0,0,0,0,2,4,33,110.3,47,143.8,113,369.7
37,Calcutta,8,15.7,4,6.9,0,0,0,0,0,0,14,21.7,9,17.6,35,61.8
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Delhi,11,10.9,0,0,0,0,0,0,0,0,0,0,0,0,11,10.9
40,Hyderabad,7,9.4,0,0,0,0,0,0,0,0,0,0,0,0,7,9.4
41,Indore,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0,2,0.1
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,4,1.8,4,1.8
43,Kanpur,18,2.9,4,42.6,0,0,0,0,0,0,3,0,11,0.6,36,46.1
44,Kochi,1,0.1,0,0,0,0,0,0,0,0,0,0,3,0.2,4,0.2
45,Lucknow,21,2.7,6,1.2,0,0,0,0,2,2.3,0,0,3,1.3,32,7.5
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,0,0,0,0,0,0,1,0,3,2.2,4,2.3
48,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,4,0.5
49,Nagpur,2,0,0,0,0,0,0,0,0,0,3,0.1,3,0.5,8,0.7
50,Patna,63,6.2,0,0,0,0,0,0,0,0,0,0,0,0,63,6.2
51,Pune,5,2.8,2,1.9,0,0,0,0,0,0,2,1.9,6,2.7,15,9.3
52,Surat,6,4,1,0,1,0,0,0,0,0,1,0,8,8,17,12
53,Vadodara,2,0,0,0,0,0,0,0,0,0,0,0,5,0.3,7,0.3
54,Varanasi,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,6,1.5
55,Vishakhapatnam,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1
