SL. No.,Nature of Property,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage of Cases of Recovery,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery
1,Communication and Electricity Wire,15163,4593,30.3,1148.4,288.4,25.1
2,Cattle,12076,5807,48.1,674.4,323,47.9
3,cycle,32786,15254,46.5,327.7,150.9,46
4,"Motor Cars including Lorries, Buses etc.",10180,3998,39.3,10295.2,4945.9,48
5,"Motorcycle, Scooters etc.",25773,8484,32.9,3783.1,1891.2,50
6,Fire Arms,982,332,33.8,107.6,37.9,35.2
7,Explosives,472,346,73.3,21.8,18,82.6
8,Electronic Equipments,13669,3606,26.4,910.2,245.9,27
9,Cultural Property including Antiques,1484,513,34.6,239.6,124.4,51.9
10,Other Kinds of Property Stolen,360368,110906,30.8,68996.4,12937.3,18.8
11,Total,472953,153839,32.5,86504.5,20962.7,24.2
