SL.No.,Crime Head,Total No. of Persons Under Arrested* Including those from Previous Year,Persons Released Before Trial No.,Persons Released Before Trial Percentage to Total,Persons Chargesheeted No.,Persons Chargesheeted Percentage to Total,Persons Under Investigation at the End of the Year No.,Persons Under Investigation at the End of the Year Percentage to Total
1,Murder,114645,5120,4.5,82608,72.1,26917,23.5
2,Attempt to Commit Murder,99262,3619,3.6,73572,74.1,22071,22.2
3,C.H. Not Amounting to Murder,11164,683,6.1,7862,70.4,2619,23.5
4,Rape,23519,939,4,17890,76.1,4690,19.9
5,Kidnapping & Abduction,39213,3898,9.9,24822,63.3,10493,26.8
5,I) Of Womens & Girls,23649,2166,9.2,15003,63.4,6480,27.4
5,II) Of Others,15564,1732,11.1,9819,63.1,4013,25.8
6,Dacoity,46377,4790,10.3,26041,56.2,15546,33.5
7,Preparation & Assembly for Dacoity,7458,289,3.9,4688,62.9,2481,33.3
8,Robbery,40489,3882,9.6,26723,66,9884,24.4
9,Burglary,96942,7696,7.9,74611,77,14635,15.1
10,Theft,242894,21398,8.8,173822,71.6,47674,19.6
11,Riots,652841,46559,7.1,483135,74,123147,18.9
12,Criminal Breach of Trust,22507,1027,4.6,15090,67,6390,28.4
13,Cheating,40988,2303,5.6,26901,65.6,11784,28.7
14,Counterfeiting,2514,219,8.7,971,38.6,1324,52.7
15,Other IPC Crimes,1580918,64118,4.1,1296313,82,220487,13.9
16,Total Cognizable Crimes Under IPC,3021731,166540,5.5,2335049,77.3,520142,17.2
