SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting To Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,94,59,9,44,25,17,8,48,0,65,246,270,90,23,51,12,2017,3053
2,Andhra Pradesh,Anantpur,176,0,1,20,43,32,11,36,0,45,186,399,315,6,29,21,2255,3532
3,Andhra Pradesh,Chittoor,126,45,4,29,51,29,22,26,0,34,223,868,209,22,69,26,3105,4837
4,Andhra Pradesh,Cuddapah,115,98,1,20,33,25,8,15,0,22,135,256,264,11,35,11,2103,3119
5,Andhra Pradesh,Godavari East,72,78,2,45,42,7,35,11,0,17,369,1225,170,58,173,15,3332,5609
6,Andhra Pradesh,Godavari West,66,83,0,63,49,41,8,3,0,31,253,818,109,32,136,8,2850,4501
7,Andhra Pradesh,Guntur,156,162,0,77,46,12,34,16,0,48,325,878,214,33,130,16,3534,5635
8,Andhra Pradesh,Hyderabad,99,31,2,49,108,67,41,7,0,72,1327,3243,173,84,586,12,4063,9856
9,Andhra Pradesh,Karimnagar,138,99,4,70,58,44,14,53,1,122,232,413,221,27,84,9,2940,4471
10,Andhra Pradesh,Khammam,91,41,0,31,31,18,13,6,0,19,159,317,72,11,56,2,2035,2871
11,Andhra Pradesh,Krishna,101,112,2,66,60,34,26,8,0,29,401,1380,83,44,211,17,3930,6444
12,Andhra Pradesh,Kurnool,205,81,3,19,40,19,21,27,1,25,158,305,113,7,27,9,2294,3314
13,Andhra Pradesh,Mahabob Nagar,133,29,12,60,36,29,7,40,0,55,382,585,169,10,60,9,3181,4761
14,Andhra Pradesh,Medak,86,48,11,26,48,30,18,56,0,85,357,568,147,24,53,9,2285,3803
15,Andhra Pradesh,Nalgonda,90,4,3,25,37,22,15,7,0,29,187,440,116,19,45,4,2816,3822
16,Andhra Pradesh,Nellore,70,42,3,48,60,57,3,22,1,44,248,682,143,37,57,25,2852,4334
17,Andhra Pradesh,Nizambad,116,41,6,26,50,29,21,58,1,64,197,308,147,10,70,4,2100,3198
18,Andhra Pradesh,Prakasham,83,61,3,26,23,21,2,12,1,28,149,334,101,19,51,6,3854,4751
19,Andhra Pradesh,Ranga Reddy,133,65,5,29,42,37,5,26,0,39,503,860,128,33,104,2,2607,4576
20,Andhra Pradesh,Srikakulam,47,2,0,12,24,12,12,4,0,11,100,315,67,25,39,4,1592,2242
21,Andhra Pradesh,Visakha Rural,68,31,3,48,38,32,6,12,0,36,458,1310,41,65,215,15,3109,5449
22,Andhra Pradesh,Vizianagaram,26,14,0,11,14,10,4,3,0,11,116,302,38,19,29,6,1396,1985
23,Andhra Pradesh,Warangal,114,73,7,28,35,24,11,31,0,37,242,464,217,18,63,7,2169,3505
24,Andhra Pradesh,Guntakal Rly.,2,0,0,0,0,0,0,2,0,3,1,209,0,0,2,2,76,297
