SL.No.,Crime Head,Incidence - 1984,Rate - 1984,Incidence - 1989,Rate - 1989,Incidence - 1990,Rate - 1990,Incidence - 1991,Rate - 1991,Incidence - 1992,Rate - 1992,Incidence - 1993,Rate - 1993,Incidence - Quinquennial Avg. 1989-1993 (Q.A.),Rate - Quinquennial Avg. 1989-1993 (Q.A.),Incidence - 1994,Rate - 1994,Percentage Change in 1994 [(+) Increase / (-)Decrease] Over 1984,Percentage Change in 1994 [(+) Increase / (-)Decrease] Over Q.A.,Percentage Change in 1994 [(+) Increase / (-)Decrease] Over 1993
1,Arms Act,59205,8,54637,6.7,58092,7,62025,7.3,63893,7.4,65532,7.4,60836,7.2,60289,6.7,1.8,-0.9,-8
2,Narcotic Drugs & Psychotropic Substances Act,14440,2,12831,1.6,14176,1.7,20944,2.5,22478,2.6,21087,2.4,18303,2.2,20304,2.3,40.6,10.9,-3.7
3,Gambling Act,176829,24,162966,20.1,168056,20.3,167113,19.7,167193,19.3,162800,18.4,165626,19.5,156926,17.4,-11.3,-5.3,-3.6
4,Excise Act,107967,14.7,90118,11.1,94093,11.4,95863,11.3,95108,11,96578,10.9,94352,11.1,102096,11.3,-5.4,8.2,5.7
5,Prohibition Act,365526,49.7,710928,87.6,594789,71.9,548237,64.5,627426,72.3,600356,67.9,616347,72.7,638611,71,74.7,3.6,6.4
6,Explosive & Explosive Substances Act,2905,0.4,4322,0.5,5600,0.7,5458,0.6,8899,1,6163,0.7,6088,0.7,4641,0.5,59.8,-23.8,-24.7
7,Immoral Traffic (Prevention) Act,14209,1.9,13466,1.7,16426,2,14639,1.7,12580,1.4,12496,1.4,13921,1.6,10132,1.1,-28.7,-27.2,-18.9
8,Indian Railways Act,36749,5,35664,4.4,39443,4.8,33720,4,26548,3.1,24079,2.7,31891,3.8,29570,3.3,-19.5,-7.3,22.8
9,Registration of Foreigners Act,*,NA,1969,0.2,2357,0.3,3301,0.4,1996,0.2,1761,0.2,2277,0.3,1477,0.2,NA,-35.1,-16.1
10,Protection Of Civil Rights Act,*,NA,3443,0.4,3683,0.4,3835,0.5,4380,0.5,5040,0.6,4076,0.5,4560,0.5,NA,11.9,-9.5
11,Indian Passport Act,*,NA,628,0.1,608,0.1,726,0.1,1169,0.1,1548,0.2,936,0.1,756,0.1,NA,-19.2,-51.2
12,Essential Commodities Act,*,NA,11149,1.4,6611,0.8,8307,1,7292,0.8,6533,0.7,7978,0.9,4132,0.5,NA,-48.2,-36.8
13,Terrorist & Disruptive Actvites Act,*,NA,1773,0.2,2498,0.3,3913,0.5,4093,0.5,3743,0.4,3204,0.4,3183,0.4,NA,-0.7,-15
14,Antiquity & Art Treasure Act,*,NA,11,0,18,0,10,0,40,0,18,0,19,0,66,0,NA,240.2,266.7
15,Dowry Prohibition Act,*,NA,1918,0.2,2155,0.3,1841,0.2,2102,0.2,2679,0.3,2139,0.3,2709,0.3,NA,26.6,1.1
16,Other SLL Crimes,2138978,290.8,2741842,337.7,2284958,276.3,2401039,282.6,2513251,289.6,2793225,316,2546863,300.3,2837542,315.3,32.7,11.4,1.6
17,Total Cognizable Crimes Under SLL,2916808,396.5,3847665,474,3293563,398.3,3370971,396.8,3558448,410.1,3803638,430.4,3574857,421.6,3876994,430.8,32.9,8.5,1.9
