SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,5913,481.3,0,0,0,0,1,0,11,0,271,33.8,758,59.8,6954,575
2,Arunachal Pradesh,115,20.4,0,0,0,0,0,0,0,0,22,3.4,28,2.4,165,26.2
3,Assam,2336,193.2,0,0,0,0,10,0.3,0,0,529,93.8,400,30.6,3275,318
4,Bihar,6685,207.1,5,0,0,0,28,0.2,0,0,86,8.3,352,43,7156,258.6
5,Goa,339,41.7,0,0,0,0,1,0,8,0.2,95,13.1,45,3.2,488,58.2
6,Gujarat,4656,657,0,0,1,0.6,0,0,17,0.1,636,161.8,928,80.1,6238,899.7
7,Haryana,2176,243.5,0,0,0,0,0,0,2,0,299,51.4,272,40.4,2749,335.4
8,Himachal Pradesh,584,54.8,0,0,0,0,0,0,7,0,198,22.6,300,28.5,1089,105.9
9,Jammu & Kashmir,1537,237.9,0,0,0,0,0,0,0,0,232,67.2,58,4.8,1827,309.9
10,Karnataka,6713,423.8,0,0,2,0,4,0,20,12.7,1206,154.5,2035,482.6,9980,1073.6
11,Kerala,2066,236,3,0.1,3,0.1,24,173.9,0,0,691,158.8,1758,1070,4545,1638.9
12,Madhya Pradesh,15397,699.4,3,0.1,10,9.1,14,0.6,89,36.9,1098,94.6,3245,197.9,19856,1038.6
13,Maharashtra,13156,1630,3,1.1,0,0,12,0.5,15,23.8,1281,428.1,1433,272.4,15900,2356
14,Manipur,56,3,0,0,0,0,0,0,1,0,10,1.6,27,3.3,94,8
15,Meghalaya,117,12.1,0,0,0,0,0,0,0,0,54,4.1,24,1.5,195,17.7
16,Mizoram,83,0.9,0,0,0,0,0,0,0,0,29,3.1,100,5.7,212,9.6
17,Nagaland,62,6,0,0,0,0,0,0,0,0,97,26.1,62,20.9,221,52.9
18,Orissa,1626,77.1,0,0,0,0,0,0,0,0,0,0,2911,525.4,4537,602.5
19,Punjab,707,223.1,0,0,0,0,0,0,3,1,54,26.1,225,63.1,989,313.2
20,Rajasthan,5782,482.2,0,0,0,0,6,0.1,6,1.2,339,38,2194,160.9,8327,682.4
21,Sikkim,93,3.3,0,0,0,0,0,0,0,0,24,6.7,6,0.2,123,10.2
22,Tamil Nadu,4505,430.5,0,0,0,0,0,0,41,11.1,578,64.8,1224,158.5,6348,664.8
23,Tripura,308,12.2,0,0,0,0,0,0,0,0,37,1.7,63,2.5,408,16.5
24,Uttar Pradesh,15593,1394,31,20.2,0,0,0,0,1,0,198,26.6,999,88.2,16822,1529.1
25,West Bengal,734,39.4,0,0,0,0,0,0,1,0.3,117,17.1,93,7.9,945,64.7
Total (States),Total (States),91339,7809.8,45,21.5,16,9.9,100,175.7,222,87.3,8181,1507.5,19540,3353.8,119443,12965.4
26,A & N Islands,65,2.6,0,0,0,0,0,0,0,0,1,0,2,0,68,2.7
27,Chandigarh,46,31.7,0,0,0,0,0,0,2,0,32,5.8,98,7.8,178,45.3
28,D & N Haveli,24,6.3,0,0,0,0,0,0,0,0,0,0,0,0,24,6.3
29,Daman & Diu,8,1.6,0,0,0,0,0,0,0,0,17,1.8,12,1.8,37,5.3
30,Delhi,836,268.5,0,0,0,0,0,0,5,0,72,24.4,747,110.9,1660,403.9
31,Lakshadweep,1,0.1,0,0,0,0,0,0,0,0,0,0,2,0,3,0.1
32,Pondicherry,0,0,0,0,0,0,0,0,1,0,45,18.8,77,14.4,123,33.3
Total (UTs),Total (UTs),980,310.8,0,0,0,0,0,0,8,0,167,50.9,938,135,2093,496.8
Total (All -India),Total (All -India),92319,8120.6,45,21.5,16,9.9,100,175.7,230,87.3,8348,1558.4,20478,3488.8,121536,13462.2
33,Ahmedabad,573,132.6,0,0,0,0,0,0,4,0.1,172,29.3,119,19.9,868,182
34,Bangalore,2120,384.9,0,0,0,0,0,0,0,0,222,66.1,205,16.2,2547,467.2
35,Bhopal,430,14.9,0,0,0,0,0,0,0,0,204,29.7,0,0,634,44.6
36,Bombay,1605,599.8,0,0,0,0,0,0,2,0.1,623,330.7,477,64.3,2707,994.8
37,Calcutta,91,18.7,0,0,0,0,0,0,1,0.3,63,14.2,19,6.7,174,39.9
38,Coimbatore,167,19.2,0,0,0,0,0,0,0,0,43,11.8,20,4.3,230,35.4
39,Delhi,767,247.7,0,0,0,0,0,0,4,0,59,19.6,612,105.4,1442,372.7
40,Hyderabad,1327,75.8,0,0,0,0,0,0,0,0,0,0,0,0,1327,75.8
41,Indore,56,3.8,0,0,0,0,0,0,0,0,82,8.2,607,52.5,745,64.5
42,Jaipur,660,71.3,0,0,0,0,0,0,0,0,71,9.8,40,2.5,771,83.6
43,Kanpur,413,63.7,0,0,0,0,0,0,1,0,1,11.4,0,0,415,75.1
44,Kochi,120,19.6,2,0.1,0,0,0,0,0,0,75,16.8,30,3.2,227,39.7
45,Lucknow,923,81,0,0,0,0,0,0,0,0,0,0,71,12.4,994,93.5
46,Ludhiana,92,41.7,0,0,0,0,0,0,0,0,13,6.3,7,4.1,112,52.1
47,Madras,385,59.8,0,0,0,0,0,0,0,0,48,1.5,20,43.5,453,104.8
48,Madurai,105,8,0,0,0,0,0,0,0,0,18,0.3,48,5,171,13.3
49,Nagpur,782,74.9,0,0,0,0,0,0,0,0,70,3.1,12,0.1,864,78.2
50,Patna,471,1.2,0,0,0,0,0,0,0,0,0,0,0,0,471,1.2
51,Pune,648,100.9,3,1.1,0,0,0,0,4,0,87,20.3,97,19.6,839,141.9
52,Surat,269,98.6,0,0,0,0,0,0,3,0,43,22.5,141,23.7,456,144.8
53,Vadodara,335,21.7,0,0,0,0,0,0,0,0,29,35.7,0,0,364,57.4
54,Varanasi,184,17.3,0,0,0,0,0,0,0,0,0,0,0,0,184,17.3
55,Vishakhapatnam,256,20.7,0,0,0,0,0,0,0,0,40,2.5,51,4.4,347,27.7
