SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,9890,741.8,306,17.5,0,0,857,104.2,3,0.2,786,50.1,5572,362.3,17396,1276.2
2,Arunachal Pradesh,129,13.7,17,1.9,0,0,0,0,0,0,18,1.6,153,27.7,317,44.9
3,Assam,3790,158.6,129,6.4,17,0.8,43,4.5,3,0.7,686,44.1,2657,164.6,7325,379.5
4,Bihar,11408,616,924,23.7,3,0,1317,57.8,0,0,612,22.1,4135,219,18399,938.6
5,Goa,197,26.4,2,0.2,13,1.3,10,2.4,0,0,91,10.8,562,75.6,875,116.8
6,Gujarat,3478,368.8,39,58.5,27,4,625,85.7,24,4.4,1159,120.7,14913,1680.5,20265,2322.5
7,Haryana,1794,39,0,0,0,0,189,10.3,1,0,288,37.6,2061,922.1,4333,1009
8,Himachal Pradesh,207,26.8,9,7.4,0,0,1,0,2,0.2,18,0.3,782,134.8,1019,169.4
9,Jammu & Kashmir,882,177.2,23,11.4,0,0,17,1.3,0,0,198,48.6,1228,193.3,2348,431.8
10,Karnataka,5614,820.6,40,7.8,6,0.2,285,20.1,31,1.8,1156,136.7,12406,9180,19538,10167.2
11,Kerala,1137,175.2,88,17,81,12.5,8,6.5,3,7.2,309,30,2080,594.6,3706,843
12,Madhya Pradesh,12038,567.5,535,104.5,65,1.5,1299,45.4,69,4.7,1354,104.4,16574,1051.9,31934,1880
13,Maharashtra,10834,1057.8,741,125.8,1,0,3289,289.7,17,4,1756,401.5,31030,7005.6,47668,8884.4
14,Manipur,108,27.6,1,0.2,0,0,0,0,0,0,12,13.7,152,31.8,273,73.3
15,Meghalaya,288,21.8,8,1.7,0,0,0,0,0,0,66,3,152,11.5,514,38.1
16,Mizoram,153,0.5,0,0,0,0,0,0,0,0,39,3.2,371,21,563,24.7
17,Nagaland,90,25.5,4,0.8,0,0,0,0,0,0,36,9.9,144,13.9,274,50
18,Orissa,3350,201.1,127,16.7,0,0,0,0,8,0.6,0,0,5155,395.5,8640,613.8
19,Punjab,497,203.4,30,24.6,0,0,11,1.9,0,0,88,47,649,897.4,1275,574.3
20,Rajasthan,6063,539.2,22,26.5,0,0,349,23,2,0.1,485,103.1,8596,943.7,15517,1635.5
21,Sikkim,76,5.6,0,0,0,0,0,0,0,0,39,2.1,45,5.7,160,13.5
