SL.No.,Crime Head,1990,1991,1992,1993,1994
1,Murder,2.2,2.3,2.4,2.3,2.4
2,Attempt to Commit Murder,1.7,1.8,1.8,1.8,1.8
3,C.H. Not Amounting to Murder,0.3,0.3,0.3,0.2,0.2
4,Rape,0.6,0.6,0.7,0.7,0.8
5,Kidnapping & Abduction,1.2,1.2,1.2,1.2,1.3
5,I) Of Womens & Girls,0.9,0.9,0.8,0.9,0.9
5,II) Of Others,0.3,0.3,0.4,0.4,0.4
6,Dacoity,0.7,0.6,0.7,0.6,0.6
7,Preparation & Assembly for Dacoity,0.1,0.1,0.1,0.1,0.1
8,Robbery,1.6,1.6,1.6,1.5,1.5
9,Burglary,8.2,7.9,7.5,7.5,7.4
10,Theft,22,21.6,20.8,19.7,18.6
11,Riots,6.4,6.3,6.2,5.8,5.8
12,Criminal Breach of Trust,1,1,1.1,1,1
13,Cheating,1.5,1.6,1.7,1.8,1.9
14,Counterfeiting,0.2,0.3,0.3,0.2,0.2
15,Other IPC Crimes,52.4,52.8,53.7,55.4,56.5
16,Total Cognizable Crimes Under IPC,100,100,100,100,100
