SL. No.,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I - Sanctioned","Inspector, SI & A.S.I - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,179,159,296,285,5636,5247,58927,55010,65038,60701
2,Arunachal Pradesh,22,16,36,29,436,421,2327,2261,2821,2727
3,Assam,159,159,161,161,4778,4613,21034,20634,26132,25567
4,Bihar,237,220,397,389,12693,12544,49726,48903,63053,62056
5,Goa,9,9,15,13,228,215,1902,1842,2154,2079
6,Gujarat,108,108,175,175,3295,3295,49219,49219,52797,52797
7,Haryana,63,75,114,97,2890,1835,22751,17627,25818,19634
8,Himachal Pradesh,81,91,79,78,1189,1115,7288,6585,8637,7869
9,Jammu & Kashmir,97,97,172,137,2822,2470,16372,15050,19463,17754
10,Karnataka,141,141,251,215,5402,4896,46087,42973,51881,48225
11,Kerala,73,68,175,165,2358,2115,30979,28826,33585,31174
12,Madhya Pradesh,201,201,638,638,7972,7972,53898,53898,62709,62709
13,Maharashtra,197,182,454,384,14428,13451,110402,109970,125481,123987
14,Manipur,36,28,50,42,1092,838,4157,3962,5335,4870
15,Meghalaya,31,26,29,24,1061,954,5207,4433,6328,5437
16,Mizoram,24,24,46,32,877,649,2097,1272,3044,1977
17,Nagaland,43,43,41,41,713,712,6851,6851,7648,7647
18,Orissa,146,139,180,178,5386,4665,21679,21218,27391,26200
19,Punjab,138,146,270,250,6060,5744,45738,44729,52206,50869
20,Rajasthan,237,187,274,239,5354,4887,41975,40369,47840,45682
21,Sikkim,27,27,38,24,216,253,1666,1715,1947,2019
22,Tamil Nadu,178,164,489,393,6291,5778,59042,55898,66000,62233
23,Tripura,41,31,73,36,1396,1081,6790,5632,8300,6780
24,Uttar Pradesh,348,309,962,381,14006,11517,123256,104378,138572,116585
25,West Bengal,171,150,280,253,12406,11416,47687,45227,60544,57046
Total (States),Total (States),2987,2800,5695,4659,118985,108683,837057,788482,964724,904624
26,A & N Islands,3,2,12,11,349,340,1573,1492,1937,1845
27,Chandigarh,4,4,9,9,416,416,2187,2187,2616,2616
28,D & N Haveli,1,1,1,1,12,11,219,214,233,227
29,Daman & Diu,1,1,2,1,21,16,238,222,262,240
30,Delhi,53,54,244,224,8521,7227,31862,31816,40680,39321
31,Lakshadweep,1,1,1,1,53,51,296,291,351,344
32,Pondicherry,3,3,12,10,119,89,966,1063,1100,1165
Total (UTs),Total (UTs),66,66,281,257,9491,8150,37341,37285,47179,45758
Total (All -India),Total (All -India),3053,2866,5976,4916,128476,116833,874398,825767,1011903,950382
33,Ahmedabad,15,15,16,16,684,671,6447,6288,7162,6990
34,Bangalore,13,13,31,31,1126,1086,7172,6745,8342,7875
35,Bhopal,3,3,17,17,285,285,2367,2367,2672,2672
36,Bombay,41,38,97,88,5341,4934,23905,21969,29384,27029
37,Calcutta,23,21,94,85,3348,2930,11418,10931,14883,13967
38,Coimbatore,4,4,9,9,138,126,1817,1746,1968,1885
39,Delhi,53,54,244,224,8521,7227,31862,31816,40680,39321
40,Hyderabad,27,24,45,42,790,696,7757,7261,8619,8023
41,Indore,3,3,10,10,278,278,2484,2484,2775,2775
42,Jaipur,7,7,17,17,488,487,4871,4871,5383,5382
43,Kanpur,3,3,16,16,512,420,5159,4946,5690,5385
44,Kochi,1,1,6,6,92,85,1209,1195,1308,1287
45,Lucknow,4,4,13,13,426,399,2849,2773,3292,3189
46,Ludhiana,4,6,8,8,260,256,2893,2890,3165,3160
47,Madras,12,12,45,33,875,627,9674,6121,10606,6793
48,Madurai,13,12,0,0,155,137,2122,2095,2290,2244
49,Nagpur,8,8,11,11,584,588,4669,4613,5272,5220
50,Patna,4,4,7,7,683,470,4292,4249,4986,4730
51,Pune,7,7,12,12,502,496,3577,3449,4098,3964
52,Surat,8,7,9,9,226,173,2318,2280,2561,2469
53,Vadodara,5,5,7,7,217,141,1993,1921,2222,2074
54,Varanasi,3,3,6,6,236,154,1916,1550,2161,1713
55,Vishakhapatnam,2,2,4,4,96,95,993,960,1095,1061
